"Step","DDPG_TempoRL_Pendulum-v1_19 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_19 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_19 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_18 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_18 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_18 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_17 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_17 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_17 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_16 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_16 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_16 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_15 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_15 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_15 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_14 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_14 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_14 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_13 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_13 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_13 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_12 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_12 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_12 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_11 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_11 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_11 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_10 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_10 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_10 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward__MAX"
"3000","-1181.1119745532699","-1181.1119745532699","-1181.1119745532699","-1174.22784781995","-1174.22784781995","-1174.22784781995","-1171.0029352567067","-1171.0029352567067","-1171.0029352567067","-1071.5555208848368","-1071.5555208848368","-1071.5555208848368","-1080.1107174118297","-1080.1107174118297","-1080.1107174118297","-1181.9471682676717","-1181.9471682676717","-1181.9471682676717","-1260.869990285859","-1260.869990285859","-1260.869990285859","-658.5773677560485","-658.5773677560485","-658.5773677560485","-1097.3876611039561","-1097.3876611039561","-1097.3876611039561","-1214.4468280598817","-1214.4468280598817","-1214.4468280598817","-1110.2522524197618","-1110.2522524197618","-1110.2522524197618","-1030.1819051367288","-1030.1819051367288","-1030.1819051367288","-1055.9334026513","-1055.9334026513","-1055.9334026513","-1213.269317076205","-1213.269317076205","-1213.269317076205","-1138.0922237091968","-1138.0922237091968","-1138.0922237091968","-1033.487381043044","-1033.487381043044","-1033.487381043044","-1164.5295246338642","-1164.5295246338642","-1164.5295246338642","-1089.5205170818026","-1089.5205170818026","-1089.5205170818026","-1157.1726473569925","-1157.1726473569925","-1157.1726473569925","-1065.7417809871522","-1065.7417809871522","-1065.7417809871522"
"3300","-867.3837539082217","-867.3837539082217","-867.3837539082217","-957.676893686529","-957.676893686529","-957.676893686529","-1036.1335322986347","-1036.1335322986347","-1036.1335322986347","-988.1481958014898","-988.1481958014898","-988.1481958014898","-1030.6953299695977","-1030.6953299695977","-1030.6953299695977","-1085.231959624095","-1085.231959624095","-1085.231959624095","-1184.3949257617066","-1184.3949257617066","-1184.3949257617066","-557.1849418014923","-557.1849418014923","-557.1849418014923","-869.1831774319559","-869.1831774319559","-869.1831774319559","-1062.4580175189567","-1062.4580175189567","-1062.4580175189567","-761.3266454105435","-761.3266454105435","-761.3266454105435","-868.4683793760394","-868.4683793760394","-868.4683793760394","-936.4348774327257","-936.4348774327257","-936.4348774327257","-957.9253735932696","-957.9253735932696","-957.9253735932696","-1088.7024406902387","-1088.7024406902387","-1088.7024406902387","-457.492364739988","-457.492364739988","-457.492364739988","-1061.0227696434272","-1061.0227696434272","-1061.0227696434272","-897.8787534737312","-897.8787534737312","-897.8787534737312","-975.124715122661","-975.124715122661","-975.124715122661","-905.1787460294714","-905.1787460294714","-905.1787460294714"
"3600","-478.96256024646647","-478.96256024646647","-478.96256024646647","-873.4129572131576","-873.4129572131576","-873.4129572131576","-1002.0821665396172","-1002.0821665396172","-1002.0821665396172","-560.5715311787625","-560.5715311787625","-560.5715311787625","-710.2746651825807","-710.2746651825807","-710.2746651825807","-776.1399576632004","-776.1399576632004","-776.1399576632004","-727.1614374975665","-727.1614374975665","-727.1614374975665","-457.0947716811414","-457.0947716811414","-457.0947716811414","-506.5672568642541","-506.5672568642541","-506.5672568642541","-990.9500890128359","-990.9500890128359","-990.9500890128359","-405.05137376838286","-405.05137376838286","-405.05137376838286","-747.4977504958003","-747.4977504958003","-747.4977504958003","-712.242814840985","-712.242814840985","-712.242814840985","-1141.2607849060048","-1141.2607849060048","-1141.2607849060048","-866.8601997797772","-866.8601997797772","-866.8601997797772","-454.0175394687376","-454.0175394687376","-454.0175394687376","-830.3827096790253","-830.3827096790253","-830.3827096790253","-892.2415584185765","-892.2415584185765","-892.2415584185765","-750.7432022755811","-750.7432022755811","-750.7432022755811","-216.63755556033144","-216.63755556033144","-216.63755556033144"
"3900","-235.33296657022052","-235.33296657022052","-235.33296657022052","-339.5850860840939","-339.5850860840939","-339.5850860840939","-821.3467985378715","-821.3467985378715","-821.3467985378715","-288.4760674037334","-288.4760674037334","-288.4760674037334","-664.1102684574774","-664.1102684574774","-664.1102684574774","-499.4424578549603","-499.4424578549603","-499.4424578549603","-398.1746173087703","-398.1746173087703","-398.1746173087703","-110.3089842273661","-110.3089842273661","-110.3089842273661","-242.52049623124307","-242.52049623124307","-242.52049623124307","-762.787435254971","-762.787435254971","-762.787435254971","-158.94390753506053","-158.94390753506053","-158.94390753506053","-345.85947542790984","-345.85947542790984","-345.85947542790984","-187.82488241686673","-187.82488241686673","-187.82488241686673","-835.9988972840183","-835.9988972840183","-835.9988972840183","-546.5291503385303","-546.5291503385303","-546.5291503385303","-377.4097060581405","-377.4097060581405","-377.4097060581405","-624.1928910233698","-624.1928910233698","-624.1928910233698","-900.4962501045878","-900.4962501045878","-900.4962501045878","-718.425129020247","-718.425129020247","-718.425129020247","-295.4310310612199","-295.4310310612199","-295.4310310612199"
"4200","-181.2895322598742","-181.2895322598742","-181.2895322598742","-228.31592650287047","-228.31592650287047","-228.31592650287047","-363.3202802165342","-363.3202802165342","-363.3202802165342","-254.77625610547685","-254.77625610547685","-254.77625610547685","-929.9034359877982","-929.9034359877982","-929.9034359877982","-233.94990785538772","-233.94990785538772","-233.94990785538772","-339.2777436590967","-339.2777436590967","-339.2777436590967","-106.67551078562947","-106.67551078562947","-106.67551078562947","-354.66511567561577","-354.66511567561577","-354.66511567561577","-667.7741406102596","-667.7741406102596","-667.7741406102596","-865.9316941232416","-865.9316941232416","-865.9316941232416","-263.1753660925535","-263.1753660925535","-263.1753660925535","-158.4947446496452","-158.4947446496452","-158.4947446496452","-637.0704327620783","-637.0704327620783","-637.0704327620783","-189.82431574810943","-189.82431574810943","-189.82431574810943","-215.74015293123256","-215.74015293123256","-215.74015293123256","-280.9452393105678","-280.9452393105678","-280.9452393105678","-805.3593702475338","-805.3593702475338","-805.3593702475338","-606.1888818841428","-606.1888818841428","-606.1888818841428","-154.76309394991978","-154.76309394991978","-154.76309394991978"
"4500","-294.78249508576806","-294.78249508576806","-294.78249508576806","-199.78250487461767","-199.78250487461767","-199.78250487461767","-294.86965775038345","-294.86965775038345","-294.86965775038345","-224.4584247293871","-224.4584247293871","-224.4584247293871","-1025.3513854929206","-1025.3513854929206","-1025.3513854929206","-181.13821941095716","-181.13821941095716","-181.13821941095716","-225.6857577083199","-225.6857577083199","-225.6857577083199","-106.09776950882974","-106.09776950882974","-106.09776950882974","-215.94725290070778","-215.94725290070778","-215.94725290070778","-658.100000820846","-658.100000820846","-658.100000820846","-152.78848950415332","-152.78848950415332","-152.78848950415332","-206.06578571348118","-206.06578571348118","-206.06578571348118","-131.75563355327552","-131.75563355327552","-131.75563355327552","-218.34057213913292","-218.34057213913292","-218.34057213913292","-555.4303429030273","-555.4303429030273","-555.4303429030273","-156.28033849060824","-156.28033849060824","-156.28033849060824","-156.59538879440862","-156.59538879440862","-156.59538879440862","-615.8126636299443","-615.8126636299443","-615.8126636299443","-493.8941552037031","-493.8941552037031","-493.8941552037031","-150.98828532221563","-150.98828532221563","-150.98828532221563"
"4800","-325.1335809301666","-325.1335809301666","-325.1335809301666","-196.15628831434088","-196.15628831434088","-196.15628831434088","-266.2529501411201","-266.2529501411201","-266.2529501411201","-222.64077917171826","-222.64077917171826","-222.64077917171826","-381.6527658539379","-381.6527658539379","-381.6527658539379","-180.68451469787016","-180.68451469787016","-180.68451469787016","-196.93532660070014","-196.93532660070014","-196.93532660070014","-102.21534323886166","-102.21534323886166","-102.21534323886166","-213.02783681279948","-213.02783681279948","-213.02783681279948","-666.3160754395258","-666.3160754395258","-666.3160754395258","-738.9576310413761","-738.9576310413761","-738.9576310413761","-175.66215054118993","-175.66215054118993","-175.66215054118993","-126.71709358918126","-126.71709358918126","-126.71709358918126","-212.04292759675042","-212.04292759675042","-212.04292759675042","-181.607701861026","-181.607701861026","-181.607701861026","-125.19407713430101","-125.19407713430101","-125.19407713430101","-144.98557463859711","-144.98557463859711","-144.98557463859711","-527.9582147761457","-527.9582147761457","-527.9582147761457","-201.15483867591524","-201.15483867591524","-201.15483867591524","-124.97558865463957","-124.97558865463957","-124.97558865463957"
"5100","-145.45229781429296","-145.45229781429296","-145.45229781429296","-191.90568539617556","-191.90568539617556","-191.90568539617556","-251.5298842574751","-251.5298842574751","-251.5298842574751","-221.4601779030057","-221.4601779030057","-221.4601779030057","-1372.3641343627207","-1372.3641343627207","-1372.3641343627207","-150.40295763901557","-150.40295763901557","-150.40295763901557","-193.77146043299587","-193.77146043299587","-193.77146043299587","-100.87169114854683","-100.87169114854683","-100.87169114854683","-208.75438653482075","-208.75438653482075","-208.75438653482075","-350.3245118397989","-350.3245118397989","-350.3245118397989","-155.3408311208894","-155.3408311208894","-155.3408311208894","-173.0540630835564","-173.0540630835564","-173.0540630835564","-127.10104932804151","-127.10104932804151","-127.10104932804151","-207.84881905467356","-207.84881905467356","-207.84881905467356","-179.49692711541758","-179.49692711541758","-179.49692711541758","-124.50213043740985","-124.50213043740985","-124.50213043740985","-143.45092063950813","-143.45092063950813","-143.45092063950813","-243.30587874769998","-243.30587874769998","-243.30587874769998","-193.32588938527942","-193.32588938527942","-193.32588938527942","-122.18664255768851","-122.18664255768851","-122.18664255768851"
"5400","-144.92369651463167","-144.92369651463167","-144.92369651463167","-216.7188050225613","-216.7188050225613","-216.7188050225613","-231.66600456389386","-231.66600456389386","-231.66600456389386","-212.75176820339993","-212.75176820339993","-212.75176820339993","-152.22936258988025","-152.22936258988025","-152.22936258988025","-146.6142656548313","-146.6142656548313","-146.6142656548313","-191.75013736041944","-191.75013736041944","-191.75013736041944","-101.39835438280937","-101.39835438280937","-101.39835438280937","-179.4546870137393","-179.4546870137393","-179.4546870137393","-137.4181737287604","-137.4181737287604","-137.4181737287604","-153.9970467621932","-153.9970467621932","-153.9970467621932","-173.23561692968394","-173.23561692968394","-173.23561692968394","-130.4690798566944","-130.4690798566944","-130.4690798566944","-206.82509689549525","-206.82509689549525","-206.82509689549525","-174.60788760708235","-174.60788760708235","-174.60788760708235","-149.56874435883006","-149.56874435883006","-149.56874435883006","-143.22258219553632","-143.22258219553632","-143.22258219553632","-150.32965869753897","-150.32965869753897","-150.32965869753897","-179.53694327042905","-179.53694327042905","-179.53694327042905","-122.44145584834287","-122.44145584834287","-122.44145584834287"
"5700","-144.0271892082855","-144.0271892082855","-144.0271892082855","-214.30772895692766","-214.30772895692766","-214.30772895692766","-226.39775771213212","-226.39775771213212","-226.39775771213212","-214.79806139883522","-214.79806139883522","-214.79806139883522","-151.20893313136133","-151.20893313136133","-151.20893313136133","-146.61762631768647","-146.61762631768647","-146.61762631768647","-193.01577831484045","-193.01577831484045","-193.01577831484045","-102.52995897639224","-102.52995897639224","-102.52995897639224","-177.32493775014805","-177.32493775014805","-177.32493775014805","-137.10375236319555","-137.10375236319555","-137.10375236319555","-153.12961128483266","-153.12961128483266","-153.12961128483266","-172.3682211455264","-172.3682211455264","-172.3682211455264","-127.35337255509917","-127.35337255509917","-127.35337255509917","-203.83017019644387","-203.83017019644387","-203.83017019644387","-172.5003989560716","-172.5003989560716","-172.5003989560716","-149.80190914362856","-149.80190914362856","-149.80190914362856","-141.77164300797165","-141.77164300797165","-141.77164300797165","-151.0194780803666","-151.0194780803666","-151.0194780803666","-176.49139969469326","-176.49139969469326","-176.49139969469326","-254.58413495091418","-254.58413495091418","-254.58413495091418"
"6000","-143.25141488553027","-143.25141488553027","-143.25141488553027","-213.88390399679906","-213.88390399679906","-213.88390399679906","-220.72383027969735","-220.72383027969735","-220.72383027969735","-239.32693243319568","-239.32693243319568","-239.32693243319568","-150.35330274869224","-150.35330274869224","-150.35330274869224","-149.58080895863367","-149.58080895863367","-149.58080895863367","-191.90571102068287","-191.90571102068287","-191.90571102068287","-101.04867397197893","-101.04867397197893","-101.04867397197893","-199.3759511695319","-199.3759511695319","-199.3759511695319","-135.42202683081388","-135.42202683081388","-135.42202683081388","-152.30096603200957","-152.30096603200957","-152.30096603200957","-170.9958916940187","-170.9958916940187","-170.9958916940187","-527.7358822607606","-527.7358822607606","-527.7358822607606","-364.20883073706057","-364.20883073706057","-364.20883073706057","-172.93595235434879","-172.93595235434879","-172.93595235434879","-121.85600500841092","-121.85600500841092","-121.85600500841092","-142.41578195906644","-142.41578195906644","-142.41578195906644","-124.6775281857364","-124.6775281857364","-124.6775281857364","-279.47895282436605","-279.47895282436605","-279.47895282436605","-124.32991556949207","-124.32991556949207","-124.32991556949207"
"6300","-165.89670546364417","-165.89670546364417","-165.89670546364417","-212.47076716414284","-212.47076716414284","-212.47076716414284","-220.95325989768804","-220.95325989768804","-220.95325989768804","-234.54177345987787","-234.54177345987787","-234.54177345987787","-151.92304359651368","-151.92304359651368","-151.92304359651368","-147.91169046853452","-147.91169046853452","-147.91169046853452","-192.00358963109198","-192.00358963109198","-192.00358963109198","-101.15932297465406","-101.15932297465406","-101.15932297465406","-172.3119117287336","-172.3119117287336","-172.3119117287336","-132.94395481092656","-132.94395481092656","-132.94395481092656","-374.47269260692775","-374.47269260692775","-374.47269260692775","-485.9251510113274","-485.9251510113274","-485.9251510113274","-125.07209333724897","-125.07209333724897","-125.07209333724897","-376.4996596138404","-376.4996596138404","-376.4996596138404","-175.46746133032053","-175.46746133032053","-175.46746133032053","-146.87101634873903","-146.87101634873903","-146.87101634873903","-142.16710867504887","-142.16710867504887","-142.16710867504887","-123.08793680346892","-123.08793680346892","-123.08793680346892","-280.7333252123723","-280.7333252123723","-280.7333252123723","-170.86461313074182","-170.86461313074182","-170.86461313074182"
"6600","-217.5231399462753","-217.5231399462753","-217.5231399462753","-214.5639087845265","-214.5639087845265","-214.5639087845265","-219.9685269439236","-219.9685269439236","-219.9685269439236","-210.62762058027724","-210.62762058027724","-210.62762058027724","-150.55290862906648","-150.55290862906648","-150.55290862906648","-147.1591122366093","-147.1591122366093","-147.1591122366093","-192.29632925814786","-192.29632925814786","-192.29632925814786","-100.42398473674275","-100.42398473674275","-100.42398473674275","-172.27402357858614","-172.27402357858614","-172.27402357858614","-122.58063729541902","-122.58063729541902","-122.58063729541902","-766.7819767545086","-766.7819767545086","-766.7819767545086","-327.4059811362414","-327.4059811362414","-327.4059811362414","-125.84746907707867","-125.84746907707867","-125.84746907707867","-590.4410534193995","-590.4410534193995","-590.4410534193995","-178.68193651322022","-178.68193651322022","-178.68193651322022","-121.15166832220004","-121.15166832220004","-121.15166832220004","-143.10471049991406","-143.10471049991406","-143.10471049991406","-124.63571835450253","-124.63571835450253","-124.63571835450253","-306.6690263779998","-306.6690263779998","-306.6690263779998","-121.69360937971355","-121.69360937971355","-121.69360937971355"
"6900","-142.84502646224624","-142.84502646224624","-142.84502646224624","-191.46824846477318","-191.46824846477318","-191.46824846477318","-219.3177376670867","-219.3177376670867","-219.3177376670867","-213.93569729872334","-213.93569729872334","-213.93569729872334","-153.6288881663878","-153.6288881663878","-153.6288881663878","-146.71767541615455","-146.71767541615455","-146.71767541615455","-192.16133627323904","-192.16133627323904","-192.16133627323904","-101.49886429996522","-101.49886429996522","-101.49886429996522","-171.82508642378724","-171.82508642378724","-171.82508642378724","-134.02071997493596","-134.02071997493596","-134.02071997493596","-1230.3840557022331","-1230.3840557022331","-1230.3840557022331","-479.95481933107067","-479.95481933107067","-479.95481933107067","-125.28687414118319","-125.28687414118319","-125.28687414118319","-421.1155696029756","-421.1155696029756","-421.1155696029756","-176.43539718966457","-176.43539718966457","-176.43539718966457","-120.56824831441354","-120.56824831441354","-120.56824831441354","-142.54465675930396","-142.54465675930396","-142.54465675930396","-121.84373866804336","-121.84373866804336","-121.84373866804336","-446.8182184119065","-446.8182184119065","-446.8182184119065","-120.34212977396949","-120.34212977396949","-120.34212977396949"
"7200","-142.4974256254832","-142.4974256254832","-142.4974256254832","-192.49153153377551","-192.49153153377551","-192.49153153377551","-219.117266281115","-219.117266281115","-219.117266281115","-212.9706354633021","-212.9706354633021","-212.9706354633021","-152.02296223013326","-152.02296223013326","-152.02296223013326","-145.7335368431716","-145.7335368431716","-145.7335368431716","-193.89228298373655","-193.89228298373655","-193.89228298373655","-99.80799018997949","-99.80799018997949","-99.80799018997949","-171.74596056550823","-171.74596056550823","-171.74596056550823","-138.7717098174752","-138.7717098174752","-138.7717098174752","-149.24815617580157","-149.24815617580157","-149.24815617580157","-570.7735005686653","-570.7735005686653","-570.7735005686653","-124.25428484405795","-124.25428484405795","-124.25428484405795","-420.7501914221648","-420.7501914221648","-420.7501914221648","-175.87612307755666","-175.87612307755666","-175.87612307755666","-121.64089019734271","-121.64089019734271","-121.64089019734271","-142.6235678419312","-142.6235678419312","-142.6235678419312","-120.24409070946669","-120.24409070946669","-120.24409070946669","-308.1286548947694","-308.1286548947694","-308.1286548947694","-120.63348416312074","-120.63348416312074","-120.63348416312074"
"7500","-142.2418919216329","-142.2418919216329","-142.2418919216329","-192.94552925419848","-192.94552925419848","-192.94552925419848","-219.20444911902888","-219.20444911902888","-219.20444911902888","-215.50453491619078","-215.50453491619078","-215.50453491619078","-150.98732836284432","-150.98732836284432","-150.98732836284432","-147.02325235221167","-147.02325235221167","-147.02325235221167","-193.67169691237862","-193.67169691237862","-193.67169691237862","-99.89661790401573","-99.89661790401573","-99.89661790401573","-171.77541319085904","-171.77541319085904","-171.77541319085904","-143.83131913631675","-143.83131913631675","-143.83131913631675","-148.60454832853486","-148.60454832853486","-148.60454832853486","-691.0621851303956","-691.0621851303956","-691.0621851303956","-124.22501990449348","-124.22501990449348","-124.22501990449348","-613.6635811290303","-613.6635811290303","-613.6635811290303","-175.78619935890097","-175.78619935890097","-175.78619935890097","-121.86234214601473","-121.86234214601473","-121.86234214601473","-142.94340862306592","-142.94340862306592","-142.94340862306592","-119.98291017711622","-119.98291017711622","-119.98291017711622","-333.91526363481546","-333.91526363481546","-333.91526363481546","-120.71103379834283","-120.71103379834283","-120.71103379834283"
"7800","-248.36255723694907","-248.36255723694907","-248.36255723694907","-192.26770988733193","-192.26770988733193","-192.26770988733193","-220.56578032292464","-220.56578032292464","-220.56578032292464","-214.62486609981661","-214.62486609981661","-214.62486609981661","-152.07741559825558","-152.07741559825558","-152.07741559825558","-146.21303497539606","-146.21303497539606","-146.21303497539606","-193.52593731027372","-193.52593731027372","-193.52593731027372","-100.35951607186442","-100.35951607186442","-100.35951607186442","-172.04396265720976","-172.04396265720976","-172.04396265720976","-141.20310864339896","-141.20310864339896","-141.20310864339896","-147.48593723141846","-147.48593723141846","-147.48593723141846","-195.220458035319","-195.220458035319","-195.220458035319","-125.24901908242484","-125.24901908242484","-125.24901908242484","-204.4039752027223","-204.4039752027223","-204.4039752027223","-172.94276380243872","-172.94276380243872","-172.94276380243872","-122.23196802743607","-122.23196802743607","-122.23196802743607","-142.9114765425182","-142.9114765425182","-142.9114765425182","-119.95921940380249","-119.95921940380249","-119.95921940380249","-363.07441188498535","-363.07441188498535","-363.07441188498535","-120.58933951625917","-120.58933951625917","-120.58933951625917"
"8100","-141.93121459599547","-141.93121459599547","-141.93121459599547","-192.3956195166792","-192.3956195166792","-192.3956195166792","-219.24322391534525","-219.24322391534525","-219.24322391534525","-215.16617747805654","-215.16617747805654","-215.16617747805654","-150.65239706654395","-150.65239706654395","-150.65239706654395","-148.67856059793067","-148.67856059793067","-148.67856059793067","-276.9813162450956","-276.9813162450956","-276.9813162450956","-99.54493964937068","-99.54493964937068","-99.54493964937068","-171.52006479430625","-171.52006479430625","-171.52006479430625","-138.74247826268453","-138.74247826268453","-138.74247826268453","-147.78741104286624","-147.78741104286624","-147.78741104286624","-171.63247494487376","-171.63247494487376","-171.63247494487376","-124.72737502005559","-124.72737502005559","-124.72737502005559","-204.66070978282863","-204.66070978282863","-204.66070978282863","-170.94670892198693","-170.94670892198693","-170.94670892198693","-123.0714072860031","-123.0714072860031","-123.0714072860031","-143.14074014898","-143.14074014898","-143.14074014898","-119.88291133318714","-119.88291133318714","-119.88291133318714","-186.29621528813078","-186.29621528813078","-186.29621528813078","-120.88393830779026","-120.88393830779026","-120.88393830779026"
"8400","-142.24421387232152","-142.24421387232152","-142.24421387232152","-220.00625629241858","-220.00625629241858","-220.00625629241858","-218.92578287991773","-218.92578287991773","-218.92578287991773","-215.3221843505546","-215.3221843505546","-215.3221843505546","-148.87154644298087","-148.87154644298087","-148.87154644298087","-147.8083698185889","-147.8083698185889","-147.8083698185889","-192.72442914990802","-192.72442914990802","-192.72442914990802","-100.7085485036051","-100.7085485036051","-100.7085485036051","-171.08100543966776","-171.08100543966776","-171.08100543966776","-138.1810688374397","-138.1810688374397","-138.1810688374397","-147.13635565884033","-147.13635565884033","-147.13635565884033","-194.20671171744644","-194.20671171744644","-194.20671171744644","-123.28623463530361","-123.28623463530361","-123.28623463530361","-206.64029081055122","-206.64029081055122","-206.64029081055122","-170.32603646677944","-170.32603646677944","-170.32603646677944","-123.83447915977217","-123.83447915977217","-123.83447915977217","-142.42312993355776","-142.42312993355776","-142.42312993355776","-120.05429141782982","-120.05429141782982","-120.05429141782982","-187.11495901016463","-187.11495901016463","-187.11495901016463","-123.82355641867275","-123.82355641867275","-123.82355641867275"
"8700","-143.4601155671561","-143.4601155671561","-143.4601155671561","-218.9209164890568","-218.9209164890568","-218.9209164890568","-218.79115611624394","-218.79115611624394","-218.79115611624394","-215.50380864341332","-215.50380864341332","-215.50380864341332","-149.2789963499074","-149.2789963499074","-149.2789963499074","-438.4785755107852","-438.4785755107852","-438.4785755107852","-192.39189995655906","-192.39189995655906","-192.39189995655906","-101.01263957032609","-101.01263957032609","-101.01263957032609","-171.47592160146405","-171.47592160146405","-171.47592160146405","-138.88178459850477","-138.88178459850477","-138.88178459850477","-146.7258196850535","-146.7258196850535","-146.7258196850535","-169.34839167013735","-169.34839167013735","-169.34839167013735","-125.02777965683347","-125.02777965683347","-125.02777965683347","-206.23905589989778","-206.23905589989778","-206.23905589989778","-171.12877515144834","-171.12877515144834","-171.12877515144834","-123.45549182739323","-123.45549182739323","-123.45549182739323","-142.74676894172197","-142.74676894172197","-142.74676894172197","-119.32814657231737","-119.32814657231737","-119.32814657231737","-185.0692744501433","-185.0692744501433","-185.0692744501433","-122.96133962730578","-122.96133962730578","-122.96133962730578"
"9000","-142.99404128849932","-142.99404128849932","-142.99404128849932","-193.89285776938067","-193.89285776938067","-193.89285776938067","-218.45147001244413","-218.45147001244413","-218.45147001244413","-215.97934101009236","-215.97934101009236","-215.97934101009236","-149.3178662655288","-149.3178662655288","-149.3178662655288","-148.25007032719162","-148.25007032719162","-148.25007032719162","-193.50925646132205","-193.50925646132205","-193.50925646132205","-100.6660148761463","-100.6660148761463","-100.6660148761463","-171.5546330053705","-171.5546330053705","-171.5546330053705","-139.86757371078852","-139.86757371078852","-139.86757371078852","-146.39866191696257","-146.39866191696257","-146.39866191696257","-169.60551753130366","-169.60551753130366","-169.60551753130366","-124.35465222426069","-124.35465222426069","-124.35465222426069","-207.06337530424426","-207.06337530424426","-207.06337530424426","-169.84206534154444","-169.84206534154444","-169.84206534154444","-148.03116564624767","-148.03116564624767","-148.03116564624767","-142.44357046654756","-142.44357046654756","-142.44357046654756","-119.89351017642187","-119.89351017642187","-119.89351017642187","-185.66274545378633","-185.66274545378633","-185.66274545378633","-122.16383249005654","-122.16383249005654","-122.16383249005654"
