"Step","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: EQL_geo - eval/avg_reward","Group: EQL_geo - eval/avg_reward__MIN","Group: EQL_geo - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: DDPG - eval/avg_reward","Group: DDPG - eval/avg_reward__MIN","Group: DDPG - eval/avg_reward__MAX"
"10000","-2.7997075745330857","-4.855716204877763","-1.8093373329036762","-3.107600555469187","-5.8009446743787985","-1.9631400904382192","-3.2388385672634774","-4.7495868481294945","-1.8051107829591704","-2.9043757736157074","-4.9390439509954875","-1.3591666545284296","-2.4619174200358795","-3.669722941067473","-1.7357445058049041"
"10500","-2.7196168781283494","-3.481355736183424","-2.291070163948608","-2.5734306179373","-3.647801221020398","-1.339285654405972","-3.101419907975371","-4.664289578834628","-2.1383774960987325","-2.6694708043584923","-3.561765197955059","-1.1457985076667327","-2.335549428458556","-3.7344541457205005","-1.3918839585503802"
"11000","-3.305551499714921","-4.669898785633982","-1.8252454764074106","-2.7977385993114736","-5.219123495540172","-1.8112173860038137","-2.6926895423353217","-4.108200682321426","-1.6597295218378398","-2.8191417041967988","-4.268356034476735","-1.755083932103283","-2.4885937933513516","-4.052195485163422","-1.3483669768756832"
"11500","-2.7884373568987355","-3.3562634828801294","-1.9256587937520124","-2.343529640962204","-3.2693986832191455","-1.3914386250140396","-2.9610841559472467","-4.506715318540813","-1.763185692634107","-2.72786894351015","-3.5457925046061183","-1.9642144203517256","-2.4020005569505973","-3.553761800943941","-1.4140289718266772"
"12000","-2.5766980884552177","-3.9747849857873283","-1.7621266782665903","-2.5825346605370187","-4.189740468161581","-1.4784637990996718","-2.6966141025201606","-3.4136328082227556","-1.995391141423892","-2.707131762072213","-3.9825613559297777","-1.6539728256172084","-2.4718025851923793","-4.50543533380377","-1.7198773479344116"
"12500","-3.1096278930116954","-3.591388700811579","-2.5763509361820276","-2.176292164336543","-3.7901712498614173","-1.1786745679882267","-2.80988777437041","-7.01771354176126","-1.479418176253993","-2.313022155954795","-3.3506129456393174","-1.3183653022504502","-1.9543182860472998","-2.8624488068829685","-1.5007251453426942"
"13000","-2.6577871848414505","-3.5070433269137915","-1.1411211963804453","-1.9865357455398491","-2.3927467016388033","-1.4940559657844843","-2.4495045700278184","-3.0378290117781064","-1.9109595756591176","-2.999354010115214","-4.642109791651508","-2.009076269764256","-1.9092527088719087","-2.9140827818723762","-1.3519541406112985"
"13500","-2.403026231210947","-3.795699847287657","-1.6729557923906824","-1.9325236973664193","-2.484188447836247","-1.5362482679568834","-2.55218576098333","-3.5532663452945448","-1.633243215235829","-2.4790249627857253","-3.506037856606511","-1.5674765263942887","-2.4468002567088196","-5.836414576997381","-1.3466313296387729"
"14000","-2.5354262990868173","-3.1464089536362487","-1.4167815744054189","-2.087164659015297","-3.104361630937259","-1.1905394935721447","-2.367463933461747","-5.16944674605981","-1.5298682468150653","-2.440157009613145","-3.2197539290797303","-1.9173459010656952","-1.7941178095525434","-2.7643381179650683","-0.9991356852535361"
"14500","-2.5384680141319813","-2.970293674770083","-1.7128702959350899","-2.4879704032716368","-4.4725696256818805","-1.151002368890652","-2.2379043285483244","-2.6701736362929784","-1.732858804139418","-2.8902804429698303","-4.246220690982396","-1.9202176290291937","-1.8395202387536191","-2.8828791521777797","-1.1761138354859824"
"15000","-2.522176673430428","-3.4906608202991043","-1.4399272900184883","-2.2559827993617185","-3.788352475305164","-1.1155828108207015","-2.236215938124897","-3.5723847735347953","-1.2228283174648167","-2.2951836343002374","-3.342874588713572","-1.5404261901283","-1.8162363322755137","-2.8250889128251844","-1.3002514387885442"
"15500","-2.1867315862918817","-2.922000470688027","-1.7816698595558775","-1.996837090318604","-3.2090623375491516","-1.2835584439240777","-2.5890640974994414","-3.268815247633795","-1.6243378344937867","-2.636778455739655","-3.750563034334357","-1.8518989453044692","-2.230165423137307","-3.251637429348295","-1.1843736978251775"
"16000","-2.1917231067792655","-3.079456464589385","-1.1842942358339552","-2.4641668585525083","-4.2327837298965845","-1.2868709422608788","-2.3008634035879583","-4.020469739638322","-1.3959627933143877","-2.0791102170784552","-2.666095405419649","-1.2799174660589585","-2.0801348413133374","-3.5978710429808225","-1.303346353304867"
"16500","-2.238925866247273","-3.6459571352465483","-1.1797441655979601","-2.1766303865915537","-3.8433728394825044","-1.423488960407168","-2.1301423063790823","-3.5279337455694333","-0.9391661920379836","-2.1739424218061174","-2.8152362020870663","-1.5818930736559658","-1.7590027312651348","-2.322502268405638","-1.3617498184060535"
"17000","-2.3179024786152262","-3.949929565460843","-1.5630454149369792","-1.9721203139535368","-3.2248363331953085","-1.1820643928551777","-1.993233601261449","-2.6567815460961617","-1.1480517709954312","-2.1853731221942074","-3.5774793565368923","-1.2089089378722362","-1.6234424077652043","-2.6292945903308405","-1.1161463354812686"
"17500","-2.3581617741613083","-2.8782703789582085","-1.7946265123790774","-2.012025895888491","-3.6704442757962688","-1.1738526443330624","-2.1605025544506034","-3.6891737357308743","-1.093921644988325","-2.5516433684726985","-3.490634667466208","-1.1461727101275825","-1.8639510387503961","-3.17771791412205","-1.0347565999900197"
"18000","-2.66474382305436","-4.515118280582525","-1.3657737959963219","-2.3095962350479633","-3.526974071693074","-1.0977557188940428","-2.114608287375179","-3.4577955044070094","-1.4152201666864974","-2.2147648609283186","-3.3827400798404113","-1.6651545487561996","-1.4287773200901672","-1.8168230744048686","-0.9973456447612656"
"18500","-2.184542076055885","-2.562846246791762","-1.4946855105527477","-2.0528359996387255","-4.23611141506789","-1.0442256491512336","-2.052878386211545","-3.363702009607065","-1.5199004791247284","-2.596286616047956","-3.5540716183406027","-1.4476629463328243","-1.6541598866751834","-2.5184279970971586","-0.9266170562843687"
"19000","-2.32471626694348","-3.3052957456817444","-1.42248020020993","-1.7564168930633872","-2.783101578094483","-0.9519209294391351","-1.644981450801804","-1.952743953428639","-0.92676001091035","-2.1561856420576055","-2.772735765963991","-1.176564619794054","-1.8804106249924302","-4.360259344713099","-0.8393645893681375"
"19500","-2.1546209688076776","-2.957067951417749","-0.7136847319309549","-1.6737842731846655","-2.8813381008123415","-0.9546189737798334","-1.6668906498421698","-2.4475629639426564","-1.150257574727186","-2.4928451795017277","-3.0555270305170086","-1.6769241251588152","-1.5969345875364362","-2.820393704226053","-0.9330059933348102"
"20000","-2.187804752545187","-3.0892861356138126","-1.2600924557272273","-1.3268308393506352","-1.756525008331875","-0.982149999121725","-1.7818736923781615","-2.7253483521465025","-1.1174058271525253","-2.103712476159573","-2.710187841063925","-1.302728319846264","-1.6755916440805017","-3.3910940243333627","-0.9406871526883378"
"20500","-2.1551782229246177","-2.963277324802644","-1.1896882020675552","-1.4869289055550798","-2.1196032922708943","-1.0269524445194242","-1.7921035189139225","-2.6973483896048998","-1.1925529051844592","-2.343682824349822","-2.853751552326193","-1.733397332875948","-1.3565512233845036","-1.8995300636988617","-0.928589618924393"
"21000","-2.12046964625448","-2.596300203523409","-1.2680504215672532","-1.4304016698728705","-2.064132758587916","-0.90094349563892","-1.8060643905850355","-2.618689246337587","-1.1832423780055632","-2.2389515548485983","-2.8713462651906925","-1.689890462370863","-1.6917000305911156","-3.0538675836196374","-1.0584410874543657"
"21500","-2.720228915873796","-4.317913796253428","-1.5936019391826117","-1.4388610654024412","-2.1451819876464517","-0.801224275869537","-1.3496666556509154","-1.866945633526092","-0.6782361163111718","-2.3530724737130795","-2.8828537028753813","-1.8466794043278483","-1.5004228603358105","-2.07961651392861","-0.897075874643108"
"22000","-2.27591215609512","-3.1605803074882224","-1.4844497363899678","-1.6420959644914344","-2.5567451169935347","-0.7532759754498997","-1.570234557825003","-2.397596362698051","-1.0204108720649316","-2.3219272223090313","-2.920330861380383","-1.7966382354514656","-1.1336994283472968","-1.8933550860756507","-0.6995203807156019"
"22500","-2.268266949410198","-2.958081405670587","-1.2691602560396347","-1.5332110695622154","-2.9005600995384726","-0.7995531561736021","-1.6064136116955603","-2.5493414571504727","-0.7866708468650347","-2.390154638300163","-2.8006251054528635","-1.6302549789436909","-1.395080894869069","-2.0154111299550523","-0.798078084076329"
"23000","-2.4139277763580145","-3.0001166997894138","-1.9654048339368018","-1.5152984701417678","-2.0597354179191343","-1.0756287267648905","-1.5414259748633368","-2.0508723142530827","-1.2078886161419704","-2.4142333871198765","-3.143988305495229","-1.532429083347676","-1.467878591213741","-2.179218247823903","-0.8009225759065577"
"23500","-2.043661493870543","-2.51960311645726","-1.204790124228285","-1.564242876971978","-2.542544091395132","-0.8641892351386378","-1.450931676644544","-2.188212175635724","-0.8982370850446493","-2.1446762900167164","-2.749798039849476","-1.4832418067231377","-1.3505049499086188","-2.0515501157193095","-0.6302423042980694"
"24000","-2.197843125078448","-2.60499430466598","-1.0046613671158","-1.3097663919257228","-1.7645838926337187","-0.7218128269907365","-1.4719387994288038","-1.9558409621857535","-1.1097895529743405","-2.315303338090091","-2.6688411353774","-1.7885047789593223","-1.2574819143580387","-2.0748502660902375","-0.7712279018680598"
"24500","-2.1055004471254968","-2.6238002056205763","-1.6877698482382784","-1.3397398573457933","-2.0601816945385973","-0.7361582774651462","-1.4141327227127087","-1.9617345392815284","-1.1324635380634755","-2.1850246089410126","-3.3415575264834416","-1.4904184166954293","-1.1499983206374431","-1.6256968784544348","-0.8941527516303542"
"25000","-2.1119688101611778","-2.359947041413601","-1.6185525011867905","-1.4603752371149876","-2.144248043512075","-0.9840899594344201","-1.3989502351572702","-1.8774856017950552","-0.8690158539586958","-2.2128428996799956","-2.5822187310814426","-1.563686979237061","-1.1260891095153813","-1.417447902719947","-0.77920388214403"
"25500","-2.113390085060704","-3.011624892822889","-1.341562391095638","-1.284584363864452","-1.9700930333472566","-0.7362679154847622","-1.4735880949317843","-1.786264134217339","-1.1368335148924924","-2.4072973307037815","-2.8558636859605935","-1.8835299500806992","-1.160235974628492","-2.3481211266773596","-0.627734497063647"
"26000","-2.0706008759594434","-2.8966024536677897","-1.1892771259908517","-1.2806746519595775","-2.3093670004485096","-1.0167258717145398","-1.3874550791443152","-1.974641347147958","-0.9872204405174421","-2.1745090462952783","-2.8352342339021623","-1.5160881870896865","-1.243273269898845","-2.0559569263550808","-0.8753292959623484"
"26500","-2.1406917606977958","-3.0002890199549483","-0.9752896804856693","-1.264878238095131","-1.737046772724708","-1.0252039795378198","-1.382703051440592","-1.8412248074105797","-0.974842212678636","-2.2250609259617864","-2.7045167699328063","-1.1770165664577512","-1.1028749004421123","-1.545302007620929","-0.6435203355577103"
"27000","-2.0645164261096425","-2.5543219807817934","-1.1390477403231647","-1.1448001927459805","-1.9618055111208286","-0.8004122066800861","-1.4671343412815983","-2.2020630268538284","-1.0455671390364893","-2.2891764392894913","-2.8077876870231266","-1.634326629881412","-1.1153759939052397","-1.5352270015156904","-0.7341340903225068"
"27500","-2.3054511691969126","-2.7642040356729076","-1.5443769522150241","-1.1514731239403653","-1.4225311148029995","-0.7315122998819914","-1.3729667774245642","-1.937786182696787","-1.0265466636159526","-2.0994023703074576","-2.604359504812903","-1.3724279176318115","-1.141822129412768","-1.5767215530823733","-0.7457516307766486"
"28000","-2.0172457279036746","-2.6617169860057404","-1.1994801100968555","-1.3573635131179005","-2.064227740071214","-0.7503865338227286","-1.325997518124913","-1.8624431738570404","-0.789035282777389","-2.1493221692959756","-2.7454467781737657","-1.1335192250477255","-1.0405012289915685","-1.4214773484161825","-0.6453420446946334"
"28500","-1.9736712266882304","-3.026728759517406","-1.3654419400972393","-1.0575707225878657","-1.3514783574900744","-0.6029272006336519","-1.3433932802925188","-2.2198289910257922","-0.8387688116211389","-2.1546798411125097","-2.7076818296262677","-1.597751938788465","-1.1697636833241298","-1.7001444775577366","-0.8507150972467347"
"29000","-2.032469193040165","-2.7022613707911587","-1.3686297470826245","-1.1415415135449327","-1.5231388742741971","-0.7967613845843872","-1.3858202732018088","-2.7421946778193993","-0.9200590290359312","-2.1997140965478263","-2.6846058618325017","-1.512767932068008","-1.1891171073749516","-1.8038164678708406","-0.7898717716000385"
"29500","-2.1436365558584565","-2.4871068099250557","-1.4943956221368524","-1.130098082597176","-1.5647361589442466","-0.6250226859893556","-1.1703216349034116","-1.8056859059294215","-0.8692750164920142","-2.18415716814964","-2.628330679027067","-1.5900176831744763","-1.1517105402191326","-1.5861936445664269","-0.5162440344357665"
"30000","-1.9446907009308716","-2.2287106514134623","-1.0992625449239228","-1.189596382750598","-2.4640786139347233","-0.7881598250893775","-1.31350614406135","-1.8221475891959926","-0.8336253100371671","-2.209361624034318","-2.8821486718520255","-1.1233029905631313","-0.9935715134370537","-1.2460846116385498","-0.7730511991399024"
"30500","-2.0595799504022763","-2.4216038416379035","-1.4878281340686903","-1.1505463216023","-1.4935492371765138","-0.6213348072642972","-1.0902357529619735","-1.5042501041511247","-0.784818500924003","-2.1294474070832377","-2.7830482569316914","-1.4253097876710044","-1.0584221416685202","-1.3560341920168357","-0.5976503000086966"
"31000","-2.0562953505307284","-2.3689110359330603","-1.1592889284075703","-1.219069075799473","-2.8028380525358902","-0.6306914537429754","-1.2317216804938844","-1.5446032800168568","-0.9090754968045525","-2.0219244022430822","-2.6543672987410094","-1.310491128735866","-1.0684102489544915","-1.5386721509076278","-0.7781837241162283"
"31500","-2.0166453195483784","-2.3841945447675656","-1.25541367617248","-1.0890964641351626","-1.7214125011923387","-0.6908138104035421","-1.200209106093832","-1.4623802964086579","-0.8978814307911993","-2.2708238056439543","-3.0849274655170635","-1.9416635264644821","-1.0932734750431636","-1.460417836455182","-0.7857836007032829"
"32000","-2.0933279172792414","-2.432939112884238","-1.6388809445749821","-1.1121857648060707","-1.6302717822024555","-0.7277515312249514","-1.1046665376784257","-1.4422934428439809","-0.7874735281234878","-2.2195462553507683","-3.254524892387855","-1.608144098159452","-1.1571312519484416","-1.8584507704389843","-0.7814246028728684"
"32500","-1.973336565153217","-2.4943130560054665","-1.254302135556015","-0.9967996106882173","-1.2663701112397787","-0.6711384315775696","-1.278517977198512","-1.8430805609687737","-0.7758100521240249","-2.258195086141222","-2.7726161853793485","-1.535843191386351","-1.1025397608457106","-1.492396967403652","-0.7596170038880352"
"33000","-1.8956508059601305","-2.3752736291934626","-1.3904696150693348","-1.0065211281111914","-1.353028339863779","-0.6326465341418007","-1.3127994810459365","-2.304127601640672","-0.8827957468148213","-2.1274559896318213","-2.6287637374011252","-1.2261666500430088","-0.9185677794249066","-1.1104989287433014","-0.6582717230802981"
"33500","-2.0503337330491074","-2.354588415790567","-1.5142536699939277","-1.088755558319375","-1.7148245889890021","-0.5191061781527517","-1.0773778980718856","-1.2904162506011396","-0.8191910089126416","-2.2079815240334315","-2.8731069820222244","-1.6434702525516294","-1.0495382932459507","-1.4367799119407008","-0.6515178372819975"
"34000","-1.9453677190296534","-2.346453507629094","-1.3462078322301227","-1.0215166193243619","-1.634623119000905","-0.6248127100768318","-1.0566735626975767","-1.2612907698724354","-0.8096116724934053","-2.0783311904631403","-2.609231971580466","-1.135258398623213","-1.1340627605447642","-1.9418132509006987","-0.6632344854292195"
"34500","-1.868130129642361","-2.423182876360979","-0.8176945172141649","-1.0196070491197986","-1.4320974129883064","-0.643546498834189","-1.075125758290152","-1.4534465977293425","-0.6722382967553802","-2.2282001629181027","-3.039061323909302","-1.623530421580822","-1.10794925765086","-1.4054639264810773","-0.8357688710935784"
"35000","-1.9312311674933604","-2.42804837423406","-1.2619564062744228","-1.05597518667189","-1.4616507784075101","-0.7574068736875752","-1.0043663998375132","-1.2452066615427095","-0.7310575131401371","-2.073398802969961","-2.7689905375410317","-1.1778450177479904","-0.9431719327410185","-1.3121905648815173","-0.5674408260252776"
"35500","-1.874709963769027","-2.383361773842722","-0.7426093869423522","-1.004746023134746","-1.5837754677357851","-0.5935745281009643","-1.0331705505259505","-1.3531680260490428","-0.8767100886176825","-2.285650196487148","-2.8980600906912195","-1.2375398784576515","-1.0072182412556336","-1.3200902554745093","-0.7563741807336875"
"36000","-2.035269071889009","-2.352766481453601","-1.178574109192861","-1.0065659996416663","-1.683419228700075","-0.6630008209436008","-1.0702793843436431","-1.4820237847604683","-0.8452165707187621","-2.1572931802029416","-2.5765525898538177","-1.2557202101187936","-0.9522268040170359","-1.4656598058524521","-0.7222089334443196"
"36500","-1.8183442091013522","-2.2693308520476045","-0.6152863117552183","-1.0326157860697642","-1.8857486742570757","-0.6167830724617369","-1.0908427350872398","-1.4011861051853323","-0.6316604870876523","-2.1095048328074983","-2.584132503845293","-1.1576692572773717","-1.0133684407372343","-1.4008461236158851","-0.7074509918065243"
"37000","-1.8455947217425979","-2.6552279744579095","-0.6598338744200558","-0.9572794083702515","-1.295996217834488","-0.6371874326313364","-1.0706974286556161","-1.6533906473099758","-0.7784546587695906","-2.133213017641116","-2.471295172957907","-1.4255555520849033","-1.0332970151278054","-1.689937581547235","-0.8056152195412322"
"37500","-1.9450182767900936","-2.4299562480813157","-1.403528082824088","-0.9450152800194859","-1.3159762433084305","-0.6707764653638415","-0.9440051895858514","-1.2478086214482487","-0.6293664759022863","-2.0425025452533334","-2.3897259654209746","-1.1376518720345916","-0.8843198035484752","-1.055163296890417","-0.5308679412686403"
"38000","-1.8702045120713973","-2.533106920405756","-1.0572475995607853","-0.8824116462345459","-1.174128082363541","-0.6178463949668399","-1.0035911807368612","-1.4819512258522476","-0.7590418509639074","-2.083327494397479","-2.6972592633590073","-1.4119937680861654","-0.9357391385279076","-1.335954074981823","-0.6410985298338608"
"38500","-1.8810592754531599","-2.4576099124138566","-1.0620394983849029","-0.9327703069472489","-1.2800156026709886","-0.4926252315830621","-1.0182915858910218","-1.3852650391416106","-0.6506876375077307","-1.9944153666437352","-2.284525490699983","-1.0940563194879247","-0.8330250849276858","-1.1322419234012187","-0.5863154995380853"
"39000","-1.8157800551328829","-2.3243244388889397","-1.0091157351956301","-0.9190775263428816","-1.3654407484375035","-0.5473088069333656","-0.964247305652887","-1.3312343863457996","-0.66256222875093","-2.113691642851792","-2.6788051017669603","-1.1214374538237841","-0.8751730818364634","-1.1585855302515404","-0.6935455803513734"
"39500","-1.787310315916708","-2.2043475727056703","-0.9654943150841356","-0.8478440920491381","-1.1648101171304686","-0.6077291131387911","-0.9507993962690436","-1.263945152873987","-0.7668813526221394","-2.080603020556458","-2.5049977049791834","-1.1930483973210755","-0.9295599216539548","-1.0820058282295024","-0.7504546103730768"
"40000","-1.894756170982158","-2.276544637478624","-1.3323908395530095","-0.8172140809210342","-1.0790943381431028","-0.4922516641661813","-0.9852195675475922","-1.6161215104524094","-0.5848992641498628","-2.0830552907925406","-2.449400536357851","-1.2166103724326491","-0.9096783752482853","-1.0954090615663818","-0.7107309331336842"
"40500","-1.9490283507376909","-2.567095298055162","-1.0327815346024969","-0.8264101793856243","-1.216113195578627","-0.5007351302281016","-0.9332082780831981","-1.2765173969939607","-0.6070538567727932","-2.0053260060392963","-2.4857832675164153","-1.0775760034801316","-0.833506979087692","-0.9778902998356157","-0.6870659293117433"
"41000","-1.9175933854026916","-2.483908680842367","-0.9304334381254249","-0.9284580437271253","-1.4924264658628796","-0.6007550793166871","-0.897522963834111","-1.205506269284216","-0.7217451282682688","-2.0248399943115283","-2.51465520484346","-1.0766619394818613","-0.8315549291189155","-1.0566182687338699","-0.6371582142663552"
"41500","-1.8855614463428387","-2.419201608384968","-1.2169288729695102","-0.804403224229155","-0.9420624827453423","-0.5728013629488325","-0.9870989643285185","-1.8702621213117432","-0.618108666923121","-2.101431836008267","-2.39924738569897","-1.2087428542703074","-0.8216607636104267","-1.2741288050834396","-0.6800316811006395"
"42000","-1.9327485363270624","-2.420700146549127","-1.2342557420543683","-0.8700273827748226","-1.1952017926434237","-0.4447224124412063","-0.9341933183751976","-1.1769911825899726","-0.6052112671465139","-2.0447349412972256","-2.3684056376479607","-1.208572400000643","-0.8100466233113748","-1.0518810397851104","-0.5558310644180303"
"42500","-1.9955288810515128","-2.583503333698164","-1.2872361466430826","-0.8333281996181794","-1.1527481802365471","-0.4976312334054164","-0.9655405925878476","-1.5725150545692013","-0.5898958487716139","-2.0707403946791003","-2.524378054420985","-1.335565134189489","-0.8712086469346039","-1.1221481047808322","-0.6379698291815611"
"43000","-1.933470144931724","-2.4848704476405823","-1.2758487562862526","-0.8544591427223438","-0.9846525970687038","-0.6364829015758833","-0.904235080141407","-1.161327990210752","-0.6241466961015802","-2.0917921468865703","-2.6882798788037183","-1.287030184654801","-0.8099088653836407","-1.0307234713094302","-0.6296207902244387"
