"Step","Group: EQL_geo02 - eval/avg_reward","Group: EQL_geo02 - eval/avg_reward__MIN","Group: EQL_geo02 - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: DDPG - eval/avg_reward","Group: DDPG - eval/avg_reward__MIN","Group: DDPG - eval/avg_reward__MAX"
"0","11.264268418938803","2.7113472675460186","42.299381200309384","11.264268418938803","2.7113472675460186","42.299381200309384","11.264268418938803","2.7113472675460186","42.299381200309384","10.731666898930204","2.7063975477321565","37.358347828168235","10.618139196701344","2.703801478387442","32.6592604219548"
"4000","7.669451127281889","3.3054067131871534","18.772176824826648","24.16623265990934","3.108421119829769","115.39699102443497","20.652366490125022","2.493902078511153","58.40335957163893","26.41874640033286","1.484698954486983","105.41403113875026","18.53055132417314","3.055678441624688","46.28420818561129"
"8000","20.299180900883986","3.305455450081163","35.428910602341084","28.78446330075285","3.108257865695865","91.8887485386758","27.960186450184967","6.324307195071452","67.60255580177673","20.357633461349987","1.33425893476614","52.81384474231847","30.063708231542165","3.018509687538528","67.46526779605416"
"12000","25.155789567122827","2.5369336493165457","65.15156351597064","25.76797115414694","5.635005522379057","88.48674609101411","32.07571761604015","4.888575901688519","87.41961272629007","19.862115216629814","4.805783186279608","60.80198032138285","28.39315929390724","4.669742971086039","65.4833045529259"
"16000","27.015267919383053","4.77623843772245","53.86826729535653","29.647621759037918","5.753589332204834","76.18417372974551","28.707580269938752","5.693894535761468","81.3671351425539","20.080664787291433","5.736865114991683","49.645919736900545","33.21626009911303","4.644537283643023","67.5281523306598"
"20000","42.52458062613506","2.9218319452439774","80.43764293588204","34.70697082799039","5.8298461324992426","70.85277886587504","27.00510227025049","2.4287045323335015","78.57386879515914","44.94762019955575","4.223940310521271","74.10385885820787","53.80229131494703","5.7205912983010885","106.74914974860224"
"24000","53.101215507847584","4.919718862754576","114.3959008191512","34.43385244993078","5.778963255515917","77.35443084262617","45.39571464097452","2.4275796668479863","88.21390854029417","55.82672738731619","17.11145171085797","122.6368091908233","62.706203261529424","5.7675632036735065","122.1533877260222"
"28000","64.96617986956892","14.390829268632904","110.05484267362263","43.7202023176435","7.164779997206438","74.18493116999267","68.2614640652451","5.708241569524103","104.14220402004466","57.41372052665584","17.11145171085797","117.03013658050907","66.52456170263979","8.974942852757486","111.20707706550759"
"32000","65.24364148531522","26.776416294964612","178.07021558160858","57.81092328899992","7.794853054592471","119.7541573920156","74.24624501222986","13.631631760706483","151.1045895734163","70.25754002770047","17.11145171085797","117.5300381685405","59.50568405900483","7.4427139205700055","112.922620477192"
"36000","87.07959514470774","21.62463803893579","174.86140816519435","60.71854646218098","8.142014693760819","136.77551481460273","75.55785460837645","7.167637335991676","158.24510467686065","74.78173275409145","17.11145171085797","107.35290705647988","56.470864256022445","7.709792128644378","113.21248513993086"
"40000","83.49577833276285","15.782049677744201","166.201346890982","67.83352311006361","9.604835885824098","155.71461607699536","91.39224929188362","6.350723777591966","149.68790974170298","83.96556149193655","17.19692506208306","154.5261929144276","70.1154240034002","7.5152091436791535","109.16214583214662"
