step,Pendulum-v1_0,Pendulum-v1_1,Pendulum-v1_10,Pendulum-v1_11,Pendulum-v1_12,Pendulum-v1_13,Pendulum-v1_14,Pendulum-v1_15,Pendulum-v1_16,Pendulum-v1_17,Pendulum-v1_18,Pendulum-v1_19,Pendulum-v1_2,Pendulum-v1_3,Pendulum-v1_4,Pendulum-v1_5,Pendulum-v1_6,Pendulum-v1_7,Pendulum-v1_8,Pendulum-v1_9
0,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
120,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
240,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
360,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
480,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
600,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
720,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
840,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
960,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
1080,-1415.019602509695,-1736.7881684449355,-1703.5946925249893,-1425.3744597530247,-1542.539120677247,-1522.4066326286581,-1386.8967068152376,-1394.8495653405128,-1616.7990764687713,-1641.049857183912,-1661.2817189968562,-1518.8238365900984,-1204.1036317847743,-1636.1843171690316,-1475.0778250181017,-1303.8185355881637,-1509.902342869036,-1222.2330702575746,-1636.4493953158808,-1567.5536146236143
1200,-1716.0438409882893,-1627.3865286343214,-1737.5484657501772,-1796.3219128492178,-1538.6641389510255,-1573.7520865111187,-1805.3629192580902,-1711.7278251206565,-1795.2848574122595,-1457.252909273213,-1711.2410116951191,-1591.6449188242245,-1279.3938246169694,-1532.3228916880278,-1232.0111930623236,-1416.1903291642027,-1842.0151108429532,-1799.4595189064294,-1535.8908268929517,-1675.4911690693316
1320,-1584.335504260188,-1468.970564329694,-1622.994605298571,-1807.6651292766378,-1523.235038906476,-1501.5467139422276,-1733.1236994489445,-1776.4334780410331,-1846.2707001776203,-1544.7928267632253,-1618.6386141763421,-1701.3893519607714,-1680.8292428548514,-1451.0351823063827,-1555.6138595761252,-1573.2590480295937,-1802.8334205998788,-1688.3866982445174,-1614.4242086653792,-1754.3235658901135
1440,-1598.0077510455528,-1459.8667264492526,-1492.602648575295,-1620.8255027480047,-1644.4206531865445,-1561.6014210519727,-1698.1499787342193,-1623.5007905010787,-1576.89637685991,-1572.247336758173,-1596.1370797133663,-1489.3675349472537,-1750.3283083843926,-1510.9814552543226,-1558.1500145993064,-1557.7452542800147,-1557.2002741535368,-1627.4602914534678,-1582.4956924822918,-1502.7862575089673
1560,-1488.3911803769086,-1445.4164406593572,-1482.6741283793929,-1527.4568863901534,-1626.2801279215298,-1623.2007712010607,-1545.869642479091,-1520.0155991014394,-1545.3055641316184,-1658.0992470202261,-1567.5620074106293,-1456.4825824092068,-1805.8157440420414,-1550.7243806462106,-1480.8330108147643,-1528.1059274366785,-1487.6066745955052,-1502.8556562547926,-1496.8411822076853,-1490.5776298981034
1680,-1480.470946915764,-1446.4967911420592,-1503.459656273537,-1494.1943382481284,-1446.4824075091935,-1585.5099703033034,-1488.4533736366543,-1501.817482819823,-1517.4363530100482,-1612.0704656777511,-1534.1592529061895,-1461.0678264011408,-1479.3189930449994,-1730.6923814686447,-1471.18179827322,-1514.8786049316782,-1479.1897186035585,-1496.9465470292978,-1473.5408623303797,-1478.0093232564352
1800,-1475.1902756634427,-1436.8584648620824,-1473.1512856966333,-1497.5309311775025,-1446.40769795135,-1574.9611286935365,-1478.7841538022017,-1477.0605893145942,-1512.3202575492571,-1612.7737902922688,-1518.3866690861341,-1468.4080590306555,-1522.4458474822413,-1800.0145715922997,-1448.4935602772116,-1506.96942834827,-1475.7307120287453,-1485.1142654728926,-1471.7847485845862,-1471.8019196972828
1920,-1467.1976280332347,-1452.8885615786332,-1464.815395827874,-1492.9609227206172,-1430.9505148827716,-1522.021328243472,-1474.4279336390257,-1475.2238433301616,-1486.1084963553294,-1613.440230226213,-1498.3171936338301,-1444.8872725627568,-1491.2884781362313,-1507.2397881229006,-1435.352557344723,-1508.9862252633827,-1476.3666739259636,-1469.327228507816,-1468.2069420935277,-1466.421724716705
2040,-1463.770588633341,-1441.8079201206974,-1447.9331850146143,-1487.952469893352,-1422.414149340631,-1512.4092680856247,-1465.7989662364266,-1321.4369080433887,-1478.344612508734,-1566.0008065719978,-1479.6908722017208,-1418.5066496701397,-1482.5620156304587,-1494.923992210144,-1430.8256023128479,-1510.152492644614,-1468.9047446223983,-1452.5890562704296,-1426.5870087103694,-1464.41139681541
2160,-1459.7342623548889,-1428.6091503419154,-1284.3068614084311,-1482.0339070620928,-1403.4075285528627,-1484.71672005106,-1457.1291553131382,-1261.2422996576558,-1472.4698207963997,-1552.1356010813136,-1469.4306712895348,-1409.9747101158578,-1396.2067112331908,-1485.8118844057558,-1408.2767929825523,-1500.6301910170976,-1464.32394673252,-1445.070643600459,-1394.258189203504,-1445.0173701506203
2280,-1449.3813924274468,-1417.3495574859742,-1285.2928394934472,-1397.542133058727,-1383.5374810869198,-1410.5373262842809,-1445.172250792028,-1163.3365134025912,-1465.1020080228118,-1533.1615868292276,-1455.56714187308,-1434.6962072822575,-1346.2476301459487,-1421.6626010199477,-1332.0618538174049,-1478.9341229315394,-1361.947524020813,-1445.8194957141538,-1350.2359810027806,-1440.342845299226
2400,-1222.705129610795,-1324.5068721853913,-1276.292428737822,-1151.962814561844,-1350.0915561486659,-1372.6833602259321,-1441.5235797600099,-1156.3945524136584,-1455.4031927527205,-1398.8179018827827,-1450.3806347310037,-1378.029843181848,-1244.508830079529,-1344.1535472054566,-1309.6367298155517,-1415.0450345813238,-1360.133194181672,-1388.3848007381307,-1285.3347864566524,-1336.4512279873636
2520,-1156.589961355618,-1243.2460092456126,-1290.5889915821076,-1089.9419583280755,-1136.2252087734703,-1336.3111030445557,-1335.038619077271,-1150.8804766595822,-1192.2679933152117,-1392.602445607978,-1276.617840755946,-1358.5400313249513,-1153.535218266639,-1263.253462886331,-1330.7742560602915,-1262.3956745277492,-1290.916922387654,-1359.1407086511238,-1235.8439343150926,-1203.4208708759857
2640,-1159.9717214750167,-1232.2061499648682,-1253.1967581975762,-1046.1453533687938,-1139.529213660163,-1310.172804792686,-1213.8165180624592,-1108.2417576612,-1162.7608026073199,-1363.0765313103398,-1222.3046228801722,-1308.9274238054925,-1133.0569539168714,-1199.5459920594506,-1225.4080572098896,-1245.4982650183144,-1279.6999471229792,-1156.2730688358552,-1231.3459638902038,-1218.2091558625493
2760,-1088.1880926484637,-1184.0168183688959,-1207.4317613691735,-1029.2141502171057,-1035.8382096013013,-1308.9440058881078,-1193.218792058565,-1116.8644086256766,-1184.5278654732858,-1318.5205620223778,-1330.2965990502312,-1258.371829710162,-1084.903679965128,-1151.1536687681228,-1097.4894338388904,-1185.8679993473665,-1173.2241941336777,-1063.1434908737617,-1192.5227223057377,-1145.2750646810987
2880,-1019.6302733714999,-1140.9771397750483,-1204.922545496567,-950.9204099593313,-878.3757580515381,-1230.372775736586,-1152.9402449189834,-1022.511437950079,-1105.5119115652865,-1298.1737269256837,-1234.8498812308476,-1161.1139974462853,-1070.0044580004992,-1125.0498138838284,-1014.6193102565621,-1142.1456668452383,-1140.6476680272308,-1079.5772184098519,-1115.3887980628738,-1076.4532573795645
3000,-1018.63531275059,-1127.8115030187341,-1142.7908173353248,-932.1314922010151,-571.5771278854506,-1189.0377000375397,-1117.949234212301,-1004.7211404672373,-1111.7847754439947,-1267.0732456168685,-1152.1056301724088,-941.9302678373173,-1029.3122994683974,-1064.0507092718128,-1000.66272864805,-1079.518460497336,-1136.1504149992718,-1076.4448718609178,-1095.0782668609718,-1083.523775879865
3120,-891.1398188812345,-1123.5412333728764,-1114.7573100402374,-853.9720600700236,-390.5441750799812,-1208.00735663769,-1135.7306482213926,-924.2893717298,-1055.3523002227007,-1253.7994095668257,-1120.1516736339825,-890.2567838872332,-1040.442739790445,-1116.1415656558295,-918.1287838583994,-999.0318548510862,-1084.775469961295,-1019.7643500991004,-1092.8255191543608,-976.9523042433053
3240,-778.4120285429855,-1083.7588346591397,-1012.5766690466368,-544.5194535128464,-515.6289004237815,-1201.2030834763743,-1025.2369074821113,-931.6710394843337,-928.4033408222788,-1226.6742613272957,-1059.8886046797288,-926.4173779892584,-941.9211513717207,-1050.8266674169859,-900.7759902067526,-835.2571896403082,-1052.4192956922973,-938.7307224000693,-881.3647925809124,-864.9772926120302
3360,-400.2418763181092,-1078.1989165868022,-981.5819278184657,-328.4902120374844,-331.9545014811367,-1098.2397258911037,-984.4591416203227,-517.8340202697901,-878.6259288332831,-1177.7478938406957,-938.0798391358279,-878.3242327820128,-920.6401212334604,-965.5683251159471,-771.0164070860798,-827.0126653013665,-1022.3030736203812,-893.048911218001,-958.1474739281541,-701.0164280814577
