step,Pendulum-v1_0,Pendulum-v1_1,Pendulum-v1_10,Pendulum-v1_11,Pendulum-v1_12,Pendulum-v1_13,Pendulum-v1_14,Pendulum-v1_15,Pendulum-v1_16,Pendulum-v1_17,Pendulum-v1_18,Pendulum-v1_19,Pendulum-v1_2,Pendulum-v1_3,Pendulum-v1_4,Pendulum-v1_5,Pendulum-v1_6,Pendulum-v1_7,Pendulum-v1_8,Pendulum-v1_9
0,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
120,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
240,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
360,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
480,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
600,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
720,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
840,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
960,-1062.5954729358295,-1489.5534472957415,-1452.7631073899386,-1275.2165836417412,-1076.9632882264573,-1551.8436031626215,-1248.506786966152,-1209.5689572761542,-1568.9914164926765,-1448.9737364488112,-1435.930552650268,-1401.6226261599954,-1251.0188341915482,-1149.8804169778966,-1494.0380537227197,-1436.4946402293442,-1448.4177689706441,-1287.533745727514,-1227.1472525562713,-1231.4761808535611
1080,-1572.7031099730298,-1522.7487542226115,-1496.2267505009972,-1530.603983802383,-1609.7254544457412,-1579.2971722647758,-1420.7736011457569,-1321.8853495732847,-1828.5352235114133,-1866.9180119531036,-1714.473106064403,-1632.1690790241912,-1368.8849712690715,-1500.0211356760178,-1319.1657930694255,-1582.339541416935,-1574.4310128132265,-1576.9159252858578,-1556.0485365443085,-1537.4930750956294
1200,-1816.5190249575376,-1648.5670756110565,-1469.0297898916378,-1227.0419630308638,-1458.5958399481046,-1606.7946792286202,-1665.5309731663813,-1593.2622228719179,-1809.9194892803316,-1839.2342909773329,-1720.6012987509537,-1348.2476438855865,-1586.054083576295,-1646.1818909748968,-1401.3427578216622,-1729.8524324070386,-1298.549033198081,-1534.7824937227037,-1737.983372269165,-1631.1651560549067
1320,-1791.8352512201177,-1560.2851525203425,-1604.393445965466,-1624.0531709629104,-1585.9478956064454,-1533.5806102037548,-1661.1113007070453,-1636.8236962770177,-1635.3144547736558,-1793.5433371513832,-1734.5652755871834,-1368.8759651502955,-1773.4288398982371,-1681.7346565337753,-1558.292412324068,-1606.8305055216063,-1779.2673469882952,-1629.4965557580638,-1638.596784461552,-1665.12252939254
1440,-1672.2569414121122,-1459.7574245495848,-1579.9421804867216,-1873.8869831483214,-1709.3125096511728,-1537.9770796411285,-1674.3964537726188,-1565.9974265915826,-1503.3598565883856,-1507.0475070317618,-1659.365588539286,-1474.2748991323374,-1681.310296120218,-1789.985905463071,-1533.4832608120334,-1540.022010602784,-1732.8838071562889,-1501.5972199469954,-1546.0550146006412,-1770.4882698494064
1560,-1508.846076425779,-1443.130622967,-1538.9342831623965,-1642.7730841418627,-1417.9899022034256,-1537.9842220882674,-1681.104165690127,-1587.8563491390128,-1485.4016381189754,-1502.9307492727717,-1612.7385925778563,-1542.6984417464737,-1615.3226145978363,-1679.8304973145762,-1551.5843566408407,-1478.1365604444911,-1666.2041821636435,-1476.8185177162163,-1479.3850116573333,-1687.3636483007842
1680,-1486.6087703396947,-1443.5390461745944,-1472.3727916266002,-1572.9118382685804,-1451.311552980596,-1508.0362820698815,-1613.9230583474503,-1601.9552206330839,-1479.0169711249919,-1503.2507847877919,-1611.276070110074,-1510.879155749211,-1495.802339317496,-1662.435106394058,-1523.8462328339672,-1501.9883374302854,-1518.7134281962778,-1467.4250223172967,-1467.7687629678055,-1612.5808622701384
1800,-1482.0364430073264,-1417.7212003312354,-1433.9061955124926,-1564.076059221811,-1430.4554744567054,-1506.074290926675,-1589.79120156699,-1501.536854306233,-1476.4440199218025,-1507.3965231800717,-1606.7456061797607,-1538.2147824620438,-1485.17062689206,-1607.238610702881,-1498.5550151832244,-1470.8246257848418,-1491.7666277776739,-1465.995375530732,-1466.1300672291936,-1507.7944326396087
1920,-1473.7354166494958,-1450.763948185731,-1394.0334722819728,-1502.6183479612228,-1414.6138284446251,-1522.101065001255,-1526.3354514654093,-1490.7166938797131,-1473.0330933908797,-1505.8689436100783,-1524.9645087812205,-1556.6500011645155,-1505.538576563687,-1557.5041489276605,-1460.464561887281,-1491.4983268400567,-1480.142304422938,-1466.2621046917393,-1457.9406849439797,-1478.2767213273999
2040,-1454.2722479466702,-1462.549584267466,-1364.2358834956503,-1508.678962265321,-1412.236870072421,-1497.6255940891456,-1519.4138180025348,-1437.1904092736352,-1425.409773390215,-1510.5460709163062,-1516.621921754272,-1474.774826849735,-1490.0867596625799,-1493.476439162309,-1440.843246191384,-1437.833937401842,-1468.5449129044396,-1454.5534180818786,-1351.3763039499204,-1471.437080229888
2160,-1412.0519824948424,-1459.0341202312168,-1332.5496532464315,-1503.3473610426554,-1391.8064345448595,-1494.2520713187798,-1483.1073882940186,-1351.1949181355258,-1468.277452849091,-1506.08053937076,-1488.0367051836001,-1400.5029463520787,-1474.985394869252,-1392.1970774389633,-1434.9504378445504,-1418.9059813116312,-1475.4294913211215,-1447.3091561636734,-1430.8136623106893,-1476.9680434804125
2280,-1357.0749910572915,-1454.665257878953,-1301.2166271724252,-1483.4524735397813,-1267.8120611281677,-1399.4255876531058,-1465.0874169398876,-1316.5053111414986,-1449.2876018985187,-1500.2084587370712,-1468.800324547036,-1379.7466816717529,-1436.103880823184,-1247.5778732502577,-1381.7424808563512,-1389.3106665992957,-1464.3942663269324,-1444.5980349466877,-1369.8775756378884,-1281.61714135083
2400,-1215.6402371936576,-1446.3053631438975,-1191.024011765677,-1469.1182169981244,-1046.115225439579,-1430.8085259884053,-1454.5199660245808,-1234.3831110192539,-1361.2085321330683,-1386.3094231502193,-1210.4692824038248,-1354.5825759795757,-1427.5642458600864,-1261.3837040131675,-1396.064350824555,-1317.9828652145766,-1455.1595444088714,-1423.9404297220926,-1308.7206902745493,-1282.6797990949322
2520,-1180.8794921614185,-1440.761393218964,-1196.173364932503,-1263.019012149889,-1089.7464643562269,-1416.4637267114108,-1445.3949877547889,-1203.459687043775,-1334.3685701774605,-1309.485231779372,-1190.9608245034124,-1266.9793101170158,-1363.164238977038,-1244.6597342602595,-1385.976069269475,-1258.7456572573383,-1446.8822954767122,-1267.3776640942626,-1243.695797228935,-1213.3092446230132
2640,-1162.701753295535,-1423.6818668403037,-1059.0248989242964,-1120.256427117461,-1131.6248128831762,-1312.305627638852,-1323.4819469912115,-1088.110170196175,-1287.4456416784858,-1299.9330969919974,-1088.6396703455214,-1231.8151024373706,-1259.083456457039,-1267.7156833862832,-1292.3014001184667,-1205.045325123973,-1372.729742711771,-1183.1635448618492,-1218.1714454760918,-1092.4935996155182
2760,-1126.3780853383214,-1364.804934030498,-1248.7055157374375,-1052.402238738307,-1100.7670958262993,-1286.5198473372652,-1239.9969036185535,-1060.317833587754,-1271.6555540789286,-1271.138140750573,-1102.5570581771424,-1216.544794296542,-1208.8483093504478,-1169.9284414873825,-1242.2904913605157,-1125.812082219193,-1289.0718580870428,-1051.326294845387,-1140.7950790327504,-1061.855432706307
2880,-1117.2361258461285,-1254.330528138841,-1181.889288830588,-1047.4661859609,-960.4049971309574,-1248.8778952400612,-1153.7911027692603,-948.2989652779108,-1248.3683591347603,-1264.9708544948558,-1066.6610718837605,-1178.041705725063,-1130.0379106677606,-1205.0592986377471,-1172.1110817992137,-1193.536304132967,-1179.9344404915933,-1075.4919807112376,-1149.2657689753582,-1068.4073331142263
3000,-1117.605260675639,-1201.9179637778498,-1147.810928848323,-947.9819215825661,-927.6477995891985,-1253.7229082177612,-1220.5014116868983,-943.2572128938828,-1103.7849811413812,-1259.9440840870316,-1056.030508736878,-1107.652222907302,-1089.0423073929355,-1171.3466660423833,-1108.7424444426454,-1157.5563250338996,-1108.7777783273937,-1043.230430868328,-1126.5748343302203,-988.7989100851013
3120,-1092.3900864280108,-1155.9573496874125,-784.0614229527146,-903.0517154813717,-786.8099291761389,-1265.8843837372183,-1123.14997695563,-925.5831198270229,-1090.9585771632105,-1192.5152259408292,-956.0376198911329,-809.9046095265936,-1037.8595812298288,-1126.7206148656298,-1075.5583606816956,-1146.6657002500583,-1108.5752697355126,-950.3536338955631,-1058.5049398032627,-862.6694787139971
3240,-976.0616240437384,-1016.3255633620007,-802.8852649046825,-874.4489961377978,-553.7553862443806,-1211.3095021444556,-1079.5618086617135,-807.9261294935582,-1039.3978137029658,-1166.7635419160229,-825.8069698075997,-792.7843254445069,-941.7514769070301,-1052.878293995828,-828.0070876812579,-945.3137867322333,-1061.3768090398794,-897.8331672113989,-1070.0099128957345,-916.730460369896
3360,-932.637636386816,-1000.4454629189728,-747.7285309360279,-771.9760476383453,-223.67531649996863,-1128.1346048982523,-1036.909472775355,-792.8329382279901,-937.2169825373101,-1088.0348403410565,-845.6469342438864,-708.7659895939631,-814.7270702367359,-1042.1912370549594,-946.3639959891361,-945.4531606736693,-1000.5123541032859,-549.451678357422,-1065.8073836560482,-822.8142338975304
