step,TAAC_Pendulum-v1_0,TAAC_Pendulum-v1_1,TAAC_Pendulum-v1_10,TAAC_Pendulum-v1_11,TAAC_Pendulum-v1_12,TAAC_Pendulum-v1_13,TAAC_Pendulum-v1_14,TAAC_Pendulum-v1_15,TAAC_Pendulum-v1_16,TAAC_Pendulum-v1_17,TAAC_Pendulum-v1_18,TAAC_Pendulum-v1_19,TAAC_Pendulum-v1_2,TAAC_Pendulum-v1_3,TAAC_Pendulum-v1_4,TAAC_Pendulum-v1_5,TAAC_Pendulum-v1_6,TAAC_Pendulum-v1_7,TAAC_Pendulum-v1_8,TAAC_Pendulum-v1_9
1200,-1771.013925294755,-1533.0021139446312,-1518.0025078023054,-1471.8832486041943,-1567.0780043736454,-1836.4076098563241,-1582.1029469090122,-1795.423824510982,-1504.718135001449,-1697.770981257708,-1743.4757338073396,-1227.8309391026912,-1614.1898312142614,-1632.551658092393,-1810.6737836452903,-1844.4497294541197,-1844.8616305600942,-1461.864622331515,-1614.5324162196325,-1645.3151206540897
1320,-1726.8616408407456,-1550.3302667859853,-1638.846735681432,-1871.567678092963,-1542.1594542254156,-1666.0724751969271,-1557.534568824523,-1862.225526131735,-1507.4176936979627,-1660.5790850404167,-1661.0777959328693,-1268.4649518611034,-1506.1207384865338,-1563.4121713941263,-1517.375241962096,-1763.7252000819813,-1830.6928038411977,-1726.1458624959,-1501.3484388270217,-1728.7398459130604
1440,-1509.1504991068837,-1462.2585241840695,-1650.711303204024,-1493.4621596691254,-1576.4293219349988,-1515.7192731172088,-1766.5026176498054,-1528.5269115336869,-1497.6720789311598,-1859.433631747916,-1571.7351196353059,-1459.3257596557216,-1478.1457976095724,-1666.2981207309454,-1470.3504706559293,-1585.1447288636239,-1566.7661466915888,-1480.5386171828445,-1513.3682522939034,-1616.305407382144
1560,-1474.7335159085856,-1464.606889926258,-1571.5458550965113,-1493.717262105476,-1567.297630195763,-1492.508445415971,-1665.0254456364632,-1492.8061282388612,-1593.5003987136975,-1570.2829285441862,-1506.5520214157696,-1504.2531888599,-1687.277216775466,-1647.3071135307587,-1463.4420463468196,-1511.176863396437,-1472.734251612122,-1489.0688289944221,-1550.8026017520838,-1475.2027206561977
1680,-1468.831883356487,-1449.355289056442,-1551.9352797607976,-1489.1802423677914,-1579.313481569813,-1487.8576605942608,-1653.7633468177676,-1550.378482361047,-1703.5941684486552,-1631.3966373383569,-1504.910760215164,-1532.4621137434233,-1714.8251194104087,-1455.8179420742176,-1454.0003431597102,-1530.3387969413777,-1478.9805009356974,-1557.0158681289083,-1552.6025099618937,-1468.4023952739228
1800,-1460.809819369466,-1459.5314040305282,-1487.4556639056868,-1485.4735916707107,-1577.078675743258,-1480.9287203941135,-1649.2885233169702,-1552.228302399041,-1757.5044502165329,-1511.266877945359,-1488.5922552554657,-1480.0690877680709,-1648.148844186641,-1541.4995937047454,-1465.263841179693,-1553.3188861540254,-1542.4940180384242,-1506.4313058913453,-1650.3609731618762,-1465.7982726008408
1920,-1452.891557130541,-1470.6135007672617,-1454.055087334174,-1411.4020379439894,-1523.307224686506,-1485.6627976881225,-1476.7985944674147,-1510.80753788275,-1599.011258903586,-1556.570733399725,-1504.9360821086707,-1576.1136661594492,-1525.2104812245148,-1548.511311890685,-1479.7907538021277,-1660.7015846892941,-1495.947394603459,-1543.9918628328176,-1538.0179531938713,-1475.8964882290134
2040,-1459.308948584518,-1473.405810365612,-1428.1943961994991,-1280.3257641989549,-1455.32118217592,-1396.7815448475621,-1465.0316508321844,-1490.9112065092281,-1503.9654203433433,-1592.8869906707043,-1464.86779274035,-1463.5553820241616,-1525.8803468853907,-1515.2318398484226,-1476.6699103812307,-1621.7348170023986,-1343.7033677590457,-1550.127658610741,-1495.7676825836638,-1519.7549307621005
2160,-1402.5624290177873,-1469.347009685555,-1397.4714731195425,-1303.9500761100749,-1412.7140330303926,-1346.8828240693208,-1489.1702408741166,-1490.8250117400942,-1450.9867715753326,-1531.5117179465265,-1432.5456136456278,-1349.6037206933047,-1576.5393522348288,-1488.8745349024025,-1431.3142901175997,-1529.1741629491848,-1360.7364939960703,-1480.9732780195568,-1531.2579529826194,-1455.1740216552707
2280,-1327.6969837107176,-1440.557685024017,-1349.3278797911041,-1321.3546297990542,-1392.5102216138425,-1318.8711741794777,-1340.1213266841148,-1431.6588455734998,-1349.3628078568931,-1504.5998085105364,-1363.5810620819968,-1296.0244883571154,-1298.899254597476,-1410.2328889750336,-1337.7603356508891,-1398.470373275231,-1364.0150008149387,-1439.7182934985367,-1518.773332494947,-1309.059751379654
2400,-1197.173160915031,-1352.6564085857144,-1344.0962868301892,-1325.9711910737274,-1315.7404065064297,-1287.5565310879072,-1250.4322084387527,-1297.4306819238534,-1371.2366085742074,-1382.603090848864,-1335.4196358607057,-1185.4723024847676,-1245.7285115679933,-1349.9888557572908,-1310.1064852944512,-1340.7112948006609,-1286.7458555172675,-1412.0534061902722,-1494.1334474855296,-1169.5155151530205
2520,-1126.7508568353282,-1147.8470734040804,-1324.0515388647577,-1215.8366962290147,-1226.8043597871851,-1267.8679245931328,-1239.2501411863805,-1219.825649356312,-1101.7865767070934,-1313.7929648740324,-1271.3485088338225,-1133.7556805417223,-1168.5556136849868,-1257.5975087430693,-1235.6494612922504,-1213.3462843342534,-1253.2897630590219,-1249.6106249370282,-1375.9763063504456,-1125.5074208632302
2640,-1069.0522920654903,-1121.0543916402378,-1259.5577792772021,-1113.1617470725955,-1097.1518956463196,-1244.8029304873066,-1188.4746299970918,-1171.4232313001398,-1057.60197276401,-1267.8761031747483,-1294.3271668284438,-968.6385328898717,-1103.352291728516,-1181.0972267126142,-1206.602934074227,-1191.1313582411724,-1138.483164578884,-1147.7030937720479,-1217.0676864338277,-1075.3763553028034
2760,-1058.0418648248947,-1068.0352673031084,-1230.7184567991703,-1040.1199436550773,-994.092040617755,-1235.2828934632403,-1144.1849896512692,-1109.8223558433588,-1038.823042826914,-1182.5625135208004,-1111.3166274271757,-959.0155451343526,-1062.4624452917444,-1121.8084654450322,-1144.4994258332572,-1151.671447842713,-1100.4954000542962,-1088.5406675506792,-1206.5814572773425,-978.7390328887781
2880,-876.9828787332428,-1069.115152704766,-1213.9382065426776,-926.3279285841494,-928.3816880539089,-1214.5339085695518,-1222.3914065970878,-1104.6256376214162,-1147.9017948562164,-1102.641941754909,-1056.94083343326,-815.1181691272232,-1031.5786827802951,-886.5662285540833,-855.6818918627323,-1065.6505617855544,-1067.4551606591367,-1007.3320301368054,-1182.426197348853,-916.9360929241508
3000,-323.30942232636215,-996.0126862241625,-1102.7365893627411,-657.7919706100896,-641.0023695798675,-1033.0287633504909,-1356.6215058171795,-1053.5944966536863,-1085.5995534360304,-937.7568927547447,-918.9204181149996,-816.9204744874189,-922.8820029030218,-763.6279101413321,-991.5419705476063,-960.1806324494385,-977.431372973725,-920.9443031756906,-1158.0075971402653,-668.4295915611108
3120,-511.81875241833467,-902.4799090537559,-1095.3563363782862,-472.0354455564643,-550.6483371634965,-983.063499954305,-1289.7835666737778,-982.0520017948029,-955.579122890818,-828.7047649886451,-753.189449037943,-767.9004564059026,-657.6775619825673,-682.1195978886748,-743.6616617641209,-1237.076032148435,-635.0754908517704,-711.6914138789015,-1128.8725850773321,-628.6627733407785
3240,-496.42462344761714,-796.1739917365495,-1061.4640849123098,-392.7190340400557,-406.91468115363546,-787.9083186505875,-1279.139974903768,-963.4282469707972,-1050.5949285394272,-800.5891584671593,-460.69214361893376,-753.5481508902552,-499.63791663466856,-497.61977203778196,-557.0226501100899,-1192.3839402601398,-625.9978294277577,-581.159873467628,-1029.3703043864887,-506.0753901703405
3360,-347.045741019796,-482.5379171168599,-997.0668370122243,-468.1481084729312,-721.5947322823008,-693.2576299536652,-628.8317530245099,-517.5928879351542,-890.9322282103107,-769.145303748895,-271.88659929867356,-395.9665938817475,-235.6769847652102,-547.5957920565005,-609.822541949075,-803.2675028127861,-671.1246383562545,-462.2725989336474,-996.3739634925201,-406.6580941027945
3480,-444.7865376854662,-538.3330261502787,-1235.5598729847873,-229.37131907886504,-642.3999034689416,-535.8948049054914,-448.3716741260426,-191.8444456332577,-583.7314374203754,-768.748125127878,-263.47782000962604,-238.06002193680683,-186.46779089826498,-351.3908394299694,-923.6181549676978,-878.0272405850649,-538.7565496367595,-484.13273187460993,-1022.5277820200663,-398.6202420028607
3600,-918.429102110462,-458.6825722842477,-854.9521047744174,-735.6066615879315,-653.1885628814717,-349.8134214129107,-759.9003503942547,-162.6306794313952,-570.5302159848736,-766.2513248888839,-261.68823151974055,-262.9200622294429,-156.75314378242405,-221.78859263909757,-868.8927344266431,-781.0079347619518,-592.0109514370915,-266.31857561618835,-937.8784351837891,-239.39966481789844
3720,-1223.4154056383163,-431.9751201323493,-923.8358812027489,-732.8476295454134,-164.99054188100587,-296.5581268017178,-422.9790518162771,-161.0768407009129,-560.9359425184861,-763.6399752784243,-234.11816180471004,-235.405565175846,-158.64655335899437,-213.81449140211066,-941.533872208631,-1084.51198833409,-666.8527497694394,-161.78791367118714,-954.1475098330395,-186.79908922574563
3840,-1265.568540193868,-210.66014456708632,-721.2335868801143,-599.017563591332,-108.47139230347712,-236.8814949571934,-179.3549896899513,-161.03538377866656,-308.0019730150219,-1003.0174715921478,-228.04915238295817,-428.90543708824464,-156.26424706568605,-210.97619544574485,-980.1615936146242,-668.1784079364625,-702.7145684116538,-163.1330656969793,-303.05313408631866,-184.12145737407963
3960,-183.68307161714475,-204.87566503703687,-455.9287840387609,-931.8303789418906,-108.41775262890351,-236.16886725802223,-178.6165905382439,-159.84135140149397,-254.61534853102503,-1017.2724674817448,-228.03688728911067,-469.96796734305246,-129.5081910631398,-485.2970146744677,-1162.1572457808697,-973.8385517601124,-754.5027073020708,-131.8135749556031,-365.6770097614356,-179.91082098566392
4080,-131.09609969500104,-201.1587152282422,-353.395993060617,-990.5696480507497,-107.4259311451452,-234.16023338519253,-149.793832308204,-160.3641695871636,-228.4134974351201,-1036.209175440752,-226.87181439659557,-537.8094779056498,-129.15063485209603,-467.7344347030686,-1200.141247357128,-379.11320271105444,-646.3159839086619,-128.63218063528694,-182.2670466876365,-155.27361775104777
4200,-258.71594956428396,-201.29684545902998,-212.69888487062457,-996.2883584211273,-105.34193041107537,-230.42449295983664,-147.71052308081215,-157.8101642938595,-227.20318048259998,-1243.5721517488757,-226.02616941902102,-551.5524942921472,-127.3313411117168,-181.29818530429708,-1113.3107643336548,-243.96936577998576,-704.7676238268416,-123.99807826681055,-205.01155301108162,-154.61358752640683
4320,-129.43440972438236,-198.0885763608681,-206.62893793706218,-826.9596949040827,-104.90073979775313,-223.22602277196265,-147.33733448731545,-155.85027824354108,-252.64064770212727,-269.6189218807193,-224.83631363783311,-288.4834736282809,-127.51220362539,-180.45125613692966,-1177.2319936186993,-271.19274163095895,-723.1718997580626,-122.26973054211635,-202.34960654822825,-153.1536383753506
4440,-128.09915906055173,-196.62961245849579,-203.4437399421037,-838.090783092425,-103.83833858032169,-224.3439783210345,-147.77770127828944,-157.03209142226473,-223.90033649207436,-262.4094370357538,-224.88534940029416,-178.8964470701954,-126.5920703789064,-154.61424937636426,-559.7078316776707,-242.21246179587857,-721.0528136634296,-123.11222950921919,-201.5212838498455,-152.68884146189177
4560,-128.03512169146256,-192.96176439892514,-200.66375701273387,-851.5482438177053,-103.60168586022903,-202.03155993380923,-146.40748344135923,-155.06723047457353,-248.18606102296457,-260.2164525900945,-196.99929409236765,-178.9053244210931,-126.79476421213846,-154.36176710416152,-413.545086041083,-214.03469539751632,-722.7140391849322,-121.92538748352929,-202.15660075022407,-1310.5359412381963
4680,-127.7597030398958,-193.2839413409836,-196.83899524428128,-902.8028977101069,-103.4220277827739,-222.05506229440167,-145.8616038308023,-154.20318162299395,-221.85344319293853,-256.6002951235694,-195.58542155155615,-152.11713096342746,-126.57435265671434,-154.67712290342976,-410.97500435267057,-213.06860969613052,-724.0175541569383,-122.26053145099957,-175.45084226809894,-151.99130403948098
4800,-129.08379654661286,-187.90074466918125,-194.5237562842786,-889.6110731695733,-102.81449964986018,-201.8520866679819,-145.4775950822505,-153.84799663256413,-245.7488974970438,-252.25213776436794,-193.15489284727758,-151.41123730779427,-125.22888017157872,-152.09102125003136,-386.755219775601,-211.23212809020598,-724.810727445017,-122.75683561931343,-174.24765266911766,-149.5862759372028
4920,-128.24269557026736,-177.6590908340383,-139.66004173217576,-734.3901392754366,-101.9647807423083,-200.96340662121378,-144.97720723672995,-153.3848903687982,-295.1868933255445,-247.83067890996136,-193.0294693161018,-151.35340022436384,-125.4377560764035,-151.585855933328,-529.1047139048576,-209.9410510678319,-726.0173179201739,-123.40453843628309,-174.19104007994997,-150.22514350153403
5040,-152.64826330162913,-174.80965608110012,-241.20406930015315,-955.5083661940744,-101.73114139966144,-201.08218522741197,-144.65462977271793,-153.29454615647765,-295.6359410964401,-248.4292294022288,-192.4343866331846,-149.6226703474435,-125.56025563055464,-151.2623441314155,-177.53189166623952,-207.60532674431596,-725.0308998150783,-122.96131095936828,-172.45694325217568,-148.37800142540019
5160,-638.2984724352048,-174.27031302386052,-134.53711027817943,-950.9198889070698,-101.7181708215714,-201.16154401206427,-143.64621111211991,-152.8199231841877,-321.14836920461113,-242.91455971523527,-191.94507546203346,-149.96883260412437,-125.46939781078918,-149.5163869985535,-125.77579754656475,-204.91963095055468,-727.52420323396,-123.96382289775275,-173.7320441999826,-149.05663187895502
5280,-730.8911708875077,-176.05005973548833,-126.80825447830202,-949.0445136942548,-101.4418749370497,-201.1351403731979,-144.81026772549916,-151.4966904003699,-352.48819948796375,-241.95624710232678,-190.90956458720646,-148.48626634391792,-123.22448408037603,-149.9289961004993,-125.392641800382,-178.79793577989932,-727.714186694791,-123.01408630393541,-172.53044017841972,-148.36802865062918
5400,-749.3604384835028,-174.17110206982537,-124.91204853691022,-953.9380973936579,-101.53696436186144,-200.74059107298467,-143.82042646458518,-151.0368730314575,-347.44226742855113,-238.71553503967075,-191.28951874045967,-147.92250362689143,-123.33771925630984,-148.3526519190285,-124.75322718281863,-202.73058976300655,-709.4085151314482,-124.47615633379436,-172.35051536468362,-148.2609266962731
5520,-787.6352001498121,-173.39906706941736,-123.58598657670761,-766.9946173226742,-100.81314750089034,-199.8393435151335,-196.47321116724905,-202.27512846961162,-342.6606003271058,-227.5487646866317,-191.61517444838063,-145.95832339661678,-122.78656147026575,-148.16217325987492,-124.04090948824735,-203.41067231570028,-727.5724049497858,-124.95643440659246,-197.01244564226985,-147.80300843772199
5640,-1090.9627395007815,-172.99408699260334,-121.95488382902636,-307.3357090173737,-100.71629830437408,-199.5392509063196,-276.4156987980717,-178.90787231018695,-357.8588498134749,-236.96438194232783,-190.8299291291225,-145.82054093002645,-122.76092286228723,-149.5912531308797,-123.7332158961525,-202.79446834348116,-728.5301965874481,-125.83250486008339,-171.11789698154303,-147.22282830554497
5760,-1117.2987096685563,-172.2506787165571,-335.953433050017,-172.82046894849174,-99.84127748470375,-539.2822616247329,-433.87702292936126,-156.2648232633862,-346.7367790848563,-234.35985993851847,-190.65980489291138,-222.03387381125293,-121.8247483677549,-148.34042508844885,-123.48255894548234,-175.8600460229991,-729.0443037041686,-125.76112626867534,-170.41284646074573,-147.13282494194974
5880,-976.9728044179504,-171.3019542049102,-146.6060927846507,-172.12911904116066,-99.8891259205024,-534.3405516187515,-280.2283053117582,-236.22093443324428,-214.13876486213334,-234.21244665200228,-191.22102230087876,-171.43075863156358,-121.76460038172509,-147.25021313333363,-122.24763369561069,-174.66582356905982,-216.1435626781612,-125.18174938844068,-170.61804278437546,-146.2277271339829
6000,-982.814849457023,-170.36789811656783,-146.42240735917545,-170.94788343401459,-99.48137690319984,-563.6419023571477,-438.61023313252497,-151.54723651424348,-214.056471445475,-226.7164362219243,-190.17002097898455,-145.1120956167295,-120.81187028039588,-147.10212660209618,-120.72763121714995,-174.50555632386934,-214.82546800946184,-126.68933849118977,-195.20008519263658,-146.5097995115595
6120,-1138.8660454314345,-170.47830668858148,-119.92174269208508,-170.7066266931576,-99.79723408273036,-698.9558064875021,-552.8448738414811,-352.2224606351645,-378.7936893015641,-234.52377029493783,-190.02935316398458,-144.7530516484032,-121.33796340190017,-147.25234309328272,-120.46126228459391,-172.1284795843083,-213.63527818110407,-125.52954440938834,-195.95782342457042,-146.6144613517995
6240,-1171.0696823643061,-170.87187443657214,-252.09811806623196,-170.25272343661433,-99.77141434417464,-800.6052213639404,-517.257683000803,-442.1825710797704,-378.4619114518151,-235.5925730431014,-212.30204568301173,-145.26402957445706,-121.17677130910923,-147.08831733622702,-120.89970844771271,-172.63681057114064,-212.5567153426367,-440.14422382312915,-170.19132146902177,-146.66157942906926
6360,-979.116859741368,-171.4976350623797,-632.4411330952516,-170.24146903738435,-99.36835314047899,-745.7187703609255,-453.50538506972,-515.4297196280643,-377.3806510922394,-227.74698903096584,-189.93127535231014,-145.89950572791008,-120.85506779859335,-146.07942005714972,-146.82371122043133,-172.20419005316367,-213.47063966665482,-650.8127247870383,-195.98833172706284,-146.30478067579955
6480,-1202.7496532405487,-173.23194544575355,-654.8364167352795,-170.27373938267027,-99.17294703567816,-801.7829824024634,-143.81987088515982,-753.1357314982092,-376.3293845226561,-237.25407410074695,-189.78655882061025,-145.46516459155245,-120.63037880755465,-146.79486200629339,-122.02139408602189,-170.89836041927686,-213.09915920244015,-475.5962787959778,-195.2437115364089,-146.31049613043425
6600,-986.0524559787016,-171.66761810324996,-396.34239023470656,-170.09828476048355,-99.53015663074999,-802.7057839762925,-143.6670874183221,-916.0913277021527,-355.8116433761734,-242.37479366313474,-189.49172014016747,-145.12153991684755,-120.50741881505662,-146.9151386936716,-121.70136398401785,-172.99498736737502,-212.82610547544408,-768.3903297521902,-195.69594886551027,-146.14449511286833
6720,-1002.4958999828326,-171.50919315350131,-143.96860785245326,-170.38251044403114,-99.5590961223221,-803.382999401063,-143.9625674474982,-767.7087697020152,-346.3247463857502,-240.0455358884858,-212.86306313163536,-197.57146841999847,-120.87386513008451,-146.19696311537055,-122.06439629858183,-171.6292724552443,-212.71631030538325,-892.5473716104218,-196.2309101489793,-145.88791057042158
6840,-985.1489024763783,-173.65868052063567,-173.43144745765855,-170.1409409050824,-99.9068399021684,-803.2411543309423,-143.62910981819354,-637.1355174756559,-318.5946410667022,-240.97856399068527,-210.03582927937381,-171.05252006036744,-121.93034813439735,-145.77627006714982,-124.34020709202969,-170.4976394458931,-215.10494710733278,-928.635916745109,-195.8353095315172,-146.3288013911553
6960,-1000.6750715074689,-171.43466585531968,-179.31402820382607,-170.50157374979912,-99.55147938580535,-1067.2506306030466,-143.4232467650062,-428.55922890152243,-215.38193640756663,-243.4058792957199,-210.31501111146412,-145.5422507977834,-120.9650353763695,-146.01916545726567,-124.17182492498011,-173.65020164181024,-214.65403272322843,-874.7053585463111,-171.65280983650922,-146.60995958116382
7080,-972.6001896514293,-173.71875939773787,-226.61585910616935,-170.669600830964,-99.7269568600866,-804.2704640723134,-143.4814170903456,-402.77193322474506,-214.64939629236446,-244.86562021973833,-211.61984193179154,-145.4196802234921,-121.81794212988902,-146.45189677687407,-124.47749559483486,-173.39961151329987,-213.56255105561178,-832.5240419092291,-171.37266757083998,-146.34392563601358
7200,-885.696318868878,-173.6976830538314,-316.17239838907483,-170.61526110149057,-99.9534349741215,-804.1890765809815,-143.29410172266188,-405.42659820613966,-214.72130537942797,-252.39497352978566,-211.8445370980663,-145.29847052014685,-121.25788342835965,-145.2858436220593,-123.65148656108302,-174.44156608133397,-213.3320983659333,-681.4316793626841,-171.42806420876613,-146.76353471890212
7320,-725.3628202452098,-173.47330828930188,-206.04700366133565,-171.5378750134124,-101.27470312801822,-804.137987677369,-143.25162854456468,-147.80909965911627,-213.9189759630016,-253.34390990487844,-214.8129939253091,-145.51428666261359,-122.02593359782422,-145.3056393512008,-121.95316008039745,-361.5096244691841,-213.19433798409804,-677.567884921809,-171.52378471523542,-146.9817617693324
7440,-149.1576762823826,-172.09619265216273,-369.10383671413257,-171.81245454485958,-102.18313295557026,-802.1191588627566,-143.22340512945382,-147.60859639601532,-214.53053788154085,-252.1830707494325,-215.5458404523945,-145.58504642945417,-122.19801540269468,-144.45381874577697,-121.92936243894567,-354.5653535890482,-214.23664013444449,-1000.7558065187804,-171.42125559224314,-148.05565016261798
7560,-149.8333285173354,-172.7936192021587,-204.33783387414002,-172.48705379131226,-102.92889972786789,-801.25108712282,-144.22377470741597,-147.23096097887918,-214.53122194473062,-250.9808348371942,-528.7503428566755,-145.88015061112327,-122.3368213604733,-144.25640786024277,-121.71111698305042,-379.1945038935097,-213.55708259913712,-899.0164569678334,-171.72148421389647,-147.72198665968227
7680,-149.23782218690758,-172.7368572720137,-176.15357133656482,-172.48732967862261,-102.6493761429809,-800.6144266039997,-144.4286879813879,-147.6720708355271,-214.45129638117396,-243.5802885703544,-352.1403902299187,-145.0018016773019,-122.52677177196622,-143.85865369233673,-121.69079109577922,-177.86646305350678,-213.23696905186594,-647.9395492690267,-171.66374054361694,-148.44895230699973
7800,-148.45928266796759,-174.2457356414629,-312.34766239854673,-173.3300538649799,-102.58868897609527,-800.6361357635112,-144.00439418185758,-147.74950408394028,-214.4745323110942,-251.18116935010295,-352.5175740251774,-145.42931111003747,-122.53956928800957,-142.84738346341555,-121.49457055006148,-372.32929797092083,-212.7707641574363,-724.7440734311879,-170.5042907728553,-147.39557536514505
7920,-147.97131578952352,-172.859320574628,-125.64157218208263,-173.77051847540682,-103.4700065087998,-800.4935505190281,-144.96684907939888,-147.8804084536817,-214.5776684747294,-252.25558375003394,-569.1767530391846,-144.8113643497224,-122.6564130308461,-143.70569845044906,-121.47334165128882,-392.86401815184274,-211.52029449608693,-467.4476815429105,-171.88019377687547,-147.18423228942092
8040,-122.63737270599859,-172.5618723518831,-123.85147744581006,-174.63919680592468,-103.37731770022636,-799.7975399975514,-145.0436461142744,-147.8440481953382,-213.94898198753162,-243.81636334364165,-573.7999677996268,-145.72024352483308,-123.24941320092653,-143.74327346902598,-121.70462149702185,-758.5162017521941,-211.37230990427526,-716.5796033012695,-170.98699779282214,-147.72919755555267
8160,-122.35919664512403,-171.97274374847643,-149.23325811516492,-174.46053919883164,-103.4749235755389,-799.3252019892058,-144.23424550845922,-148.048453306618,-214.55746166161958,-251.73693044892062,-632.3953530044325,-145.51497385763568,-123.06923011048048,-142.73657263495681,-122.9709200622677,-627.2492723759091,-212.78270891592555,-857.3744333024033,-170.98120929088967,-148.14589828480354
8280,-147.93772444168044,-172.52258878972918,-149.1188486459234,-174.12812936876017,-103.42463597477732,-799.2879962584612,-143.63501488358187,-147.62566411466608,-214.583136377576,-253.3191555727833,-638.0682161973984,-145.5906727725492,-122.34222398354811,-142.69694837876585,-122.00307892175991,-459.9188790527407,-212.3569047159212,-934.1141054395064,-197.37935072802554,-147.41047878291573
