"Step","DQN_None_ZigZag_100 - eval/avg_reward","DQN_None_ZigZag_100 - eval/avg_reward__MIN","DQN_None_ZigZag_100 - eval/avg_reward__MAX","DQN_None_ZigZag_90 - eval/avg_reward","DQN_None_ZigZag_90 - eval/avg_reward__MIN","DQN_None_ZigZag_90 - eval/avg_reward__MAX","DQN_None_ZigZag_80 - eval/avg_reward","DQN_None_ZigZag_80 - eval/avg_reward__MIN","DQN_None_ZigZag_80 - eval/avg_reward__MAX","DQN_None_ZigZag_70 - eval/avg_reward","DQN_None_ZigZag_70 - eval/avg_reward__MIN","DQN_None_ZigZag_70 - eval/avg_reward__MAX","DQN_None_ZigZag_60 - eval/avg_reward","DQN_None_ZigZag_60 - eval/avg_reward__MIN","DQN_None_ZigZag_60 - eval/avg_reward__MAX","DQN_None_ZigZag_50 - eval/avg_reward","DQN_None_ZigZag_50 - eval/avg_reward__MIN","DQN_None_ZigZag_50 - eval/avg_reward__MAX","DQN_None_ZigZag_40 - eval/avg_reward","DQN_None_ZigZag_40 - eval/avg_reward__MIN","DQN_None_ZigZag_40 - eval/avg_reward__MAX","DQN_None_ZigZag_30 - eval/avg_reward","DQN_None_ZigZag_30 - eval/avg_reward__MIN","DQN_None_ZigZag_30 - eval/avg_reward__MAX","DQN_None_ZigZag_20 - eval/avg_reward","DQN_None_ZigZag_20 - eval/avg_reward__MIN","DQN_None_ZigZag_20 - eval/avg_reward__MAX","DQN_None_ZigZag_10 - eval/avg_reward","DQN_None_ZigZag_10 - eval/avg_reward__MIN","DQN_None_ZigZag_10 - eval/avg_reward__MAX"
"5000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"5500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"7000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"7500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"8000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"8500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"9000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"9500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"10000","-100","-100","-100","-114","-114","-114","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"10500","-100","-100","-100","-114","-114","-114","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"11000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-114","-114","-114","-100","-100","-100"
"11500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"12000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"12500","-100","-100","-100","-100","-100","-100","-115","-115","-115","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"13000","-100","-100","-100","-116","-116","-116","-115","-115","-115","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"13500","-100","-100","-100","-24","-24","-24","-115","-115","-115","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"14000","-100","-100","-100","-100","-100","-100","-115","-115","-115","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"14500","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"15000","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"15500","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-116","-116","-116"
"16000","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-115","-115","-115","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"16500","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"17000","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"17500","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"18000","-100","-100","-100","-22","-22","-22","-22","-22","-22","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
