step,PointMaze_Large_Diverse_GDense-v3_0,PointMaze_Large_Diverse_GDense-v3_1,PointMaze_Large_Diverse_GDense-v3_10,PointMaze_Large_Diverse_GDense-v3_11,PointMaze_Large_Diverse_GDense-v3_12,PointMaze_Large_Diverse_GDense-v3_13,PointMaze_Large_Diverse_GDense-v3_14,PointMaze_Large_Diverse_GDense-v3_15,PointMaze_Large_Diverse_GDense-v3_16,PointMaze_Large_Diverse_GDense-v3_17,PointMaze_Large_Diverse_GDense-v3_18,PointMaze_Large_Diverse_GDense-v3_19,PointMaze_Large_Diverse_GDense-v3_2,PointMaze_Large_Diverse_GDense-v3_3,PointMaze_Large_Diverse_GDense-v3_4,PointMaze_Large_Diverse_GDense-v3_5,PointMaze_Large_Diverse_GDense-v3_6,PointMaze_Large_Diverse_GDense-v3_7,PointMaze_Large_Diverse_GDense-v3_8,PointMaze_Large_Diverse_GDense-v3_9
0,16.331633516424645,2.692392202544977,1.124565650903209,19.40714826010015,3.1237148921012876,1.2615607863576792,17.93929302239932,0.5535012556617003,23.655291384316822,2.8238351269261974,1.3235351523655359,19.1285514180991,3.619408283063047,3.329518637475342,2.504259927145559,2.873172133590283,69.50814590351021,1.8506903941979538,6.995878250847215,13.350643996266319
1000,16.331633516424645,2.692392202544977,1.124565650903209,19.40714826010015,3.1237148921012876,1.2615607863576792,17.93929302239932,0.5532123102343947,23.655291384316822,2.8238351269261974,1.3235351523655359,19.1285514180991,3.619408283063047,3.329518637475342,2.504259927145559,2.873172133590283,69.50814590351021,1.8506903941979538,6.995878250847215,13.350643996266319
2000,6.476920712870443,46.66393440896492,3.3254342148027782,33.80150695274129,45.39625908029784,13.618194620268289,12.244758309861396,0.15976798676055287,21.53305691807289,2.3364280022166555,7.188415312196431,34.141329656313474,41.973007561058495,5.041102976362657,0.15400077824679909,25.31962907288991,71.11120973474544,45.172400703036715,2.58597321193799,20.278056415461936
3000,36.14350951003562,45.08912644074529,0.9193878838307414,33.996030999255595,45.27763137949274,13.618194573691198,47.2250577352718,0.4310616770169601,22.927982260376773,2.336559316155805,3.9977454389610885,15.1994945948371,33.46035460335367,7.1032048461803665,1.8231742184453725,25.319455128317156,68.8474618559341,1.8288815873241169,35.396405848838576,19.748275862075097
4000,46.76900950307816,56.1710417920887,1.0939439246324913,33.86924026045879,45.59349485069127,13.618194573544457,35.00898762395691,0.41506093371189123,22.25980293849557,2.3358459195188757,15.486267936460052,18.748795937902692,25.524922832397294,6.914976344785392,1.8325754532126346,25.334766728244897,76.79116546271372,1.8303362909036411,67.74185825063262,19.7329308713632
5000,75.7421807499255,9.19067852577539,1.0940688464886157,33.87618488507491,45.628616816783385,13.618194573575437,68.99342654453987,0.5761190068250858,34.0749440894864,2.3358457908046217,13.63443829764798,9.352669374830658,34.204147081559675,13.08787195922056,1.9297031831419402,25.322995134426662,53.40930253944678,1.8249636127218167,15.989503767716073,22.255697635819676
6000,29.217607468539597,9.181836439787158,1.0940638682873414,33.86689975084717,45.63727868688842,13.618194573575437,57.7355038270381,38.40434056425782,34.741733412788975,2.3358457871859875,7.1369093142853,14.444262174021372,37.72067218623956,3.858199303944936,2.11020100338773,25.322988249953394,53.58529410419008,1.8803575481387813,18.112631240581237,19.87855747117675
7000,33.429295040308475,9.181826401333678,1.094063870339453,15.956543518867011,45.592536596295965,13.618194573575437,136.04040811604563,36.28752636152681,35.661450810809974,2.335869781015481,5.2603433996228475,12.297422386226982,31.179532744295035,3.757436850605397,0.45912936812350064,37.04043772879253,50.57710425473253,1.9171184686346827,22.15767905411257,21.610618054044846
8000,26.38262805975097,9.181826406104381,1.0940638683445238,34.30408547961703,45.59162262958065,13.618194573575437,67.97363391753044,36.33476533677283,35.30932441539293,14.658824138438675,7.863851873996121,33.68976656261889,23.340033593486663,4.079717213674622,0.46664194748660365,37.02649268120991,52.393803248992,1.9063958710674733,26.209062003201524,22.03778983740377
9000,56.57737699586571,9.181826365628861,1.0953942779474088,34.32198594266698,45.6009703686712,13.618194573575437,68.39327757681394,35.51750463140903,34.63194440060279,5.108509265407595,7.972275332254616,34.41681077516292,17.18150204352716,10.178843397999495,0.48887536310607355,37.20407216189143,52.258333087318974,1.853725365967589,26.73093174677512,22.062451295458537
10000,27.154270058941655,9.181826276498239,0.9776164266137564,34.244572319133646,46.535748931375814,13.618194573810252,76.47429904687752,34.78023043672844,35.1797225479335,5.020877078088871,18.875721435664573,34.0155625300556,21.11068117840886,2.62700043917168,1.4163256882857962,37.1071854229875,66.3606558061713,1.853197009833163,29.020677025413903,22.09408986957871
11000,25.746039978890316,9.181826230786617,1.2693391869147435,34.35776012602729,45.61261351226032,15.310388533681117,81.26635327447885,36.430044350375894,35.107231409888,2.986135725637526,20.915846169260018,34.361805163911455,25.27976092959289,1.681505873863181,1.6604679250488814,38.322277896614956,67.14694217199266,45.156362762040445,28.06619886520477,22.097015751450705
12000,55.54740303509006,8.797932080524514,2.1599008205452384,34.34078742320035,45.64635849835601,26.484335787236272,93.66755853547484,35.533221744646895,34.778469607493946,2.358192699910476,16.133324402543614,34.34293489561311,48.29168090386794,2.1673080343914295,2.3855596396429166,37.56404774771555,69.38804719531927,45.221791680942516,28.556282241589866,22.359096065022385
13000,38.079742265470415,8.77038232331553,1.9542297187853,43.275757119066284,45.637189170277445,6.014345265670981,104.40670816351262,35.38354995643733,34.63978480903702,2.3578508034925685,16.765354846850038,33.58732148790528,61.6759496847421,1.8780499909982755,2.143831380963285,37.801583268857556,74.50761045589445,45.17240193694848,27.49547163415781,22.07785328631802
14000,41.918339622583574,8.770018178066646,2.1907356264233275,34.05750130180782,65.33582244697035,23.718382858535797,106.94779683032661,35.70480309516038,34.74968168372892,2.381562712588726,19.842413022767452,34.40012521118258,44.21258883655288,2.2131091495058657,1.3261862103903965,37.41894107760914,91.78231728373642,45.172427688358994,25.838607636008938,22.138658620937207
15000,30.72596666167911,8.770151574499561,2.2128355761330276,65.68838416366576,77.17559040390601,20.956087578958808,113.03568720670043,37.7277973313699,35.53450932027228,2.4110718526928987,23.085199308632014,34.40189224504255,65.32244364676001,11.4679370574631,0.6605925187134168,41.95841236232314,91.78439683765262,45.172398954639405,26.050704042987242,22.072805266625604
16000,38.18880928785815,8.770461086829606,2.2016165025076324,64.85425037252074,78.03637163383696,19.772203461962608,118.56730052939156,41.41245555483307,35.540323980595865,2.4307693086845616,23.074574330428426,36.672364012275416,54.4233521559236,11.777919332717332,4.227756130333354,36.66905223470881,86.65749099621925,45.17360032313805,25.226771698384347,22.072474532879486
