step,TAAC_PointMaze_Large_Diverse_GDense-v3_0,TAAC_PointMaze_Large_Diverse_GDense-v3_1,TAAC_PointMaze_Large_Diverse_GDense-v3_10,TAAC_PointMaze_Large_Diverse_GDense-v3_11,TAAC_PointMaze_Large_Diverse_GDense-v3_12,TAAC_PointMaze_Large_Diverse_GDense-v3_13,TAAC_PointMaze_Large_Diverse_GDense-v3_14,TAAC_PointMaze_Large_Diverse_GDense-v3_15,TAAC_PointMaze_Large_Diverse_GDense-v3_16,TAAC_PointMaze_Large_Diverse_GDense-v3_17,TAAC_PointMaze_Large_Diverse_GDense-v3_18,TAAC_PointMaze_Large_Diverse_GDense-v3_19,TAAC_PointMaze_Large_Diverse_GDense-v3_2,TAAC_PointMaze_Large_Diverse_GDense-v3_3,TAAC_PointMaze_Large_Diverse_GDense-v3_4,TAAC_PointMaze_Large_Diverse_GDense-v3_5,TAAC_PointMaze_Large_Diverse_GDense-v3_6,TAAC_PointMaze_Large_Diverse_GDense-v3_7,TAAC_PointMaze_Large_Diverse_GDense-v3_8,TAAC_PointMaze_Large_Diverse_GDense-v3_9
0,11.019322797014167,2.547598291478277,13.27455998288615,33.54371620667926,42.23134342242861,1.7888798549926452,4.469255718110552,0.42950104432698416,24.62263480085534,13.615922292314611,9.026978909632303,6.0475813042131366,2.000299205012302,1.3851873613349432,1.2425677172338312,34.46652013360525,3.913319709904897,1.8047143563388388,3.6875874031573916,12.921737802794855
1000,18.91740701021513,7.598966372285543,9.116277409486756,33.41610158620975,42.76855819134848,1.9153341610306427,3.2838747171785982,0.49829994555154417,26.34341283799631,15.512456713616563,12.877131303510177,4.352330371969995,2.0029853612818322,1.2976285802471035,1.166494213152924,9.714379286997458,3.7966765167063743,1.8103912593795806,11.761105168939437,18.445978046974794
2000,3.476938015124092,2.4702529624767213,1.0955013584866036,2.9114933511592302,9.010031046795422,1.2325793241356782,40.412114310191555,3.7007351726793574,32.03988567447168,19.43954996133108,1.2917431575128642,18.220930894246496,34.7968769669761,25.398358267299947,0.13364623211150467,25.327701336093238,7.476115903854412,1.0627619322067106,15.39957071151257,1.7279953554597984
3000,0.9057412135110215,17.45940064226865,1.0951823988656035,76.7962443890032,11.714221820700809,1.6807053642261405,20.532440444548087,3.6620216424490315,31.971128097394192,39.827903704502226,1.4465369635171377,8.720733319795993,48.93197388561026,26.419051171378804,28.043536730412278,25.32659505020657,7.476117496129684,1.0627841057776546,15.336000254356005,10.225825536293769
4000,0.9057402493409554,12.951096370410577,1.0952451321466008,60.95426902706426,13.186571741556975,6.786629154881403,20.54084490128432,3.6297341908029983,32.082905360668825,40.25163666668014,1.4458841144581445,6.682121421393296,13.535381898365543,28.294519337875915,28.043546764214,25.322885039516652,5.420235212223822,1.5233061451746568,15.337351634379264,3.996002121094463
5000,3.558838154408087,43.338188560347874,1.403059472611632,28.35128421733924,34.9860044320915,12.011879022472552,20.45363598120948,36.575117510041686,30.827085660155603,39.815157295560105,15.543675832562482,9.680858691536292,17.877919917102766,27.935217191849723,28.043551428622926,25.327162318625952,7.48646763514869,33.35914815537184,15.362444741248382,3.9075936584362845
6000,24.268131271602,43.13597339568012,1.3058798335225927,30.00633446053346,26.490227750805257,12.076408681794065,20.4530252158548,28.89948948898003,30.5354864504471,39.67432240473339,15.50989310704163,40.57028375511536,15.243728249313833,27.63903657400736,28.04355146059778,25.413236619646497,7.486720943502869,41.60306837613955,15.355926724317573,6.490374657113875
7000,12.69121461453876,9.717669057550093,1.3504863647265866,28.256680182077837,26.08813285967298,3.189483953940079,21.39556973040214,37.80513221082235,31.465224103715638,39.78331767770912,1.5865328005924533,9.736098488390597,14.2150162762055,10.410440329614364,28.043551403030573,25.36271638484277,7.480525083481727,5.5348444949683975,16.834196141406746,5.306169576731982
8000,11.967779808021453,5.656852784883574,19.239197524299684,32.4906321566432,11.243204031745098,7.691173767515663,22.456834742455325,34.51251070037224,31.19233102437338,39.587697428472644,16.42674284422174,9.44525362783543,14.403303306532516,10.789005421587804,28.043551384566932,25.50776989847818,6.626022460922615,5.1852907288650965,17.102938338130677,3.820831175297876
9000,12.018700906029455,5.37096962992789,31.871154659743972,65.27413260123087,10.23367623321521,9.325722726586736,29.389012802367652,14.317418324963446,31.248844718735853,41.657482913263166,22.799797286076878,9.438645082960138,14.055117696468269,11.596114176074355,28.043551383589847,25.44459432442377,5.403369062391266,5.036579256342382,15.57413438400862,4.495516598226505
