"Step","DQN_TempoRL_Bridge_100 - eval/avg_reward","DQN_TempoRL_Bridge_100 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_100 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_90 - eval/avg_reward","DQN_TempoRL_Bridge_90 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_90 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_80 - eval/avg_reward","DQN_TempoRL_Bridge_80 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_80 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_70 - eval/avg_reward","DQN_TempoRL_Bridge_70 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_70 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_60 - eval/avg_reward","DQN_TempoRL_Bridge_60 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_60 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_50 - eval/avg_reward","DQN_TempoRL_Bridge_50 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_50 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_40 - eval/avg_reward","DQN_TempoRL_Bridge_40 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_40 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_30 - eval/avg_reward","DQN_TempoRL_Bridge_30 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_30 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_20 - eval/avg_reward","DQN_TempoRL_Bridge_20 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_20 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_10 - eval/avg_reward","DQN_TempoRL_Bridge_10 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_10 - eval/avg_reward__MAX"
"12000","-110","-110","-110","-13","-13","-13","-105","-105","-105","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"12500","-110","-110","-110","-13","-13","-13","-105","-105","-105","-100","-100","-100","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"13000","-110","-110","-110","-13","-13","-13","-105","-105","-105","-13","-13","-13","-13","-13","-13","-102","-102","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100"
"13500","-110","-110","-110","-13","-13","-13","-105","-105","-105","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"14000","-100","-100","-100","-13","-13","-13","-105","-105","-105","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100"
"14500","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100"
"15000","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100"
"15500","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100"
"16000","-102","-102","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100"
"16500","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100"
"17000","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100"
"17500","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-102","-102","-102","-100","-100","-100","-13","-13","-13","-13","-13","-13","-109","-109","-109"
"18000","-101","-101","-101","-14","-14","-14","-14","-14","-14","-13","-13","-13","-107","-107","-107","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100"
"18500","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-107","-107","-107","-101","-101","-101","-100","-100","-100","-13","-13","-13","-13","-13","-13","-105","-105","-105"
