"Step","DQN_None_Bridge_100 - eval/avg_reward","DQN_None_Bridge_100 - eval/avg_reward__MIN","DQN_None_Bridge_100 - eval/avg_reward__MAX","DQN_None_Bridge_90 - eval/avg_reward","DQN_None_Bridge_90 - eval/avg_reward__MIN","DQN_None_Bridge_90 - eval/avg_reward__MAX","DQN_None_Bridge_80 - eval/avg_reward","DQN_None_Bridge_80 - eval/avg_reward__MIN","DQN_None_Bridge_80 - eval/avg_reward__MAX","DQN_None_Bridge_70 - eval/avg_reward","DQN_None_Bridge_70 - eval/avg_reward__MIN","DQN_None_Bridge_70 - eval/avg_reward__MAX","DQN_None_Bridge_60 - eval/avg_reward","DQN_None_Bridge_60 - eval/avg_reward__MIN","DQN_None_Bridge_60 - eval/avg_reward__MAX","DQN_None_Bridge_50 - eval/avg_reward","DQN_None_Bridge_50 - eval/avg_reward__MIN","DQN_None_Bridge_50 - eval/avg_reward__MAX","DQN_None_Bridge_40 - eval/avg_reward","DQN_None_Bridge_40 - eval/avg_reward__MIN","DQN_None_Bridge_40 - eval/avg_reward__MAX","DQN_None_Bridge_30 - eval/avg_reward","DQN_None_Bridge_30 - eval/avg_reward__MIN","DQN_None_Bridge_30 - eval/avg_reward__MAX","DQN_None_Bridge_20 - eval/avg_reward","DQN_None_Bridge_20 - eval/avg_reward__MIN","DQN_None_Bridge_20 - eval/avg_reward__MAX","DQN_None_Bridge_10 - eval/avg_reward","DQN_None_Bridge_10 - eval/avg_reward__MIN","DQN_None_Bridge_10 - eval/avg_reward__MAX"
"5000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"5500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"7000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"7500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"8000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"8500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"9000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"9500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"10000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"10500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"11000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13"
"11500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13"
"12000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-15","-15","-15","-13","-13","-13"
"12500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-15","-15","-15","-112","-112","-112","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13"
"13000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-112","-112","-112","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13"
"13500","-100","-100","-100","-100","-100","-100","-110","-110","-110","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13"
"14000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-112","-112","-112","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13"
"14500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-100","-100","-100","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13"
"15000","-100","-100","-100","-100","-100","-100","-112","-112","-112","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13"
"15500","-100","-100","-100","-100","-100","-100","-112","-112","-112","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13"
"16000","-100","-100","-100","-13","-13","-13","-112","-112","-112","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13"
"16500","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13"
"17000","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13"
"17500","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13"
"18000","-100","-100","-100","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13"
