"Step","DQN_EQL_Bridge_100 - eval/avg_reward","DQN_EQL_Bridge_100 - eval/avg_reward__MIN","DQN_EQL_Bridge_100 - eval/avg_reward__MAX","DQN_EQL_Bridge_90 - eval/avg_reward","DQN_EQL_Bridge_90 - eval/avg_reward__MIN","DQN_EQL_Bridge_90 - eval/avg_reward__MAX","DQN_EQL_Bridge_80 - eval/avg_reward","DQN_EQL_Bridge_80 - eval/avg_reward__MIN","DQN_EQL_Bridge_80 - eval/avg_reward__MAX","DQN_EQL_Bridge_70 - eval/avg_reward","DQN_EQL_Bridge_70 - eval/avg_reward__MIN","DQN_EQL_Bridge_70 - eval/avg_reward__MAX","DQN_EQL_Bridge_60 - eval/avg_reward","DQN_EQL_Bridge_60 - eval/avg_reward__MIN","DQN_EQL_Bridge_60 - eval/avg_reward__MAX","DQN_EQL_Bridge_50 - eval/avg_reward","DQN_EQL_Bridge_50 - eval/avg_reward__MIN","DQN_EQL_Bridge_50 - eval/avg_reward__MAX","DQN_EQL_Bridge_40 - eval/avg_reward","DQN_EQL_Bridge_40 - eval/avg_reward__MIN","DQN_EQL_Bridge_40 - eval/avg_reward__MAX","DQN_EQL_Bridge_30 - eval/avg_reward","DQN_EQL_Bridge_30 - eval/avg_reward__MIN","DQN_EQL_Bridge_30 - eval/avg_reward__MAX","DQN_EQL_Bridge_20 - eval/avg_reward","DQN_EQL_Bridge_20 - eval/avg_reward__MIN","DQN_EQL_Bridge_20 - eval/avg_reward__MAX","DQN_EQL_Bridge_10 - eval/avg_reward","DQN_EQL_Bridge_10 - eval/avg_reward__MIN","DQN_EQL_Bridge_10 - eval/avg_reward__MAX"
"12000","-101","-101","-101","-102","-102","-102","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-102","-102","-102","-101","-101","-101","-13","-13","-13"
"12500","-101","-101","-101","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-101","-101","-101","-101","-101","-101","-13","-13","-13","-101","-101","-101"
"13000","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-101","-101","-101","-13","-13","-13","-101","-101","-101","-101","-101","-101","-13","-13","-13","-101","-101","-101"
"13500","-101","-101","-101","-101","-101","-101","-16","-16","-16","-13","-13","-13","-102","-102","-102","-13","-13","-13","-101","-101","-101","-100","-100","-100","-101","-101","-101","-13","-13","-13"
"14000","-101","-101","-101","-13","-13","-13","-101","-101","-101","-101","-101","-101","-101","-101","-101","-102","-102","-102","-101","-101","-101","-111","-111","-111","-101","-101","-101","-13","-13","-13"
"14500","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-14","-14","-14","-101","-101","-101","-101","-101","-101","-102","-102","-102","-101","-101","-101"
"15000","-101","-101","-101","-102","-102","-102","-13","-13","-13","-101","-101","-101","-14","-14","-14","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101"
"15500","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-102","-102","-102","-101","-101","-101","-102","-102","-102","-111","-111","-111","-101","-101","-101","-101","-101","-101"
"16000","-14","-14","-14","-101","-101","-101","-101","-101","-101","-13","-13","-13","-102","-102","-102","-100","-100","-100","-13","-13","-13","-102","-102","-102","-13","-13","-13","-101","-101","-101"
"16500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-100","-100","-100","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101"
