"Step","DQN_UTE_Bridge_100 - eval/avg_reward","DQN_UTE_Bridge_100 - eval/avg_reward__MIN","DQN_UTE_Bridge_100 - eval/avg_reward__MAX","DQN_UTE_Bridge_90 - eval/avg_reward","DQN_UTE_Bridge_90 - eval/avg_reward__MIN","DQN_UTE_Bridge_90 - eval/avg_reward__MAX","DQN_UTE_Bridge_80 - eval/avg_reward","DQN_UTE_Bridge_80 - eval/avg_reward__MIN","DQN_UTE_Bridge_80 - eval/avg_reward__MAX","DQN_UTE_Bridge_70 - eval/avg_reward","DQN_UTE_Bridge_70 - eval/avg_reward__MIN","DQN_UTE_Bridge_70 - eval/avg_reward__MAX","DQN_UTE_Bridge_60 - eval/avg_reward","DQN_UTE_Bridge_60 - eval/avg_reward__MIN","DQN_UTE_Bridge_60 - eval/avg_reward__MAX","DQN_UTE_Bridge_50 - eval/avg_reward","DQN_UTE_Bridge_50 - eval/avg_reward__MIN","DQN_UTE_Bridge_50 - eval/avg_reward__MAX","DQN_UTE_Bridge_40 - eval/avg_reward","DQN_UTE_Bridge_40 - eval/avg_reward__MIN","DQN_UTE_Bridge_40 - eval/avg_reward__MAX","DQN_UTE_Bridge_30 - eval/avg_reward","DQN_UTE_Bridge_30 - eval/avg_reward__MIN","DQN_UTE_Bridge_30 - eval/avg_reward__MAX","DQN_UTE_Bridge_20 - eval/avg_reward","DQN_UTE_Bridge_20 - eval/avg_reward__MIN","DQN_UTE_Bridge_20 - eval/avg_reward__MAX","DQN_UTE_Bridge_10 - eval/avg_reward","DQN_UTE_Bridge_10 - eval/avg_reward__MIN","DQN_UTE_Bridge_10 - eval/avg_reward__MAX"
"12000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13"
"12500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-109","-109","-109"
"13000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-107","-107","-107","-13","-13","-13","-13","-13","-13"
"13500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13"
"14000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"14500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"15000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"15500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-106","-106","-106"
"16000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-106","-106","-106"
"16500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13"
