"Step","Group: EQL_skip_fix - eval/avg_reward","Group: EQL_skip_fix - eval/avg_reward__MIN","Group: EQL_skip_fix - eval/avg_reward__MAX","Group: UTE_prev - eval/avg_reward","Group: UTE_prev - eval/avg_reward__MIN","Group: UTE_prev - eval/avg_reward__MAX","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: UTE_skip - eval/avg_reward","Group: UTE_skip - eval/avg_reward__MIN","Group: UTE_skip - eval/avg_reward__MAX","Group: EQL_fix - eval/avg_reward","Group: EQL_fix - eval/avg_reward__MIN","Group: EQL_fix - eval/avg_reward__MAX","Group: EQL_prev - eval/avg_reward","Group: EQL_prev - eval/avg_reward__MIN","Group: EQL_prev - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: EQL_skip - eval/avg_reward","Group: EQL_skip - eval/avg_reward__MIN","Group: EQL_skip - eval/avg_reward__MAX","Group: TempoRL_skip - eval/avg_reward","Group: TempoRL_skip - eval/avg_reward__MIN","Group: TempoRL_skip - eval/avg_reward__MAX","Group: TempoRL_prev - eval/avg_reward","Group: TempoRL_prev - eval/avg_reward__MIN","Group: TempoRL_prev - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: DQN - eval/avg_reward","Group: DQN - eval/avg_reward__MIN","Group: DQN - eval/avg_reward__MAX"
"8500","-48","-100","-13","-42","-100","-13","-22.666666666666668","-100","-13","-42.333333333333336","-100","-13","-21.9","-100","-13","-79.25","-102","-13","-47.75","-113","-13","-35","-100","-13","-45.625","-100","-13","-56.625","-101","-13","-39.57142857142857","-112","-13","-100","-100","-100"
"9000","-56.5","-100","-13","-42","-100","-13","-22.88888888888889","-100","-13","-61.55555555555556","-100","-13","-30.4","-100","-13","-90.25","-102","-13","-35.25","-100","-13","-45.875","-100","-13","-45.75","-100","-13","-45.625","-100","-13","-39.42857142857143","-111","-13","-100","-100","-100"
"9500","-56.5","-100","-13","-42","-100","-13","-42.888888888888886","-108","-13","-22.77777777777778","-100","-13","-21.7","-100","-13","-68.125","-102","-13","-35","-100","-13","-45.625","-100","-13","-45.625","-100","-13","-56.625","-101","-13","-25.714285714285715","-100","-13","-100","-100","-100"
"10000","-30.6","-100","-13","-42","-100","-13","-32.666666666666664","-100","-13","-32.333333333333336","-100","-13","-23.1","-113","-13","-79.125","-102","-13","-35.25","-100","-13","-35.375","-100","-13","-34.75","-100","-13","-47.25","-113","-13","-25.714285714285715","-100","-13","-85.83333333333333","-100","-15"
"10500","-39.5","-100","-13","-42","-100","-13","-42","-100","-13","-32.333333333333336","-100","-13","-13","-13","-13","-79.125","-102","-13","-35","-100","-13","-56.625","-100","-13","-24.125","-100","-13","-58.125","-113","-13","-25.714285714285715","-100","-13","-85.5","-100","-13"
"11000","-13.4","-15","-13","-32.333333333333336","-100","-13","-51.666666666666664","-100","-13","-71","-100","-13","-21.7","-100","-13","-68.5","-102","-13","-35","-100","-13","-13.125","-14","-13","-34.75","-100","-13","-58.125","-113","-13","-40","-113","-13","-85.5","-100","-13"
"11500","-13.4","-15","-13","-32.333333333333336","-100","-13","-51.666666666666664","-100","-13","-42","-100","-13","-30.4","-100","-13","-57.625","-102","-13","-35","-100","-13","-45.75","-100","-13","-23.875","-100","-13","-36.375","-113","-13","-37.857142857142854","-100","-13","-85.5","-100","-13"
"12000","-22.2","-100","-13","-52.77777777777778","-110","-13","-51.666666666666664","-100","-13","-33.77777777777778","-113","-13","-30.6","-100","-13","-80.875","-114","-13","-24","-100","-13","-24","-100","-13","-23.875","-100","-13","-24.375","-102","-13","-40","-113","-13","-85.5","-100","-13"
"12500","-13.2","-15","-13","-32.333333333333336","-100","-13","-42","-100","-13","-32.333333333333336","-100","-13","-30.6","-100","-13","-79.25","-102","-13","-24.125","-100","-13","-34.75","-100","-13","-23.875","-100","-13","-36","-110","-13","-38.285714285714285","-100","-13","-85.5","-100","-13"
"13000","-30.6","-100","-13","-22.77777777777778","-100","-13","-51.666666666666664","-100","-13","-32.333333333333336","-100","-13","-21.9","-100","-13","-91.875","-114","-13","-24","-100","-13","-24","-100","-13","-23.875","-100","-13","-35.875","-107","-13","-13.285714285714286","-15","-13","-71.33333333333333","-100","-13"
