"Step","Group: EQL_skip_fix - eval/avg_reward","Group: EQL_skip_fix - eval/avg_reward__MIN","Group: EQL_skip_fix - eval/avg_reward__MAX","Group: UTE_prev - eval/avg_reward","Group: UTE_prev - eval/avg_reward__MIN","Group: UTE_prev - eval/avg_reward__MAX","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: UTE_skip - eval/avg_reward","Group: UTE_skip - eval/avg_reward__MIN","Group: UTE_skip - eval/avg_reward__MAX","Group: EQL_fix - eval/avg_reward","Group: EQL_fix - eval/avg_reward__MIN","Group: EQL_fix - eval/avg_reward__MAX","Group: EQL_prev - eval/avg_reward","Group: EQL_prev - eval/avg_reward__MIN","Group: EQL_prev - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: EQL_skip - eval/avg_reward","Group: EQL_skip - eval/avg_reward__MIN","Group: EQL_skip - eval/avg_reward__MAX","Group: TempoRL_skip - eval/avg_reward","Group: TempoRL_skip - eval/avg_reward__MIN","Group: TempoRL_skip - eval/avg_reward__MAX","Group: TempoRL_prev - eval/avg_reward","Group: TempoRL_prev - eval/avg_reward__MIN","Group: TempoRL_prev - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: DQN - eval/avg_reward","Group: DQN - eval/avg_reward__MIN","Group: DQN - eval/avg_reward__MAX"
"38500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-68.125","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35","-101","-13","-13","-13","-13","-13","-13","-13"
"39000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-57.25","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"39500","-21.7","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-68","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-24","-101","-13","-13","-13","-13","-13","-13","-13"
"40000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-79.125","-102","-13","-13.125","-14","-13","-13","-13","-13","-13","-13","-13","-24","-101","-13","-13","-13","-13","-13","-13","-13"
"40500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-68.25","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-46.125","-102","-13","-13","-13","-13","-13","-13","-13"
"41000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101.25","-102","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-24","-101","-13","-13","-13","-13","-13","-13","-13"
"41500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-57.25","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35.125","-102","-13","-13","-13","-13","-13","-13","-13"
"42000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-22.666666666666668","-100","-13","-13","-13","-13","-57.125","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35","-101","-13","-13","-13","-13","-13","-13","-13"
"42500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-22.666666666666668","-100","-13","-13","-13","-13","-46","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35.25","-102","-13","-13","-13","-13","-13","-13","-13"
"43000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-46","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-24","-101","-13","-13","-13","-13","-13","-13","-13"
"43500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-24.125","-102","-13","-13.125","-14","-13","-13","-13","-13","-13","-13","-13","-46","-101","-13","-13","-13","-13","-13","-13","-13"
"44000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-68.125","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35","-101","-13","-13","-13","-13","-13","-13","-13"
"44500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-24.125","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-46","-101","-13","-13","-13","-13","-13","-13","-13"
"45000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-46.125","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-57","-101","-13","-13","-13","-13","-13","-13","-13"
"45500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-46.25","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-57.125","-102","-13","-13","-13","-13","-13","-13","-13"
"46000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-57.125","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35","-101","-13","-13","-13","-13","-13","-13","-13"
"46500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-24","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-46.125","-102","-13","-13","-13","-13","-13","-13","-13"
"47000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35.125","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35","-101","-13","-13","-13","-13","-13","-13","-13"
"47500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-46","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35.125","-102","-13","-13","-13","-13","-13","-13","-13"
"48000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-57","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"48500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35.125","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35","-101","-13","-13","-13","-13","-13","-13","-13"
"49000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-24","-101","-13","-13","-13","-13","-13","-13","-13"
"49500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-24","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-46.125","-102","-13","-13","-13","-13","-13","-13","-13"
"50000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35.125","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-57","-101","-13","-13","-13","-13","-13","-13","-13"
