"Step","Group: EQL_skip_fix - eval/avg_reward","Group: EQL_skip_fix - eval/avg_reward__MIN","Group: EQL_skip_fix - eval/avg_reward__MAX","Group: DDQN - eval/avg_reward","Group: DDQN - eval/avg_reward__MIN","Group: DDQN - eval/avg_reward__MAX","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: UTE_prev - eval/avg_reward","Group: UTE_prev - eval/avg_reward__MIN","Group: UTE_prev - eval/avg_reward__MAX","Group: UTE_skip - eval/avg_reward","Group: UTE_skip - eval/avg_reward__MIN","Group: UTE_skip - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: EQL_prev - eval/avg_reward","Group: EQL_prev - eval/avg_reward__MIN","Group: EQL_prev - eval/avg_reward__MAX","Group: EQL_skip - eval/avg_reward","Group: EQL_skip - eval/avg_reward__MIN","Group: EQL_skip - eval/avg_reward__MAX","Group: EQL_fix - eval/avg_reward","Group: EQL_fix - eval/avg_reward__MIN","Group: EQL_fix - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: TempoRL_prev - eval/avg_reward","Group: TempoRL_prev - eval/avg_reward__MIN","Group: TempoRL_prev - eval/avg_reward__MAX","Group: TempoRL_skip - eval/avg_reward","Group: TempoRL_skip - eval/avg_reward__MIN","Group: TempoRL_skip - eval/avg_reward__MAX"
"9500","-76.5","-100","-20","-101.3","-113","-100","-82.125","-115","-20","-80","-100","-20","-50.125","-100","-20","-77.8","-112","-22","-87","-122","-20","-61.2","-100","-20","-77.9","-115","-20","-40.8","-120","-20","-89.66666666666667","-118","-20","-73","-123","-20"
"10000","-78.1","-116","-20","-100","-100","-100","-60.5","-100","-20","-84.25","-120","-20","-60.125","-100","-20","-84.3","-100","-21","-78.3","-122","-20","-62.6","-117","-20","-76.3","-100","-20","-36.4","-100","-20","-95.16666666666667","-120","-20","-53.6","-100","-20"
"10500","-76.9","-100","-22","-101.3","-113","-100","-70.25","-100","-20","-72.75","-118","-20","-50","-100","-20","-76.4","-100","-20","-78.3","-120","-20","-60.8","-100","-20","-60.6","-100","-20","-20.4","-22","-20","-94.83333333333333","-118","-20","-73","-123","-20"
"11000","-62.7","-116","-22","-102.1","-121","-100","-80.25","-100","-20","-75.75","-118","-20","-50.125","-100","-20","-52.8","-100","-20","-70.3","-118","-20","-60.6","-100","-20","-61.7","-113","-20","-36.4","-100","-20","-92.83333333333333","-118","-20","-52.8","-100","-20"
"11500","-53.2","-100","-21","-101.6","-116","-100","-70.625","-100","-20","-71.875","-114","-20","-71.625","-113","-20","-68.6","-100","-20","-70","-118","-20","-60.4","-100","-20","-61.6","-113","-20","-20.8","-22","-20","-62.5","-113","-20","-55.4","-117","-20"
"12000","-69","-100","-22","-100","-100","-100","-70.5","-100","-20","-71.75","-114","-20","-40","-100","-20","-62.2","-118","-20","-68.5","-104","-20","-62.2","-119","-20","-54","-113","-20","-36.8","-100","-20","-47.166666666666664","-100","-20","-56","-120","-20"
"12500","-63.9","-118","-20","-100","-100","-100","-60.5","-100","-20","-62","-114","-20","-40","-100","-20","-46.6","-118","-20","-69.7","-112","-20","-60.3","-100","-20","-44.3","-100","-20","-36.8","-100","-20","-50.166666666666664","-110","-20","-39.8","-117","-20"
"13000","-62.5","-114","-22","-100","-100","-100","-60.25","-100","-20","-64.25","-118","-20","-40.25","-100","-20","-54.6","-120","-20","-78.2","-116","-20","-52.3","-100","-20","-52","-100","-20","-52.8","-100","-20","-61.833333333333336","-110","-20","-20.8","-23","-20"
"13500","-44.9","-100","-20","-100","-100","-100","-50.25","-100","-20","-64","-118","-20","-40.125","-100","-20","-46.6","-118","-20","-70.5","-118","-20","-44.3","-100","-20","-60","-100","-20","-52.4","-100","-20","-47","-100","-20","-20.4","-22","-20"
"14000","-45.2","-100","-20","-101.4","-114","-100","-50.25","-100","-20","-51.75","-114","-20","-40.375","-100","-20","-38.5","-118","-20","-64.3","-120","-20","-44.3","-100","-20","-46.3","-120","-20","-68.4","-100","-20","-46.833333333333336","-101","-20","-20.4","-22","-20"
