"Step","Group: EQL_skip_fix - eval/avg_reward","Group: EQL_skip_fix - eval/avg_reward__MIN","Group: EQL_skip_fix - eval/avg_reward__MAX","Group: UTE_skip - eval/avg_reward","Group: UTE_skip - eval/avg_reward__MIN","Group: UTE_skip - eval/avg_reward__MAX","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: EQL_fix - eval/avg_reward","Group: EQL_fix - eval/avg_reward__MIN","Group: EQL_fix - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: EQL_skip - eval/avg_reward","Group: EQL_skip - eval/avg_reward__MIN","Group: EQL_skip - eval/avg_reward__MAX","Group: TempoRL_skip - eval/avg_reward","Group: TempoRL_skip - eval/avg_reward__MIN","Group: TempoRL_skip - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: DDPG - eval/avg_reward","Group: DDPG - eval/avg_reward__MIN","Group: DDPG - eval/avg_reward__MAX"
"8500","-4.645282453430887","-6.99029793044499","-2.852202880345687","-5.083069585719182","-7.184894655485155","-3.267981854269325","-4.241396403909763","-7.400088181957733","-2.321779524421727","-4.784243602461101","-9.719847374483948","-2.9313405163771584","-4.649835242019631","-8.606904558081194","-2.158529537070551","-5.513605421011457","-9.61942847519459","-3.5954726573901317","-7.168833520758952","-9.513151396828043","-4.373287930795817","-4.427411407946151","-6.020433901163129","-2.0341754072972913","-3.1464714200148802","-5.616775802953236","-1.7271606057775348"
"9000","-4.796854831796134","-6.807507480896473","-2.9050596246116003","-4.855686212745583","-8.455809764045544","-2.920717380347139","-3.7263503303331937","-5.393015242547977","-2.2319970721059446","-3.647233034941176","-6.261994271837182","-2.0709352613431653","-4.176531084442695","-8.905061960300646","-2.315414591531003","-5.5856220556885425","-10.061808609786981","-3.591873111273466","-6.666508365658849","-14.861197279188833","-3.9752339462427684","-4.304533449780733","-5.588211302221262","-2.3465039957682996","-3.481813399728054","-4.7217635694733096","-2.3102915920138267"
"9500","-4.445694066403567","-6.908673021624191","-2.8247596178093537","-5.027266412792651","-7.222492109394318","-4.001415560933298","-4.040059924915373","-5.209590109721275","-2.832532136644583","-3.7283668710356013","-4.530267534587976","-2.8443808768174597","-4.1746747872703995","-8.768186593287908","-2.5158565679118072","-5.497062110805792","-9.321365082591582","-3.5974921058394096","-6.272203416918835","-14.377912799778462","-3.3934474510701316","-4.409568640588648","-6.8364777995703845","-2.7831902863849725","-2.6225414609101336","-4.667896569764053","-1.9638805825175343"
"10000","-4.289216802533766","-7.088771593153551","-2.6745702821002717","-4.480396334714445","-5.47551942808259","-3.0359716785784387","-3.831020326579175","-5.0622038660047775","-2.5527465769358813","-3.5489598862431464","-5.032814992048147","-2.2863843927312035","-4.107436035322234","-8.667087326885467","-1.8655683901030264","-5.183047013567373","-9.095937183313689","-3.6397677801064128","-6.009827914253853","-8.301075035725423","-4.2340467419100305","-3.755505859351522","-5.073182027409986","-1.95275989057784","-2.6561694545611414","-5.234672658101013","-1.1873491671820235"
"10500","-4.532378831055313","-6.396792337675967","-3.4059716690027684","-4.940777369522196","-7.007208396653705","-3.8674198848559294","-4.0013651046182055","-7.045286140308065","-2.7460525377651406","-3.8074401759009247","-6.7834125083113666","-1.7876359087237124","-3.566802973979402","-6.524964860489578","-1.9416880342978324","-5.029866224706019","-9.378590541466185","-3.2446451540892225","-5.945309721315456","-8.412437807660538","-4.036091427770171","-3.883015222629864","-5.092153205056503","-2.595976012513108","-2.7015066454014756","-4.736252691694328","-1.9136049986320471"
"11000","-5.117435129510669","-6.863207345004815","-3.0800488591522535","-4.1452335042670745","-5.701141123087039","-2.957967117842211","-3.951275766002638","-6.285895882349744","-2.9072722571500615","-3.8015533825231387","-5.395518546293588","-2.6495108696433194","-3.371978947812347","-4.410408056504826","-2.141058134941193","-5.848284227003919","-11.12653480621503","-3.781704938103266","-5.0349442755253975","-9.330660414620937","-3.0449124697121386","-3.3126939957388677","-5.8423505011032395","-2.0459386224471863","-2.833106327509011","-5.419378104391244","-1.4130581869159964"
"11500","-4.677137472228596","-6.2982286178591895","-3.607345114943051","-4.534261704699383","-6.876708618887138","-3.1714355763415436","-3.47339536369095","-6.046878384521294","-1.9207638728474687","-3.2022863296803856","-5.081867493139764","-1.9246259949556888","-4.137170784954636","-6.246483855065938","-1.7274225182773164","-5.181634059641814","-9.977821479089638","-3.5333421689882245","-5.268689199241462","-10.04576676227265","-4.143198887731794","-3.2450078741613053","-5.504303482800072","-2.262163663971726","-2.6707172221399347","-4.0522499012485955","-1.7138945666011196"
"12000","-4.2995061750827945","-6.972960248963245","-2.7906214869959367","-4.476899384861468","-7.092459207116718","-2.740261171458182","-3.5090123996985403","-5.219384910024216","-1.7786481964148257","-3.2382567251147236","-4.769148802718332","-2.1536280356390156","-3.141890117936316","-4.725567497353564","-1.6981458992279528","-4.932797633262616","-9.5627580979824","-3.3166380366887234","-4.909004864130581","-7.810792332650503","-3.291038846910928","-3.157976884009795","-4.548917290072966","-1.9446726007522546","-2.9343046320468136","-5.234500164008356","-1.36147850467037"
"12500","-4.204303536300053","-6.545467549667956","-2.767927247758931","-4.560958589586219","-7.858579238700983","-3.0418331640354537","-3.4067671982915932","-4.09486529461796","-2.3245057228557355","-3.01760478399246","-4.701212382595267","-1.7347634855741414","-3.3800184270435842","-6.188498514855527","-2.463225629426212","-4.8599567698576625","-9.34082054214341","-3.0286890606504104","-5.10380616000116","-7.965416994914937","-3.7285229586807844","-3.6346098273411735","-11.091606932498848","-1.9127144565010066","-2.5482194792590462","-3.6326207156104005","-1.7919946892306626"
"13000","-4.036055966796662","-6.094632635176184","-2.3904383862070495","-4.266663751115246","-6.494126563012584","-2.2007560841422014","-3.1574958942825275","-5.387908035636952","-1.9877250181980202","-3.2380467845014196","-5.133040415551837","-1.9520870979377296","-3.155322982955675","-4.656852233390667","-2.076371255914617","-4.43909298336698","-7.208269500596424","-3.1090217066298296","-4.867587122236091","-7.485454201316929","-2.9504498062512647","-3.0632561340602624","-5.978471502210106","-1.8638671128886397","-2.8907290711306333","-4.673441168823423","-1.5183125487602043"
"13500","-3.6772393482556938","-4.854666324008159","-1.7578864822188223","-4.254574770823864","-6.593265619678843","-2.3862864285203607","-2.7795086693169404","-4.015566323092912","-2.124608373080123","-2.6683157650075557","-4.223438812755554","-1.622307210563641","-3.284910472638283","-6.282653591907716","-1.863168363207518","-3.9963964073470697","-6.045824954300099","-2.1068363547372","-4.410963168204094","-8.697353481261283","-2.1755385303747854","-3.1056800074473667","-6.112667291401896","-1.6606205948585164","-2.228999445696279","-3.946353560446174","-1.4850570239194032"
"14000","-4.277526576016185","-7.9437375385814475","-2.7188680682172053","-4.121439979872729","-5.398223683861062","-2.9114992675911098","-2.6414191315630724","-3.6863111518833946","-2.0390353864804465","-3.119728096592806","-4.570969536253562","-2.105292471155334","-2.8713038161684645","-4.261789225374239","-1.4412311284720363","-4.346600371597207","-5.597435284262323","-3.264491245584059","-4.690849057221891","-8.500005722334363","-2.78664052129544","-3.3476901111299426","-4.459093821041662","-2.3589953029473323","-2.1260540248859146","-4.674764622585292","-1.3964333067674335"
"14500","-3.8718455032932226","-5.532838590324332","-2.909170724064629","-4.2464916890645235","-6.452576820702868","-2.9838033728126745","-2.9342249383615053","-4.185386878665933","-2.06493384993015","-3.003390022983973","-4.152515053532591","-1.7882919783397242","-3.258073534299558","-4.511860015467237","-2.0605627943070495","-3.827099840083285","-5.662362190564076","-2.67851067058303","-4.684467597824108","-8.02072827314653","-3.085089154395889","-2.884029628271067","-4.53568410883886","-1.4374396128026063","-2.014781966068523","-2.984051756938992","-1.249570493951864"
"15000","-4.294427038706877","-6.146445327402792","-3.0632572401727827","-4.113191194098164","-5.56107437752219","-2.2653387749016547","-3.0369621949339556","-4.454236354800199","-1.9754771083009015","-2.900236837662398","-3.9331584525898755","-1.5409130821188282","-3.137575976626338","-4.780111453065786","-1.404454974393241","-3.7052371794937087","-6.322076072989958","-2.296635715190237","-4.234949603548418","-6.936299557589754","-1.9615303118367293","-2.550121820153874","-3.548780882630865","-1.656154556047286","-2.8580315278763213","-4.48560445632039","-2.067087167205436"
"15500","-3.5983257722759086","-5.164085466732018","-2.4859959321246903","-4.120775840194378","-6.1136131424886795","-2.975527348173094","-2.9951221644869577","-4.448438157284795","-2.1973329012838705","-2.7821240111935537","-5.064448061455239","-1.5428475437958362","-2.7738013987130863","-5.6293566137145055","-1.5449611975656732","-4.157983612854187","-6.499168161047645","-2.648704319511075","-4.218360729536815","-7.359599963405496","-2.3316921992542365","-2.5925810657879023","-4.232669070412698","-1.9429290107532018","-2.021600506002858","-4.174057691473069","-1.1945180600463463"
"16000","-3.7048366021708694","-5.183483214065259","-2.2407014851626696","-3.785450725606527","-6.216046937001555","-2.3685619036428327","-2.842810366838525","-3.9915916318619287","-1.9753751214792679","-3.1005968048250625","-4.058262608900942","-2.1883159607270257","-3.4660432777245567","-6.135687942788876","-2.3850407820594013","-3.631244987298446","-7.740898054275306","-2.1480323230196374","-4.231911672097169","-8.05407930212916","-2.068382669933288","-2.7466918525423982","-4.113069520543144","-1.7540196991265873","-2.040530647526484","-4.697766154458787","-1.2603734298155957"
"16500","-3.452992574234984","-4.6805440584391125","-2.316503532759795","-3.9390054846600657","-5.935409364558941","-2.200768772153812","-2.80275389234186","-3.2030405833559934","-2.221243949958435","-2.460101130605051","-4.551653579548247","-1.5241442868190167","-2.5373162780472684","-4.721420433253984","-1.6421861779208864","-3.745337144846966","-6.983874778358367","-2.080735599962572","-4.243926203775521","-7.272615595559867","-1.9831246076591633","-2.6871270150273547","-4.80101183252661","-1.8765280572542333","-2.170867646422665","-4.1249372035653","-1.2193390185923931"
"17000","-3.288927172743663","-4.649259850057266","-2.4064324872938925","-4.011784757994208","-6.5854812395359605","-2.4701190106813566","-2.7973081247104186","-3.8151709564817495","-2.134722985762285","-2.902701692232934","-3.902165651188045","-1.6195089223759123","-3.1242969248145807","-5.3584986270480215","-1.6321286035934097","-4.1428864816997635","-7.368447861389275","-2.2763149329152847","-4.4683496605984825","-8.069998957185458","-2.37399362409242","-2.833633872724016","-4.616502399361839","-1.588919917052619","-2.448460636652995","-3.8497627229852363","-1.1986939913871135"
"17500","-3.467632734176155","-5.598274704464053","-2.4184924377167816","-5.344478431790963","-19.674274988486598","-3.2476526810229607","-2.6760144031199835","-3.615401310826683","-1.8480287451192332","-2.9205501588282496","-6.970756927599135","-1.670523248492787","-3.028920304922365","-6.263375694647555","-1.3677376212114543","-5.474838507238854","-17.554401571848068","-2.5083810214243187","-4.898999671481947","-8.943668593176042","-3.5645248397305567","-3.1957251625404295","-4.97567777022231","-1.8906999245094849","-2.5298179029605734","-4.336385622690708","-1.8264164165284877"
"18000","-3.600674975168181","-5.254248567621554","-2.4518612653223495","-6.692165980097855","-27.43029252139213","-2.5842433657419734","-2.968796780482493","-4.030111301618426","-2.1060257768995925","-2.253982535390069","-3.471870627814652","-1.4640241983138884","-2.667946375176835","-4.363094048525115","-1.7340849219559598","-3.3376547969172052","-5.038516282319923","-2.0301019617114315","-4.72438863583789","-8.226623513938513","-3.050065319818539","-2.775674658793623","-5.8460527214742415","-1.7911996806251493","-2.115075666376693","-3.534114924468265","-1.3028952837012464"
"18500","-3.1581170396668483","-4.370437492062297","-2.1580504662114706","-4.304792961262747","-7.043734422233096","-2.6953379763910563","-2.5849251499614043","-3.7941454461233497","-2.042365340491852","-2.7626346890898765","-4.410653040913217","-1.7948951956381083","-2.5298555902464157","-4.012555937296846","-1.8661401762451253","-3.6776840364042975","-6.169803827371783","-2.548323876970095","-3.710069055067495","-6.344524166533089","-2.197712013372842","-2.995573656005961","-4.406453312499503","-2.142310759518428","-2.0171221892005353","-2.918920913130073","-1.0335221210630465"
"19000","-3.2909318917796115","-4.04363675332449","-2.509772760487342","-4.260255110005061","-6.238242325319617","-3.0197350860982413","-2.328014503114604","-3.0646034113066314","-1.5199466226363483","-2.7468836944581114","-3.491834315353779","-2.392632942336075","-2.3879218016682153","-3.2960497810053324","-1.740945006382089","-3.5989689032380845","-5.9364563780221165","-2.3827611098291563","-4.209480975105356","-7.369470198320984","-2.749756518877578","-2.922415453609651","-3.893334471494255","-2.085137144092844","-2.0622410015423225","-3.1743471599101505","-1.3418718897099833"
"19500","-3.628025816962242","-4.843483753927302","-2.5603286921251582","-4.062479503634867","-6.704984843599609","-2.557488612825348","-2.6685180595996996","-5.067920927316558","-1.7665799557653457","-2.9132719653736845","-7.03924629558323","-1.3817795460181312","-2.3538767828870126","-2.9759964768015754","-1.7532823015101726","-3.6930369339587026","-5.28247086550982","-2.531650394899194","-4.122833925431296","-7.271071125876641","-2.3466899244296204","-2.5377465429147423","-3.5557699662127518","-1.4792361524303872","-2.193723796597616","-3.9454004471576076","-1.0528467397914416"
"20000","-3.4818596591287756","-6.033587914592234","-2.3379257318270086","-3.7082482920702917","-6.899407810412933","-2.2191668416493635","-2.953846012237652","-5.686166582404928","-1.4747268755016063","-2.967294382963746","-4.853965913529142","-1.4129603950650256","-2.38741433557895","-4.00507548223082","-1.3995734988626214","-3.9903891835200618","-8.189687262050303","-2.422751801760003","-4.387580651161068","-6.4523257563494685","-2.451302075120024","-2.8859493697770437","-4.318404766536689","-2.0453935929855644","-1.8745481134053847","-2.7610498465306774","-1.2549488190821214"
"20500","-3.3160176673367134","-5.792668594473644","-2.3752462263654897","-4.221800309135507","-5.9946844708227935","-2.6118623696930237","-2.684785715328817","-3.9705003647055706","-1.887203786733139","-2.936742381433455","-3.826345578414851","-1.567023511302072","-2.418493726025966","-5.001603013903136","-1.0580529620189245","-4.011397729236234","-6.973095806383088","-2.2855955629869826","-4.692475585487601","-9.30508897395103","-2.593979292973885","-2.681321128083268","-5.059222873393385","-1.6116073941835445","-2.008794002641209","-3.3720982975235074","-1.506158233831976"
"21000","-2.9062620105007","-3.584908236756003","-2.2145471673702675","-3.648769814437189","-5.210501513300057","-2.336888795390427","-2.639181349703987","-4.152183901491722","-1.759322684707363","-2.130710832773768","-3.112755897984246","-1.3465942204541825","-2.1281038449514114","-4.052978947878232","-1.2828758163905944","-3.8233858500849145","-6.422849436190388","-2.483898283501741","-3.94674450940322","-7.30519126650845","-2.440958369564179","-2.6568961731245304","-4.982317404199802","-1.7894900987401212","-2.455752785366253","-3.9978611324104874","-1.439360275892597"
"21500","-3.205875345174438","-4.997608783216249","-2.078022007367546","-3.6635244920501195","-5.295273552165104","-1.9391694078858794","-2.601995279933364","-3.186537265119362","-1.5672713873972932","-2.392494778746579","-4.517467856599101","-1.272294719149277","-1.8665390913144662","-2.7458426207291815","-1.3245613646632772","-4.108115227964803","-6.2502676111187485","-2.5232131649003504","-3.908431718030303","-6.165788375717094","-2.756845247694885","-2.597816538199801","-4.066335026455389","-1.8242265196919951","-2.0512094095768645","-3.315760600620611","-1.207338427441544"
"22000","-3.3389666161006444","-6.432319186986329","-2.216890399407725","-3.388264277583461","-5.022655993179834","-1.9965293624713383","-2.8254562932064604","-3.621516084740827","-1.957071655048757","-2.649621025585246","-4.010507265212141","-1.3578108571095262","-2.335690012505592","-3.3872102572445337","-1.6101486594453107","-3.2616530267057273","-6.825706463672931","-2.5579774983187087","-4.040618995475929","-5.751286546479351","-2.2693586837213795","-2.5476478521182604","-3.9073038442559116","-1.5776072962596488","-2.1360277242220103","-4.057640438944725","-1.3536151599926993"
"22500","-3.4723797515641905","-5.330457265782526","-2.4563129689775622","-3.9680776801567483","-5.5116452967554554","-2.0477385632345433","-3.0240196573083438","-5.677813913739323","-1.0442965721231379","-2.3584747992217627","-3.775413080477498","-1.3255170806926173","-2.3805922068810674","-3.3595797951573814","-1.3718722641211873","-3.83095950239487","-5.93412914648031","-2.5510055681164827","-3.4945241722875773","-4.632990577052405","-2.3691150109776005","-2.8357954817575153","-3.5194224823687845","-1.7641260418996516","-2.0464232532531024","-3.194589617501339","-1.3488871196703696"
"23000","-3.611547269219482","-5.395461651063525","-2.042543972692749","-4.0752251261705315","-5.737920928336791","-2.0393812799761433","-2.776146064428942","-3.6051507111807775","-2.122500124107825","-2.380741470226539","-4.906599946821272","-1.351606622333929","-2.5263080127024353","-3.35088988256456","-1.8007905718985135","-3.8442862627131094","-6.504984795510066","-2.2461451998221014","-4.397147541827378","-6.287132707419805","-2.752509846126658","-2.880184063468844","-4.240308182185229","-1.8642730351784969","-2.16958552960973","-3.3716599564354808","-1.4010421339032475"
"23500","-3.798668569405815","-5.12942213955954","-2.752128073180652","-4.296831947488374","-8.824704331368618","-2.560054426749497","-2.9829615629029638","-3.845558269907804","-2.2352700250660624","-2.184574230628464","-4.438509034739992","-1.1510688904086477","-2.4522814240369293","-3.4292588899738883","-1.5880069229948364","-3.68754631416462","-5.607233761569188","-2.262373610391934","-3.517286709316779","-5.106448992370713","-2.7116173191479667","-2.792456376604897","-4.694141680573502","-1.4992268019894697","-1.8370190002853435","-2.757788841591074","-1.1598664770979765"
"24000","-2.906638070658828","-3.9242270925736156","-1.9858981105929367","-4.30897011531083","-9.890992490355343","-2.481735077236515","-2.7735932356883395","-4.1818942691525764","-1.863945147253101","-2.0331166694956755","-3.7905433003346034","-1.2387401170506114","-2.268611146888863","-3.732197678996555","-1.5840537712244647","-3.963342763074529","-7.057249838564646","-1.9826600681439293","-4.037560614721526","-6.206545864139221","-2.0793030555900045","-3.0688101074726983","-5.054687677288356","-1.7231490370679012","-2.3901576578718973","-3.204063910825667","-1.5033394120445596"
"24500","-3.411795979984489","-5.727089369033375","-1.8554296523455587","-3.9506263534927455","-8.054548795564255","-2.018295046922163","-3.08340102327811","-4.213170628850342","-2.16096322694026","-1.9775991141761076","-2.796281672799875","-1.0591515422139817","-1.8530911650522106","-2.7420480661228583","-1.0443145233828988","-3.133807336149183","-4.650544912759122","-2.1171477116605892","-3.932085807873263","-6.664984318213891","-2.1537709224754584","-2.5180870940425324","-3.323147887728343","-1.5508247986853538","-1.807165940229486","-2.885951949564288","-1.162935131292662"
