"Step","Group: EQL_skip_fix - eval/avg_reward","Group: EQL_skip_fix - eval/avg_reward__MIN","Group: EQL_skip_fix - eval/avg_reward__MAX","Group: UTE_skip - eval/avg_reward","Group: UTE_skip - eval/avg_reward__MIN","Group: UTE_skip - eval/avg_reward__MAX","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: EQL_fix - eval/avg_reward","Group: EQL_fix - eval/avg_reward__MIN","Group: EQL_fix - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: EQL_skip - eval/avg_reward","Group: EQL_skip - eval/avg_reward__MIN","Group: EQL_skip - eval/avg_reward__MAX","Group: TempoRL_skip - eval/avg_reward","Group: TempoRL_skip - eval/avg_reward__MIN","Group: TempoRL_skip - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: DDPG - eval/avg_reward","Group: DDPG - eval/avg_reward__MIN","Group: DDPG - eval/avg_reward__MAX"
"3000","-768.957459598143","-1553.5548649339698","-130.50320524769873","-515.8968582385313","-1259.5064898036112","-184.6738021742282","-699.0538509808868","-991.4042343019889","-244.65899035335391","-630.5099998517301","-1045.3506920450982","-294.58688101087284","-760.9920157562199","-1047.2566166970378","-266.41842591407527","-306.42373700830296","-1037.89738722402","-122.27141379442355","-473.84645354870753","-1048.260228740085","-121.20491175497924","-669.7895715299587","-975.3127974643269","-220.16664130343665","-636.4580284736103","-947.5091707485869","-185.25313536203228"
"3300","-493.5517541610041","-1552.3312016757159","-121.93066918989238","-391.6858613607734","-1116.544464478086","-122.6746275525359","-544.9557535405526","-888.8888981920542","-253.26209366267776","-495.8899289171244","-996.9907125591669","-158.7128037844963","-497.3472264552365","-851.6103063133702","-187.66311696612394","-270.9541538176263","-835.0042518610848","-145.3171347189348","-432.8542311107759","-943.2826044175433","-122.06910590385897","-404.71263165150157","-822.3557085385459","-189.17249317565629","-359.38605474535063","-481.08208160881486","-158.99538195403227"
"3600","-486.39603376267905","-1482.504429510429","-122.65677373745874","-277.53926463386614","-517.9914420461566","-120.96036944241538","-290.7165416717704","-582.4261790003544","-157.57307011805207","-393.55342937201374","-929.5945290935078","-207.28921238982244","-406.1400605983818","-1200.5377566499808","-156.59398553069965","-284.6833290841608","-890.6295422741345","-120.86188412109045","-300.32040690678093","-845.4088147134584","-121.59754560296938","-429.26128728666407","-629.5446630433664","-158.89783622965393","-306.7071209312427","-485.44484359855267","-153.74770860909115"
"3900","-330.20329578302005","-1482.504319396123","-121.94355050293923","-282.8669262976534","-772.7192631235345","-122.64178013331033","-275.10977049810606","-454.18946523239583","-149.42152098121304","-207.3160665976321","-373.32342278825587","-126.41505571877697","-225.02494205942554","-403.7925154827821","-132.51909306727393","-239.2627486667439","-638.8998852734021","-120.8513048736002","-212.6777135468064","-481.6535590648873","-123.16331602245614","-296.7943895377657","-638.147150867957","-163.68799634319242","-281.74100020939375","-715.2417790843816","-125.39660068349276"
"4200","-320.8492229896049","-1482.5040786299628","-120.46529844043357","-196.4001392739969","-554.1247112486773","-121.15798808278649","-271.4190473149853","-489.87739204970376","-153.98745370279568","-165.31094262324638","-216.27419261821828","-125.12142746128787","-162.40237785684832","-217.64049312200427","-123.69441921028397","-161.6224518942659","-224.7697944171453","-119.8933580852251","-164.4444549772045","-229.33852988560398","-121.1378226402629","-308.89811569766186","-641.4081939879761","-126.19655105006984","-256.2857040170628","-649.1012951801711","-124.36798200843069"
"4500","-327.1800076299743","-1482.503619549256","-121.20633541544484","-170.37512207641618","-325.1607234351686","-119.40742882357067","-245.09004726489098","-586.0258283074896","-125.96967423616032","-247.2488124037156","-429.9989142127045","-124.55288217713994","-181.73485526864175","-258.7459202177939","-121.61000300122453","-158.7304896434734","-208.73777048236076","-119.24992023439397","-196.1186758957105","-339.24729522729206","-119.37949659815237","-285.22606430940476","-699.5374006679983","-125.21776742236906","-391.67819688976465","-1041.9484363944098","-123.80713483367131"
"4800","-283.5536651116314","-1482.5028493002842","-120.32171446842946","-182.70090850121682","-296.335855705282","-123.81838968599752","-291.5825025069542","-515.8621941796671","-121.13949702714122","-181.69254352952282","-253.9850868795561","-123.15819506262535","-164.71905764010867","-240.24257328031317","-122.44598859680657","-166.7567280658696","-332.380747367515","-119.12010182437125","-217.92045512487093","-436.2275184689694","-119.4777190417287","-332.9352132180908","-613.1652719784004","-122.81877846479945","-195.05720899445404","-368.89590385616685","-122.9593166293187"
"5100","-314.7413753056714","-1482.5004999842324","-120.7633444210419","-168.09251420523998","-273.0519986416781","-118.79563243232542","-231.00223318693983","-543.185905942319","-131.94275676303636","-161.9677918823356","-207.28140861199253","-120.14568999085199","-159.99745939201475","-214.47374414077984","-121.31381718053224","-166.1219776402704","-253.06325198864866","-119.1031681068176","-231.0908600231718","-428.24606304690633","-142.43972073432116","-343.4218215046899","-629.3677914416882","-147.29914407304213","-309.76206763689504","-565.2966724710801","-122.0897727205313"
"5400","-282.2433508748442","-1482.4810446641843","-121.29315577129769","-162.30703659588465","-222.43080224321062","-118.57259137047433","-374.63995076190804","-945.3453918999015","-124.03275083527151","-153.56561698037427","-206.5344902942908","-122.32787935653559","-155.84149889711608","-209.54103418691847","-122.32223421320973","-163.0619607936337","-273.8640926929031","-119.08049146921739","-201.5611744187531","-397.2750899617187","-120.41511783316257","-348.8564016192565","-596.7201486109395","-124.52762938560366","-315.4310120266598","-583.370178944196","-120.28631100882833"
"5700","-280.3353326197547","-1240.0551209955968","-121.63736086639756","-174.54877239367414","-369.961647935891","-119.55872229987548","-262.6449367724652","-558.3511085449405","-126.02778970660111","-181.86761980339878","-313.743518869548","-121.34513791315933","-176.07072992606302","-364.0527713865804","-122.77684084561163","-162.18481494497544","-277.4375425669583","-120.33297510713332","-172.60961532563505","-226.99765363618675","-120.67137503901247","-346.58184868382085","-688.5991359424386","-173.04076429704878","-230.1976392981268","-589.5500252584923","-121.93176060727758"
