"Step","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_9 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_9 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_9 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_8 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_8 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_8 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_7 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_7 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_7 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_6 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_6 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_6 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_5 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_5 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_5 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_4 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_4 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_4 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_3 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_3 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_3 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_2 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_2 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_2 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_19 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_19 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_19 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_18 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_18 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_18 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_17 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_17 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_17 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_16 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_16 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_16 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_15 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_15 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_15 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_14 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_14 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_14 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_13 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_13 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_13 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_12 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_12 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_12 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_11 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_11 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_11 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_10 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_10 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_10 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_1 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_1 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_1 - eval/avg_reward__MAX","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_0 - eval/avg_reward","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_0 - eval/avg_reward__MIN","DDPG_TAAC_PointMaze_Medium_Diverse_GRDense-v3_0 - eval/avg_reward__MAX"
"0","4.938151016809771","4.938151016809771","4.938151016809771","9.084713904319825","9.084713904319825","9.084713904319825","18.785975045999372","18.785975045999372","18.785975045999372","7.535050206658755","7.535050206658755","7.535050206658755","7.243395679286891","7.243395679286891","7.243395679286891","5.9628091257449185","5.9628091257449185","5.9628091257449185","21.38747220571556","21.38747220571556","21.38747220571556","12.21355352016006","12.21355352016006","12.21355352016006","9.425568127040249","9.425568127040249","9.425568127040249","3.368670490361376","3.368670490361376","3.368670490361376","5.165545462803255","5.165545462803255","5.165545462803255","3.1546905844533706","3.1546905844533706","3.1546905844533706","6.296806118447182","6.296806118447182","6.296806118447182","11.149856607030959","11.149856607030959","11.149856607030959","3.5024425738655345","3.5024425738655345","3.5024425738655345","16.644479170549424","16.644479170549424","16.644479170549424","6.642012452894012","6.642012452894012","6.642012452894012","18.536755399855753","18.536755399855753","18.536755399855753","2.7122393857708196","2.7122393857708196","2.7122393857708196","50.5481708818198","50.5481708818198","50.5481708818198"
"4000","33.137376827914366","33.137376827914366","33.137376827914366","81.14598860451876","81.14598860451876","81.14598860451876","31.853246656479335","31.853246656479335","31.853246656479335","1.9240306774454923","1.9240306774454923","1.9240306774454923","5.290517849871572","5.290517849871572","5.290517849871572","7.5395185443578585","7.5395185443578585","7.5395185443578585","8.50057120689054","8.50057120689054","8.50057120689054","12.964339449977775","12.964339449977775","12.964339449977775","7.06726150174219","7.06726150174219","7.06726150174219","22.38244117354919","22.38244117354919","22.38244117354919","5.606155498847168","5.606155498847168","5.606155498847168","1.3072039452794733","1.3072039452794733","1.3072039452794733","6.5383190258888275","6.5383190258888275","6.5383190258888275","4.359662833015872","4.359662833015872","4.359662833015872","2.1563752282921747","2.1563752282921747","2.1563752282921747","8.381810874661033","8.381810874661033","8.381810874661033","55.840803941904184","55.840803941904184","55.840803941904184","18.9103548951932","18.9103548951932","18.9103548951932","2.721582058782047","2.721582058782047","2.721582058782047","23.892054433073046","23.892054433073046","23.892054433073046"
"8000","5.2786025808533195","5.2786025808533195","5.2786025808533195","30.461514946957145","30.461514946957145","30.461514946957145","31.78870666321611","31.78870666321611","31.78870666321611","1.6978677447770694","1.6978677447770694","1.6978677447770694","5.4270108905154215","5.4270108905154215","5.4270108905154215","10.054072095167555","10.054072095167555","10.054072095167555","9.040245856703283","9.040245856703283","9.040245856703283","31.842829155440786","31.842829155440786","31.842829155440786","17.46044413915498","17.46044413915498","17.46044413915498","5.085390813342635","5.085390813342635","5.085390813342635","4.3570078319852685","4.3570078319852685","4.3570078319852685","2.5472457568261224","2.5472457568261224","2.5472457568261224","18.285897902408006","18.285897902408006","18.285897902408006","5.42159255133244","5.42159255133244","5.42159255133244","28.865575632954524","28.865575632954524","28.865575632954524","39.35244385673674","39.35244385673674","39.35244385673674","13.861074544703309","13.861074544703309","13.861074544703309","6.54852179842444","6.54852179842444","6.54852179842444","9.3163366442943","9.3163366442943","9.3163366442943","93.21606591893517","93.21606591893517","93.21606591893517"
"12000","9.971781723730267","9.971781723730267","9.971781723730267","30.461564580645756","30.461564580645756","30.461564580645756","29.697365596625286","29.697365596625286","29.697365596625286","27.137344349733773","27.137344349733773","27.137344349733773","5.426852968888717","5.426852968888717","5.426852968888717","14.427153520356507","14.427153520356507","14.427153520356507","29.693234514784574","29.693234514784574","29.693234514784574","43.702119573607774","43.702119573607774","43.702119573607774","17.83687646314668","17.83687646314668","17.83687646314668","10.040092937039924","10.040092937039924","10.040092937039924","4.358572715546503","4.358572715546503","4.358572715546503","3.435362321354583","3.435362321354583","3.435362321354583","13.868975466089768","13.868975466089768","13.868975466089768","5.107685085091822","5.107685085091822","5.107685085091822","28.865562982416225","28.865562982416225","28.865562982416225","20.720935661568873","20.720935661568873","20.720935661568873","38.336711153552045","38.336711153552045","38.336711153552045","37.70330510058692","37.70330510058692","37.70330510058692","55.921585668624424","55.921585668624424","55.921585668624424","48.293478125430866","48.293478125430866","48.293478125430866"
"16000","8.737393661343818","8.737393661343818","8.737393661343818","33.965696472065304","33.965696472065304","33.965696472065304","31.871228291931835","31.871228291931835","31.871228291931835","32.33561164766461","32.33561164766461","32.33561164766461","8.0666704600045","8.0666704600045","8.0666704600045","14.083753236549763","14.083753236549763","14.083753236549763","13.095673383244812","13.095673383244812","13.095673383244812","111.1006773743585","111.1006773743585","111.1006773743585","36.647370311667224","36.647370311667224","36.647370311667224","22.792213928040436","22.792213928040436","22.792213928040436","4.3572877432286745","4.3572877432286745","4.3572877432286745","20.383808023646026","20.383808023646026","20.383808023646026","18.981743216528066","18.981743216528066","18.981743216528066","9.845464134769875","9.845464134769875","9.845464134769875","28.86557778129931","28.86557778129931","28.86557778129931","20.670740249942675","20.670740249942675","20.670740249942675","52.49613152510435","52.49613152510435","52.49613152510435","11.153493866715783","11.153493866715783","11.153493866715783","55.78272408444805","55.78272408444805","55.78272408444805","56.97915753367187","56.97915753367187","56.97915753367187"
"20000","19.273495043520462","19.273495043520462","19.273495043520462","72.15188838297988","72.15188838297988","72.15188838297988","31.866395843057838","31.866395843057838","31.866395843057838","36.06477311195819","36.06477311195819","36.06477311195819","8.066354209273527","8.066354209273527","8.066354209273527","25.913712916840076","25.913712916840076","25.913712916840076","74.42663548565955","74.42663548565955","74.42663548565955","102.28269491389514","102.28269491389514","102.28269491389514","32.224648210421975","32.224648210421975","32.224648210421975","28.225616628002445","28.225616628002445","28.225616628002445","4.371189785415636","4.371189785415636","4.371189785415636","61.911724648835275","61.911724648835275","61.911724648835275","51.09595452779243","51.09595452779243","51.09595452779243","11.964455225030667","11.964455225030667","11.964455225030667","28.86557797284569","28.86557797284569","28.86557797284569","40.64746522624276","40.64746522624276","40.64746522624276","63.6502778400486","63.6502778400486","63.6502778400486","9.357021319018054","9.357021319018054","9.357021319018054","61.90291037506879","61.90291037506879","61.90291037506879","25.984130903363308","25.984130903363308","25.984130903363308"
"24000","14.331117225517584","14.331117225517584","14.331117225517584","72.34845952268445","72.34845952268445","72.34845952268445","32.04153687580221","32.04153687580221","32.04153687580221","36.198964741576546","36.198964741576546","36.198964741576546","7.811792141878845","7.811792141878845","7.811792141878845","18.893578469563277","18.893578469563277","18.893578469563277","70.70374555188793","70.70374555188793","70.70374555188793","85.63966310683614","85.63966310683614","85.63966310683614","53.1934167533697","53.1934167533697","53.1934167533697","46.426406514293305","46.426406514293305","46.426406514293305","4.509521302677402","4.509521302677402","4.509521302677402","36.540807446431","36.540807446431","36.540807446431","48.36041971441591","48.36041971441591","48.36041971441591","11.38913226555745","11.38913226555745","11.38913226555745","29.6724996951989","29.6724996951989","29.6724996951989","51.0423190815463","51.0423190815463","51.0423190815463","63.39168567211773","63.39168567211773","63.39168567211773","9.780745735865883","9.780745735865883","9.780745735865883","78.36367761201504","78.36367761201504","78.36367761201504","31.53098130743581","31.53098130743581","31.53098130743581"
"28000","74.47179629497805","74.47179629497805","74.47179629497805","67.38738214262693","67.38738214262693","67.38738214262693","31.87735112658454","31.87735112658454","31.87735112658454","33.39957668840441","33.39957668840441","33.39957668840441","8.98625609193359","8.98625609193359","8.98625609193359","29.975761448137526","29.975761448137526","29.975761448137526","72.22656865512772","72.22656865512772","72.22656865512772","104.9166855556751","104.9166855556751","104.9166855556751","66.22558385737507","66.22558385737507","66.22558385737507","29.487025198621787","29.487025198621787","29.487025198621787","5.491133133139322","5.491133133139322","5.491133133139322","2.3369256765619633","2.3369256765619633","2.3369256765619633","34.61486431411623","34.61486431411623","34.61486431411623","11.012930139072143","11.012930139072143","11.012930139072143","35.68217603561177","35.68217603561177","35.68217603561177","40.51961466002046","40.51961466002046","40.51961466002046","171.63104982848546","171.63104982848546","171.63104982848546","7.938362616149925","7.938362616149925","7.938362616149925","183.55180697634316","183.55180697634316","183.55180697634316","34.276034222168505","34.276034222168505","34.276034222168505"
"32000","80.96914652541406","80.96914652541406","80.96914652541406","44.887635024437735","44.887635024437735","44.887635024437735","31.881487992443887","31.881487992443887","31.881487992443887","34.41526772604156","34.41526772604156","34.41526772604156","23.22568524586438","23.22568524586438","23.22568524586438","37.77598787601566","37.77598787601566","37.77598787601566","67.5993691050996","67.5993691050996","67.5993691050996","116.24551873741648","116.24551873741648","116.24551873741648","65.5587501845047","65.5587501845047","65.5587501845047","20.686879348358453","20.686879348358453","20.686879348358453","116.88156440774196","116.88156440774196","116.88156440774196","21.809067110042697","21.809067110042697","21.809067110042697","42.741974259111736","42.741974259111736","42.741974259111736","26.235139533693633","26.235139533693633","26.235139533693633","35.55989669021367","35.55989669021367","35.55989669021367","55.374897919720844","55.374897919720844","55.374897919720844","178.9707032162702","178.9707032162702","178.9707032162702","9.144592429114434","9.144592429114434","9.144592429114434","140.66863980715797","140.66863980715797","140.66863980715797","24.042623616199016","24.042623616199016","24.042623616199016"
"36000","111.212667636026","111.212667636026","111.212667636026","62.8766307884874","62.8766307884874","62.8766307884874","34.55804766739085","34.55804766739085","34.55804766739085","24.38932741248818","24.38932741248818","24.38932741248818","57.95112065674414","57.95112065674414","57.95112065674414","10.950078293954652","10.950078293954652","10.950078293954652","70.9877262594849","70.9877262594849","70.9877262594849","114.0306142727195","114.0306142727195","114.0306142727195","72.53971624896958","72.53971624896958","72.53971624896958","59.85564661340211","59.85564661340211","59.85564661340211","75.68284187483805","75.68284187483805","75.68284187483805","42.23986511223151","42.23986511223151","42.23986511223151","30.067924573802344","30.067924573802344","30.067924573802344","30.717102431236913","30.717102431236913","30.717102431236913","29.1918752951262","29.1918752951262","29.1918752951262","66.57744360580205","66.57744360580205","66.57744360580205","166.87288141948792","166.87288141948792","166.87288141948792","25.87567556036233","25.87567556036233","25.87567556036233","139.80910780347057","139.80910780347057","139.80910780347057","31.448847211607887","31.448847211607887","31.448847211607887"
