"Step","DQN_UTE_ZigZag_19 - eval/avg_reward","DQN_UTE_ZigZag_19 - eval/avg_reward__MIN","DQN_UTE_ZigZag_19 - eval/avg_reward__MAX","DQN_UTE_ZigZag_18 - eval/avg_reward","DQN_UTE_ZigZag_18 - eval/avg_reward__MIN","DQN_UTE_ZigZag_18 - eval/avg_reward__MAX","DQN_UTE_ZigZag_17 - eval/avg_reward","DQN_UTE_ZigZag_17 - eval/avg_reward__MIN","DQN_UTE_ZigZag_17 - eval/avg_reward__MAX","DQN_UTE_ZigZag_16 - eval/avg_reward","DQN_UTE_ZigZag_16 - eval/avg_reward__MIN","DQN_UTE_ZigZag_16 - eval/avg_reward__MAX","DQN_UTE_ZigZag_15 - eval/avg_reward","DQN_UTE_ZigZag_15 - eval/avg_reward__MIN","DQN_UTE_ZigZag_15 - eval/avg_reward__MAX","DQN_UTE_ZigZag_14 - eval/avg_reward","DQN_UTE_ZigZag_14 - eval/avg_reward__MIN","DQN_UTE_ZigZag_14 - eval/avg_reward__MAX","DQN_UTE_ZigZag_13 - eval/avg_reward","DQN_UTE_ZigZag_13 - eval/avg_reward__MIN","DQN_UTE_ZigZag_13 - eval/avg_reward__MAX","DQN_UTE_ZigZag_12 - eval/avg_reward","DQN_UTE_ZigZag_12 - eval/avg_reward__MIN","DQN_UTE_ZigZag_12 - eval/avg_reward__MAX","DQN_UTE_ZigZag_11 - eval/avg_reward","DQN_UTE_ZigZag_11 - eval/avg_reward__MIN","DQN_UTE_ZigZag_11 - eval/avg_reward__MAX","DQN_UTE_ZigZag_10 - eval/avg_reward","DQN_UTE_ZigZag_10 - eval/avg_reward__MIN","DQN_UTE_ZigZag_10 - eval/avg_reward__MAX","DQN_UTE_ZigZag_9 - eval/avg_reward","DQN_UTE_ZigZag_9 - eval/avg_reward__MIN","DQN_UTE_ZigZag_9 - eval/avg_reward__MAX","DQN_UTE_ZigZag_8 - eval/avg_reward","DQN_UTE_ZigZag_8 - eval/avg_reward__MIN","DQN_UTE_ZigZag_8 - eval/avg_reward__MAX","DQN_UTE_ZigZag_7 - eval/avg_reward","DQN_UTE_ZigZag_7 - eval/avg_reward__MIN","DQN_UTE_ZigZag_7 - eval/avg_reward__MAX","DQN_UTE_ZigZag_6 - eval/avg_reward","DQN_UTE_ZigZag_6 - eval/avg_reward__MIN","DQN_UTE_ZigZag_6 - eval/avg_reward__MAX","DQN_UTE_ZigZag_5 - eval/avg_reward","DQN_UTE_ZigZag_5 - eval/avg_reward__MIN","DQN_UTE_ZigZag_5 - eval/avg_reward__MAX","DQN_UTE_ZigZag_4 - eval/avg_reward","DQN_UTE_ZigZag_4 - eval/avg_reward__MIN","DQN_UTE_ZigZag_4 - eval/avg_reward__MAX","DQN_UTE_ZigZag_3 - eval/avg_reward","DQN_UTE_ZigZag_3 - eval/avg_reward__MIN","DQN_UTE_ZigZag_3 - eval/avg_reward__MAX","DQN_UTE_ZigZag_2 - eval/avg_reward","DQN_UTE_ZigZag_2 - eval/avg_reward__MIN","DQN_UTE_ZigZag_2 - eval/avg_reward__MAX","DQN_UTE_ZigZag_1 - eval/avg_reward","DQN_UTE_ZigZag_1 - eval/avg_reward__MIN","DQN_UTE_ZigZag_1 - eval/avg_reward__MAX","DQN_UTE_ZigZag_0 - eval/avg_reward","DQN_UTE_ZigZag_0 - eval/avg_reward__MIN","DQN_UTE_ZigZag_0 - eval/avg_reward__MAX"
"3000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3300","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3600","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3900","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"4200","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"4500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"4800","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"5100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-114","-114","-114","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"5400","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"5700","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6000","-100","-100","-100","-20","-20","-20","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6300","-111","-111","-111","-20","-20","-20","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-20","-20","-20","-100","-100","-100","-113","-113","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6600","-111","-111","-111","-20","-20","-20","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-118","-118","-118","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6900","-111","-111","-111","-20","-20","-20","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-119","-119","-119","-100","-100","-100","-20","-20","-20","-100","-100","-100","-113","-113","-113","-100","-100","-100","-112","-112","-112","-114","-114","-114"
"7200","-111","-111","-111","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-115","-115","-115","-20","-20","-20","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-118","-118","-118","-100","-100","-100","-111","-111","-111","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-114","-114","-114"
"7500","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-115","-115","-115","-20","-20","-20","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-116","-116","-116","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100"
"7800","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-115","-115","-115","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-20","-20","-20","-117","-117","-117","-100","-100","-100","-114","-114","-114","-20","-20","-20","-114","-114","-114"
"8100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-115","-115","-115","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-113","-113","-113","-20","-20","-20","-115","-115","-115","-100","-100","-100","-114","-114","-114","-20","-20","-20","-20","-20","-20"
"8400","-22","-22","-22","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-115","-115","-115","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-100","-100","-100","-114","-114","-114","-20","-20","-20","-20","-20","-20"
"8700","-22","-22","-22","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-115","-115","-115","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-114","-114","-114","-20","-20","-20","-20","-20","-20"
"9000","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-100","-100","-100","-115","-115","-115","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20"
"9300","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-100","-100","-100","-115","-115","-115","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-113","-113","-113","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20"
"9600","-22","-22","-22","-22","-22","-22","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-113","-113","-113","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20"
"9900","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-113","-113","-113","-119","-119","-119","-100","-100","-100","-21","-21","-21","-20","-20","-20"
