"Step","DQN_EQL_CliffWalking_100 - eval/avg_reward","DQN_EQL_CliffWalking_100 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_100 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_90 - eval/avg_reward","DQN_EQL_CliffWalking_90 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_90 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_80 - eval/avg_reward","DQN_EQL_CliffWalking_80 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_80 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_70 - eval/avg_reward","DQN_EQL_CliffWalking_70 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_70 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_60 - eval/avg_reward","DQN_EQL_CliffWalking_60 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_60 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_50 - eval/avg_reward","DQN_EQL_CliffWalking_50 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_50 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_40 - eval/avg_reward","DQN_EQL_CliffWalking_40 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_40 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_30 - eval/avg_reward","DQN_EQL_CliffWalking_30 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_30 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_20 - eval/avg_reward","DQN_EQL_CliffWalking_20 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_20 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_10 - eval/avg_reward","DQN_EQL_CliffWalking_10 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_10 - eval/avg_reward__MAX"
"5000","-16","-16","-16","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-16","-16","-16","-13","-13","-13","-13","-13","-13"
"5500","-16","-16","-16","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"6000","-16","-16","-16","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100"
"6500","-15","-15","-15","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-15","-15","-15","-15","-15","-15","-13","-13","-13","-13","-13","-13","-100","-100","-100"
"7000","-13","-13","-13","-100","-100","-100","-19","-19","-19","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100"
"7500","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100"
"8000","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"8500","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"9000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"9500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"10000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"10500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"11000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"11500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"12000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"12500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"13000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"13500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"14000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"14500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
