"Step","DQN_EQL_CliffWalking_19 - eval/avg_reward","DQN_EQL_CliffWalking_19 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_19 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_18 - eval/avg_reward","DQN_EQL_CliffWalking_18 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_18 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_17 - eval/avg_reward","DQN_EQL_CliffWalking_17 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_17 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_16 - eval/avg_reward","DQN_EQL_CliffWalking_16 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_16 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_15 - eval/avg_reward","DQN_EQL_CliffWalking_15 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_15 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_14 - eval/avg_reward","DQN_EQL_CliffWalking_14 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_14 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_13 - eval/avg_reward","DQN_EQL_CliffWalking_13 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_13 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_12 - eval/avg_reward","DQN_EQL_CliffWalking_12 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_12 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_11 - eval/avg_reward","DQN_EQL_CliffWalking_11 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_11 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_10 - eval/avg_reward","DQN_EQL_CliffWalking_10 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_10 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_9 - eval/avg_reward","DQN_EQL_CliffWalking_9 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_9 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_8 - eval/avg_reward","DQN_EQL_CliffWalking_8 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_8 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_7 - eval/avg_reward","DQN_EQL_CliffWalking_7 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_7 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_6 - eval/avg_reward","DQN_EQL_CliffWalking_6 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_6 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_5 - eval/avg_reward","DQN_EQL_CliffWalking_5 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_5 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_4 - eval/avg_reward","DQN_EQL_CliffWalking_4 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_4 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_3 - eval/avg_reward","DQN_EQL_CliffWalking_3 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_3 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_2 - eval/avg_reward","DQN_EQL_CliffWalking_2 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_2 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_1 - eval/avg_reward","DQN_EQL_CliffWalking_1 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_1 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_0 - eval/avg_reward","DQN_EQL_CliffWalking_0 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_0 - eval/avg_reward__MAX"
"3000","-15","-15","-15","-13","-13","-13","-100","-100","-100","-109","-109","-109","-13","-13","-13","-14","-14","-14","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-15","-15","-15","-15","-15","-15","-16","-16","-16","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-17","-17","-17","-100","-100","-100","-100","-100","-100"
"3300","-15","-15","-15","-17","-17","-17","-100","-100","-100","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-100","-100","-100","-13","-13","-13","-100","-100","-100","-16","-16","-16","-17","-17","-17","-100","-100","-100","-100","-100","-100","-13","-13","-13","-15","-15","-15","-15","-15","-15","-100","-100","-100","-29","-29","-29"
"3600","-15","-15","-15","-14","-14","-14","-15","-15","-15","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-15","-15","-15","-13","-13","-13","-13","-13","-13","-15","-15","-15","-17","-17","-17","-15","-15","-15","-100","-100","-100","-13","-13","-13","-13","-13","-13","-14","-14","-14","-100","-100","-100","-19","-19","-19"
"3900","-15","-15","-15","-18","-18","-18","-15","-15","-15","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-15","-15","-15","-13","-13","-13","-13","-13","-13","-18","-18","-18","-17","-17","-17","-15","-15","-15","-100","-100","-100","-13","-13","-13","-14","-14","-14","-14","-14","-14","-100","-100","-100","-20","-20","-20"
"4200","-15","-15","-15","-18","-18","-18","-18","-18","-18","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-19","-19","-19","-15","-15","-15","-13","-13","-13","-13","-13","-13","-17","-17","-17","-15","-15","-15","-15","-15","-15","-18","-18","-18","-13","-13","-13","-15","-15","-15","-14","-14","-14","-13","-13","-13","-17","-17","-17"
"4500","-15","-15","-15","-14","-14","-14","-18","-18","-18","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-18","-18","-18","-14","-14","-14","-13","-13","-13","-13","-13","-13","-15","-15","-15","-18","-18","-18","-15","-15","-15","-16","-16","-16","-14","-14","-14","-13","-13","-13","-14","-14","-14","-13","-13","-13","-16","-16","-16"
"4800","-15","-15","-15","-18","-18","-18","-15","-15","-15","-14","-14","-14","-13","-13","-13","-14","-14","-14","-13","-13","-13","-15","-15","-15","-14","-14","-14","-14","-14","-14","-13","-13","-13","-13","-13","-13","-18","-18","-18","-15","-15","-15","-16","-16","-16","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15"
"5100","-15","-15","-15","-15","-15","-15","-15","-15","-15","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-16","-16","-16","-15","-15","-15","-16","-16","-16","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-15","-15","-15"
"5400","-15","-15","-15","-15","-15","-15","-15","-15","-15","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-17","-17","-17","-15","-15","-15","-16","-16","-16","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-16","-16","-16"
"5700","-15","-15","-15","-17","-17","-17","-15","-15","-15","-14","-14","-14","-13","-13","-13","-14","-14","-14","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-16","-16","-16","-16","-16","-16","-15","-15","-15","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15"
