"Step","DQN_TempoRL_CliffWalking_100 - eval/avg_reward","DQN_TempoRL_CliffWalking_100 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_100 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_90 - eval/avg_reward","DQN_TempoRL_CliffWalking_90 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_90 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_80 - eval/avg_reward","DQN_TempoRL_CliffWalking_80 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_80 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_70 - eval/avg_reward","DQN_TempoRL_CliffWalking_70 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_70 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_60 - eval/avg_reward","DQN_TempoRL_CliffWalking_60 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_60 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_50 - eval/avg_reward","DQN_TempoRL_CliffWalking_50 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_50 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_40 - eval/avg_reward","DQN_TempoRL_CliffWalking_40 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_40 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_30 - eval/avg_reward","DQN_TempoRL_CliffWalking_30 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_30 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_20 - eval/avg_reward","DQN_TempoRL_CliffWalking_20 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_20 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_10 - eval/avg_reward","DQN_TempoRL_CliffWalking_10 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_10 - eval/avg_reward__MAX"
"5000","-17","-17","-17","-15","-15","-15","-16","-16","-16","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-16","-16","-16","-14","-14","-14"
"5500","-17","-17","-17","-19","-19","-19","-14","-14","-14","-16","-16","-16","-13","-13","-13","-16","-16","-16","-13","-13","-13","-14","-14","-14","-16","-16","-16","-13","-13","-13"
"6000","-18","-18","-18","-16","-16","-16","-15","-15","-15","-17","-17","-17","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-15","-15","-15","-13","-13","-13"
"6500","-17","-17","-17","-20","-20","-20","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13"
"7000","-17","-17","-17","-20","-20","-20","-13","-13","-13","-16","-16","-16","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-14","-14","-14"
"7500","-17","-17","-17","-13","-13","-13","-13","-13","-13","-16","-16","-16","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-16","-16","-16","-14","-14","-14"
"8000","-17","-17","-17","-13","-13","-13","-13","-13","-13","-16","-16","-16","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-15","-15","-15","-13","-13","-13"
"8500","-19","-19","-19","-16","-16","-16","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-14","-14","-14"
"9000","-15","-15","-15","-16","-16","-16","-13","-13","-13","-17","-17","-17","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-14","-14","-14","-14","-14","-14"
"9500","-15","-15","-15","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
