"Step","Group: EQL_geo02 - eval/average_reward","Group: EQL_geo02 - eval/average_reward__MIN","Group: EQL_geo02 - eval/average_reward__MAX","Group: UTE_2 - eval/average_reward","Group: UTE_2 - eval/average_reward__MIN","Group: UTE_2 - eval/average_reward__MAX","Group: UTE_-2 - eval/average_reward","Group: UTE_-2 - eval/average_reward__MIN","Group: UTE_-2 - eval/average_reward__MAX","Group: EQL_geo05 - eval/average_reward","Group: EQL_geo05 - eval/average_reward__MIN","Group: EQL_geo05 - eval/average_reward__MAX","Group: EQL_uniform - eval/average_reward","Group: EQL_uniform - eval/average_reward__MIN","Group: EQL_uniform - eval/average_reward__MAX","Group: EQL_geo03 - eval/average_reward","Group: EQL_geo03 - eval/average_reward__MIN","Group: EQL_geo03 - eval/average_reward__MAX","Group: TempoRL - eval/average_reward","Group: TempoRL - eval/average_reward__MIN","Group: TempoRL - eval/average_reward__MAX","Group: DDPG - eval/average_reward","Group: DDPG - eval/average_reward__MIN","Group: DDPG - eval/average_reward__MAX"
"0","16.8185678667735","6.753484346693109","24.62507299158144","19.35737484210258","6.760174096965558","37.48817675475632","17.8256491927296","6.743299918724837","24.522761606719694","16.8185678667735","6.753484346693109","24.62507299158144","16.8185678667735","6.753484346693109","24.62507299158144","16.8185678667735","6.753484346693109","24.62507299158144","16.8185678667735","6.753484346693109","24.62507299158144","18.94132587142263","6.750432184174488","30.4648473799717"
"5000","13.726577995557466","2.8170254788155145","44.97798423389255","20.955402210738278","3.5928250558481745","48.10822542059235","20.80552700931501","4.854319382489772","48.78099764129829","20.029638040742007","2.715323814904923","40.13126947115135","15.286635368393267","3.3807120929106693","29.422880271739974","16.60990763909662","3.6307206546292363","42.64054343605102","19.51584736117647","2.2849110051722143","44.79129582982277","20.019236061487334","6.218088457595535","43.67342474131632"
"10000","13.697769143398366","5.014741403048008","42.51339465874205","23.459453478672703","4.250354253102268","70.09627400828782","17.038462362501527","2.9289027831800674","42.64054370386184","12.054976265180924","3.31309903477558","29.474193190914455","18.003232752792872","4.55791997701514","43.410569010086505","19.08516763136793","5.111161016438887","43.479073268393975","14.921599963549843","2.5196527775458515","29.422880273346998","20.86754437545732","6.317036658181206","43.66274119000132"
"15000","13.888248153062488","5.809536083468443","26.013215450231506","31.97317371918816","7.292264957737996","95.20204356783788","19.641641675942076","4.563274803219476","42.640543453871864","18.567517820504797","2.4819707437960803","55.04405120525985","23.259476874783136","11.410697644276818","47.30144395801064","26.79726386944791","7.3588310633839615","66.21728487986766","24.912376900167562","8.647156519781769","49.28084788841023","27.969104134200553","2.2548847753647348","60.59822391267242"
"20000","21.989248233274594","5.724301711596032","84.37363263825392","29.31269668594585","10.705950973574843","77.45831088858893","27.058410918880202","10.794175264814841","42.64056963828358","23.747428414306246","11.279195331806871","54.67631272022262","33.57425394312101","16.573308973440128","71.02635707428608","27.56816197446729","7.974468293127261","73.77210466136697","25.48756930982213","9.81766215718766","51.84211690799206","21.835226296007328","2.470562327010354","43.66274125774207"
"25000","20.57828478749837","5.570945368324924","58.10734129327509","38.51350286523971","10.342815169744718","67.39860998911827","31.135451333559843","14.62598036483151","44.35600543221862","35.42763798552072","7.132517289077453","85.11578695636575","40.022715747408554","14.196544475642579","62.82547843396261","26.675772319676764","7.544375560844817","70.90590661505858","30.945908904081346","14.174474043571248","54.80534485543376","25.53223935617025","8.126667262540758","43.662741257832145"
"30000","24.637101003977236","8.64276995687516","43.720273896418895","45.55666749551056","6.998131127935828","84.87461230221194","32.70408677987007","14.578422028055167","45.150554862993985","34.84040197447257","16.549984203530542","52.84021697510631","54.10024781827466","28.29375983159715","134.5592189669282","31.922720285820116","7.725873127452121","88.57426015361628","34.867118387853104","21.054529156528027","57.78390140689297","33.45691519374338","9.024100535694604","73.80305169593848"
"35000","29.637946309709445","6.796919095750302","60.8131571180845","52.75589434129222","10.541433069172337","108.27404971452661","31.974821797386927","15.292486372893455","49.074374748874106","35.77882690495526","9.91806196962976","69.904496864202","60.17734310003118","29.422880271739974","113.5653468266016","36.407061491525724","7.883091981122464","82.53697821590828","36.37529085061386","20.005467278304145","73.1196282131987","33.746706108802286","9.024100535694604","68.62742865768408"
"40000","39.26413264823261","7.6514326557510035","69.05903374137449","59.01926517383015","9.550357056591915","123.23645615501282","40.35099306451194","16.20000937025692","79.03156815872376","37.498504288911974","7.190060463767223","82.98119765425825","64.95438213083148","19.16260959479207","114.0925547833101","46.727598741149315","8.674153177784543","92.19747703385087","45.50040519095642","26.26801889912506","85.60614903301804","33.41344207839903","9.024100535694604","63.68130004158776"
"45000","44.245892300086894","8.064557038235662","90.59712197468669","58.059226292283185","25.352873341082084","123.04628197012175","42.15636192468327","23.992934081441625","71.62210103587049","44.59498877304334","13.77739859148554","75.51037692313281","62.55445219157828","29.422880271739974","109.24902679846966","40.61986427919617","9.51764359186441","93.77763041069736","44.03031388028297","24.150220027971844","86.56351428175232","38.50078025956274","9.024100535694604","90.24411453376594"
