"Step","Group: UTE_2 - eval/average_reward","Group: UTE_2 - eval/average_reward__MIN","Group: UTE_2 - eval/average_reward__MAX","Group: UTE_-2 - eval/average_reward","Group: UTE_-2 - eval/average_reward__MIN","Group: UTE_-2 - eval/average_reward__MAX","Group: EQL_uniform - eval/average_reward","Group: EQL_uniform - eval/average_reward__MIN","Group: EQL_uniform - eval/average_reward__MAX","Group: EQL_geo03 - eval/average_reward","Group: EQL_geo03 - eval/average_reward__MIN","Group: EQL_geo03 - eval/average_reward__MAX","Group: TempoRL - eval/average_reward","Group: TempoRL - eval/average_reward__MIN","Group: TempoRL - eval/average_reward__MAX","Group: DDPG - eval/average_reward","Group: DDPG - eval/average_reward__MIN","Group: DDPG - eval/average_reward__MAX"
"21900","-319.9582248644819","-532.7551933659377","-135.72540829928775","-187.51721567722748","-323.0634320996228","-127.67116245084503","-155.56320124967002","-196.65405194228464","-118.6337029709014","-158.9750727789946","-198.23611103774388","-121.64456672016907","-228.93751777775464","-389.17658300745325","-125.61872622338328","-163.37894650238553","-262.76417089318676","-125.61737977626767"
"22200","-352.7492321336616","-558.8860005083382","-150.37803828749867","-180.39920993071973","-273.78869219241585","-118.91092100589768","-228.85800778738957","-862.7703157911137","-118.90534092839334","-162.57505371172857","-195.79463208879898","-122.41204725939902","-220.0134818562495","-347.68570351631996","-141.74405062114528","-154.06732375645257","-198.78338946582375","-123.82733047142831"
"22500","-391.87686175141033","-543.6137707911336","-218.12761891662845","-192.99097959951553","-356.04023108613194","-138.50836792574333","-156.51999867367607","-195.50983737688586","-123.02819918447126","-166.10741869159057","-232.59641205493548","-126.24917876995721","-302.6106286059578","-509.8778104948231","-164.4873596134211","-154.37795589047764","-197.6776760836338","-121.04669616882154"
"22800","-342.97456471781794","-580.2082832969385","-163.45972928600014","-167.31249940980953","-242.38156861706906","-136.5034416218846","-157.33860841888753","-197.06414342992542","-119.42440114218729","-158.39074586347118","-213.09520332560123","-122.35849784902742","-301.21371395671366","-550.6452833179308","-135.45460190137524","-155.01284204563657","-198.05809839165585","-123.22800196777976"
"23100","-481.26324675323406","-674.8145823075608","-320.1927068376375","-195.98340607721724","-347.55685755602883","-122.9769120924793","-157.74608359169105","-199.15543832172744","-119.48331970381635","-156.31369741862437","-210.2978179450272","-121.80838249260819","-302.5830292830707","-518.9857553837429","-139.62411935090694","-194.2260357764819","-494.25727273052155","-125.73380968971306"
"23400","-304.57488128129734","-485.69136591293244","-147.08404555873247","-249.77035924741594","-534.4268976238338","-120.2041178888957","-162.24605365257386","-208.36347031134565","-119.29558711660188","-153.8433194224117","-207.80175258217406","-122.10713793046962","-274.08719259682795","-400.0664303318539","-134.0943522150086","-155.23638774525708","-204.6549516583601","-126.35818520322941"
"23700","-390.9541005896354","-646.4014837444288","-194.0540016102665","-240.0094186221682","-451.0200531046445","-123.48722390754351","-160.33688309260032","-199.22171622574044","-123.37502919119613","-159.599329213541","-216.79010066642232","-123.62338884788043","-306.9125125400094","-494.73996455374737","-174.15243930337004","-153.33287162395897","-198.14951629276993","-124.97081706668617"
"24000","-405.4033620400222","-605.2121878363276","-119.36011398731867","-212.4102866663947","-491.93765442317107","-123.2018879781225","-158.61608795660786","-205.82408308185785","-118.78313287401593","-160.52779101309682","-219.72414516979362","-123.90590872712967","-272.7830816587887","-419.0218604737153","-123.7826839135563","-153.3578693775732","-194.17919389817249","-121.55895495158761"
"24300","-278.6377050297293","-499.69083804057465","-133.39456982759657","-208.63777481145615","-488.83825367608216","-119.87888600553435","-155.5112529816568","-212.79032285631828","-119.71691755279349","-161.06808610977484","-208.3450524150252","-122.77785480237283","-335.8234272159553","-686.3500047474816","-124.45355115734117","-165.2710467725702","-244.80764766973576","-122.9039366021685"
"24600","-461.5954838198718","-737.7532518656469","-179.48321889910557","-222.10778422454717","-512.477420989614","-119.50609498174803","-157.64016761089016","-198.8877373258077","-119.66480032017981","-162.6763666775899","-206.65137816124306","-133.29448436878963","-266.2985657461985","-488.9952615361556","-142.33858149430694","-166.64219062789098","-232.2281211219534","-120.14452006899474"
"24900","-348.5594540634931","-455.73821214221186","-169.98043452480687","-207.61968222946834","-342.45565671222704","-127.3967291564295","-153.73098199918965","-195.61684664938653","-119.39242178574277","-176.27154785582582","-308.37655073801113","-121.26340994677673","-274.0145490889055","-558.8003408668071","-135.0331973850212","-220.30066018493307","-860.8663292741846","-120.17844705608596"
"25200","-393.29345099165056","-539.3577204010513","-158.1938476970938","-212.75478171725075","-336.65571330022993","-119.98238647238182","-155.82215750276094","-208.2637059073038","-120.94281646768812","-175.29709132043135","-280.18514096318097","-121.7497347832804","-248.11902259346925","-465.72286900415736","-121.48930102246086","-153.72107126359325","-197.24462087303345","-121.04597380660296"
"25500","-380.30816271260386","-587.6914983245514","-248.02739621169513","-154.50860529498607","-191.48871727062857","-121.41984474300543","-159.09253559513502","-204.44658667153044","-121.41610071851592","-221.9284186985397","-637.8006151178027","-132.23255259164674","-315.3491193341677","-681.9491947643239","-145.5783055632825","-153.18404049821476","-200.44000905669282","-123.25966723272359"
"25800","-403.1466986602371","-673.7075004763481","-220.16643142761677","-165.53545390472877","-208.43843643689758","-119.95207347730033","-176.45338842291284","-321.4966597197665","-120.9840569034412","-165.24332590083557","-242.35886607769172","-125.75848371463185","-370.01848483522446","-992.9934961814421","-160.74065442058918","-156.04195558057717","-208.18528562342672","-121.44697402800277"
"26100","-437.34701925082544","-673.40087478094","-183.61826658075245","-156.73949563052017","-191.85139788502252","-124.28024811707454","-156.7728803390887","-199.1523869709476","-121.34718685331976","-175.92230598787816","-265.93901390353074","-126.83586833319343","-294.37032559630364","-506.49137056730007","-177.59962020467555","-152.06634422828097","-197.77838470229554","-119.702910865071"
"26400","-399.41752760344167","-648.5242611080744","-144.9927117522962","-191.92208009647086","-357.837574163216","-125.21344504792432","-157.00783467724764","-197.04638819109587","-121.97413347260724","-165.3911122594829","-219.06414035345787","-134.8516928156356","-284.1241319508542","-517.4655085119286","-126.23010317531184","-174.78714474922373","-339.508702806807","-118.88065706937842"
"26700","-446.2205801885093","-654.8468747090544","-119.7020817676486","-209.29242130501976","-362.12961229499444","-124.96207228227684","-165.43675634922445","-227.00470992086085","-126.57506404850974","-183.1364498730966","-284.60594205684583","-124.5465253306653","-285.8529137944849","-520.9208486444519","-126.96480141400768","-169.42391068744854","-327.69068359396107","-122.80110926171014"
"27000","-411.98146825976676","-773.7497803713311","-160.09201633009928","-174.83920155254623","-233.13786754992694","-127.80155944697958","-167.06729479343275","-193.93824237604827","-119.83290141001142","-188.37427296329366","-250.8380240367144","-134.10724983425615","-304.1920622835754","-594.0445114044121","-149.02683726306086","-154.84200876757959","-220.76399547574152","-117.38644549026758"
"27300","-424.1760397543646","-604.8996021256328","-145.58769067548013","-186.50275802944518","-355.47908228317317","-125.2200200817629","-170.52408554164188","-260.1884445193441","-120.28041690384597","-192.46017015385652","-368.02590902165855","-139.21159403341284","-256.65882789073373","-335.82243218362987","-150.46848288690012","-153.26467476983396","-201.58550226770166","-119.26949613947997"
"27600","-353.7034879121877","-599.3860692360316","-172.60483474882156","-158.05319792684068","-196.1623359748616","-119.52720883660075","-170.2899087174847","-254.038967158596","-118.86743032987556","-179.2252535400691","-254.4446520566812","-127.18920827061436","-285.9102188246548","-482.262321458573","-137.87624249225343","-208.55704535994064","-635.8626995493377","-124.0130196203065"
"27900","-383.1414298043563","-598.6468944487408","-160.2472809236121","-174.57073431797875","-321.2549018128407","-120.49190427235848","-161.89009190939342","-198.66106994945142","-118.82834021430294","-185.89504598491138","-316.970574073781","-126.6736583656234","-318.8698644988539","-487.32428571692765","-137.08945409080033","-154.05440243958495","-199.13293692905222","-127.95121040201738"
"28200","-320.5701208877061","-506.78448803784795","-201.6005856517094","-161.1796470148105","-214.93387139360917","-123.22005930277146","-155.7068594590374","-201.98240921026454","-119.3126191301483","-183.96105708903286","-254.6341502730977","-135.76050567544772","-247.43605195254068","-424.6877024843196","-169.22300238018795","-158.00154336435997","-196.74589155772586","-120.73548524793596"
"28500","-387.56046505355727","-697.0179856695324","-147.10330660857227","-177.31526791562268","-353.81580277862747","-118.58913305864493","-156.63934057617362","-199.0477625064946","-120.30306928998073","-234.1651216427831","-624.9151853110727","-126.77907702701978","-250.3527101026958","-469.6249953168864","-138.36047875547754","-153.44256243264766","-199.65411008592804","-120.57797038748326"
"28800","-382.2215528261551","-619.006392757025","-131.8416986916257","-211.45386082940786","-427.800617239929","-124.45447575590704","-168.287801859372","-281.11349308667025","-119.4794818387777","-178.3453473455129","-271.6358180390307","-128.6559282592942","-308.040715087281","-663.2453580925496","-148.8559164545472","-153.98320310898163","-196.7854479913217","-120.21941329500069"
"29100","-356.3430498692976","-597.1076249013079","-183.46795842262105","-185.64718127182863","-342.54712267188313","-126.57164035145945","-161.4929014647103","-199.9124741756768","-122.50917750404737","-173.35141969033813","-302.616619592029","-126.69808684182001","-316.4436173895196","-646.0682379639783","-138.43866936649343","-152.7984776269779","-198.71735907827878","-121.52684359989105"
"29400","-390.1673252518497","-565.9114099746878","-188.47186552550758","-165.4368145604859","-222.43217700168233","-117.28337983447561","-158.5129414332433","-211.06372345226245","-119.94229082466111","-211.3973994136731","-578.9447827707663","-120.30160529314102","-311.04498933010865","-674.9886517464946","-178.25366521887196","-152.97518098177676","-197.65296313753873","-122.06954306848908"
"29700","-329.7537562039249","-582.8715343023521","-162.92657199659172","-165.9655477873251","-205.79610527920536","-119.08122430658266","-171.42378678197548","-293.29203072234435","-120.43701162756349","-199.98448890500913","-357.25802973792736","-130.64582632969314","-351.797036043277","-578.2522224733636","-171.85904792560834","-230.56649243815883","-835.3437714195736","-120.13088133270438"
"30000","-462.79520686426747","-1085.1487293316395","-147.52057652087052","-167.05941213893115","-289.861622638892","-125.80717077303726","-205.63967360775928","-291.2741397271846","-146.41624274441384","-224.08697984328168","-598.9952084117301","-135.6493629943295","-295.0223879439804","-515.8665193912195","-133.8015960297268","-160.90619021067118","-196.12528852119004","-130.49309272628733"
