"Step","Group: UTE_2 - eval/average_reward","Group: UTE_2 - eval/average_reward__MIN","Group: UTE_2 - eval/average_reward__MAX","Group: UTE_-2 - eval/average_reward","Group: UTE_-2 - eval/average_reward__MIN","Group: UTE_-2 - eval/average_reward__MAX","Group: EQL_uniform - eval/average_reward","Group: EQL_uniform - eval/average_reward__MIN","Group: EQL_uniform - eval/average_reward__MAX","Group: EQL_geo03 - eval/average_reward","Group: EQL_geo03 - eval/average_reward__MIN","Group: EQL_geo03 - eval/average_reward__MAX","Group: TempoRL - eval/average_reward","Group: TempoRL - eval/average_reward__MIN","Group: TempoRL - eval/average_reward__MAX","Group: DDPG - eval/average_reward","Group: DDPG - eval/average_reward__MIN","Group: DDPG - eval/average_reward__MAX"
"4800","-501.88875380074694","-619.8386343817067","-232.89952177769186","-302.99213788613974","-477.3056080163593","-128.86374792594833","-156.43077035152567","-196.37304649391314","-121.48058351433482","-276.64485954464675","-1040.2085880187938","-125.32404172403267","-453.20944477702153","-837.8990309056395","-152.73557629122098","-422.9385601880975","-700.2554690405099","-123.70707747979372"
"5100","-534.0549872437953","-662.3578022939888","-364.25345759855094","-307.37100798073874","-565.6288394615248","-122.69169453235104","-168.72770400838039","-246.92435959265404","-120.9625925397439","-208.59711387447086","-335.46682862671634","-133.06425688880836","-411.785212021057","-645.1797242478195","-148.6371626586772","-263.8315061528532","-671.0307786668703","-134.36837486167943"
"5400","-510.77982635801135","-738.4466316196506","-149.73563107154564","-312.5242771606012","-496.15125070901905","-121.99834570288905","-155.6596303919184","-194.7112973220224","-121.66855005239708","-238.65208144699736","-577.2631204667449","-126.14476450630511","-465.03918251845215","-652.0385288705386","-149.04119675814496","-329.93522828853816","-996.3334011190909","-125.60710729374712"
"5700","-521.7277005952927","-723.2379469996504","-142.12815557090306","-298.43692241174296","-564.3050437346151","-126.3498969344837","-155.9338676501365","-193.45892570759642","-120.64121073223006","-174.64215928259907","-223.31640132689364","-124.88108351413261","-423.8733074785895","-759.5128535633106","-136.89096092710597","-259.92866645023906","-617.6133021609555","-119.53835394448285"
"6000","-561.5374258055766","-816.611345993648","-119.28728444586054","-265.2917303675207","-435.4625659370701","-123.28028933820846","-153.80279146664037","-194.65303400961346","-120.80217750277143","-227.26228508965636","-724.1625610126735","-126.52342866915993","-409.91660851876975","-561.4402716401854","-167.3034507905395","-192.75058983449864","-488.60047952552975","-122.12609560422388"
"6300","-501.5347613131829","-737.8071376583696","-252.88047674086843","-245.55735402520622","-609.5438520079966","-125.29729797534947","-158.81700625955196","-203.93915864665232","-120.56697622846927","-160.36067105475112","-203.77615242885233","-119.12544245637778","-435.68183905221593","-658.2221067326436","-160.35619999954986","-211.69122081878655","-518.2235111056032","-121.42824899432063"
"6600","-471.7013729223569","-733.3356527516951","-134.33999298485986","-364.8857609071859","-619.443178725978","-157.12784426547586","-164.09633909122743","-219.9697374052335","-119.69810723372264","-185.33091728828876","-388.3495770212771","-119.05087001761069","-443.8891091851948","-789.9800513216692","-211.30276294476454","-165.24607529276926","-213.92593844100043","-123.88195008472621"
"6900","-430.24800792331206","-690.4571917731361","-134.96444898195892","-312.12968040557536","-567.6875440325821","-137.16878105123726","-152.5888861637105","-193.98605800969116","-118.51155434171169","-158.49237990386413","-239.4162978165385","-119.06293446409856","-402.53249725652574","-654.8655601051735","-160.93254381865353","-271.3280548230849","-610.7635441275019","-119.50128874969388"
"7200","-456.74765721996334","-613.2359079494767","-135.96141322596108","-333.2306103704965","-509.09884010714484","-131.07098736710202","-152.88566042855473","-194.40200406180983","-120.07537811194516","-164.27180482859143","-249.89822010295933","-119.96236501771702","-473.7265090573627","-741.8815137652699","-274.0603006114981","-156.89790212549332","-212.16740514132775","-119.35278311182853"
"7500","-410.99019100221403","-655.4265122965784","-133.67818558813048","-254.9140154371838","-474.31721397642605","-132.6769716508564","-153.23406579696493","-195.62702015673102","-120.41145434534644","-161.8932609489088","-234.9928609720852","-118.82214864457072","-479.16955526289","-846.1360463560793","-205.847171848593","-297.84294442135575","-662.4384507955467","-121.26369729134744"
"7800","-429.23528882793573","-614.1505884864962","-247.83472670126744","-225.55557903504263","-535.0346589153228","-126.06940771696233","-152.31779583352318","-195.49960929105833","-120.29831284530647","-153.89718368924818","-206.1985475057962","-119.43575959816867","-501.2621120517621","-661.4665501020565","-374.5975791203252","-155.3971876315175","-201.93963409815566","-121.19514081482994"
"8100","-470.91414138673446","-1134.83417620039","-132.9537175430085","-274.4129367828756","-622.984439971151","-122.6110008104788","-166.63791592718812","-334.3296031571448","-121.71676011160488","-165.9164556491708","-263.9018026620475","-125.34147919403918","-436.9523994514557","-668.5386624620664","-213.87045044695674","-164.31231496708406","-237.4683496782312","-120.4986309739464"
"8400","-382.1569713364478","-619.5104067396276","-229.75920843113485","-305.2775578425455","-495.84892815093406","-135.00141415765611","-151.25556452684023","-194.48075631785755","-120.21732193390685","-155.42950265422647","-204.6222282261968","-121.45727104921725","-462.4537297882851","-645.439430862232","-205.32218672372747","-173.22451548579522","-301.58301891524104","-121.0204229970881"
"8700","-424.4105751412091","-766.3699852335615","-137.26314822585923","-285.8529106746457","-492.2579589398323","-134.42626867146953","-150.37981443096984","-194.37207906093576","-120.23144681194655","-164.93937118838497","-202.87383219376102","-119.26237153384969","-487.51465701393533","-759.5483070173432","-206.39530358350794","-209.4458824866058","-706.0813564303655","-120.71571973025507"
"9000","-375.8904977890056","-618.8243279901977","-124.15712266831352","-229.13179883410575","-528.384461655233","-124.15265342390894","-151.39719464847013","-199.86348494796925","-119.92012245090982","-158.09636320929653","-218.21790326818686","-121.34979006709496","-422.1193589952351","-701.1312491917208","-212.91455585512767","-191.65227643910754","-510.175264791683","-121.76583953969096"
"9300","-425.3652207793124","-595.6579348096128","-241.8275063521158","-256.14938377753975","-410.10795908588005","-137.01604960306918","-150.1019319581124","-194.75100545272608","-119.68642357593596","-160.99678824333222","-199.96951031849974","-120.40888327106504","-418.87098141166655","-756.3249528576396","-156.56161557857575","-156.9938288268213","-205.19848167928953","-120.1151114433964"
"9600","-353.6524743559933","-535.9186636861025","-121.21337973574279","-272.65523122743144","-446.38288154589543","-134.79487440372202","-150.69639060465005","-195.35978634566416","-119.69038646736355","-160.84159774288986","-204.21209249649712","-128.37062753594992","-414.3599026205749","-643.2965543510277","-207.93073904090994","-242.4607726785316","-849.7293503604275","-122.22276917589792"
"9900","-356.8578666300999","-572.9410144749862","-173.23595967644204","-250.2287862332833","-554.590714746962","-137.5801834311981","-151.34828567609316","-192.07155163689566","-122.8497089300084","-164.74695341162703","-207.2592679043431","-122.00631428186315","-353.17792993141813","-600.9196786598212","-120.26802881650772","-190.83392454121042","-530.8180256425645","-122.12798020801317"
"10200","-310.52083286741953","-485.9048379861233","-160.5134262941785","-251.19506356994907","-453.69654894992584","-136.09492266223126","-151.5865466424171","-193.74301567407932","-124.7097549899286","-162.58170868004257","-205.80052456871212","-122.15012003522743","-384.30628803073057","-622.7599085113021","-132.4472745644616","-184.48329163108838","-305.64394080226117","-124.46251194813615"
"10500","-365.0117077051015","-625.2300614251105","-151.9573013558241","-228.04844919327266","-345.99966748903546","-137.24625783554967","-151.56133192351243","-202.10150796234052","-120.5445468109876","-169.97014293030534","-304.67041105296425","-123.9613389615616","-394.49521635147664","-616.149878576519","-135.95876102374854","-166.39879811677991","-271.586833792362","-119.87404997888544"
"10800","-360.9590130352384","-654.3772342017011","-121.20344722028494","-210.19843057379427","-369.31895628660715","-120.53421035411267","-154.11910248750718","-204.15635346919606","-123.3534298257302","-161.1577805192524","-207.0255501699749","-124.08794473381249","-381.65482175444834","-595.9657984204184","-133.08703237619437","-253.27888122337475","-686.5193817829488","-119.40703784778489"
"11100","-460.1588760371681","-617.2389119711049","-205.8422045245893","-279.2853033592165","-417.47857633836577","-166.0645877372252","-154.32069133986687","-194.3454621482379","-125.92334221273704","-157.76765314150916","-192.49510270706645","-123.95050599450133","-317.6569007763302","-589.6007539903505","-164.59194875049633","-252.47240197163097","-626.8751860374211","-126.44211166557508"
"11400","-293.18501000145164","-467.90006909464455","-137.61589955308733","-223.05820143309552","-395.8953810893676","-149.24224359854176","-155.15763300940404","-196.33343140867447","-123.10488151275483","-158.51886199832376","-194.63740670044234","-126.07268536733417","-409.722763239093","-614.2083569837017","-159.71321187250334","-173.6932068958435","-327.905237580746","-126.60137749098071"
"11700","-330.7323896612668","-609.4821331985114","-137.88700070196666","-248.56578784221293","-552.9610848361407","-124.68236664991643","-160.5551765025361","-216.8991318813924","-122.51159343820996","-167.70121650177128","-232.4030885951965","-124.54784514631822","-358.58244895359553","-642.7984989414833","-172.9604299889608","-159.90533322778228","-253.3067388906705","-126.0449078618517"
"12000","-452.2725227580942","-580.7926109611724","-362.49152871644833","-229.00301728827134","-478.4881552899057","-121.84286011565023","-200.08642609141995","-605.9736708092246","-122.93481315125607","-163.06690427904275","-242.44076977679964","-127.10474315242644","-377.9882516685267","-602.7425479484192","-143.36631572271284","-154.99676866042424","-198.65216329000503","-126.59580927449994"
"12300","-352.4661895435257","-616.7685561106866","-138.96289990389883","-289.4691865383397","-541.9697089873547","-125.30214160807365","-155.27661820017025","-201.73809430487916","-122.24974547388317","-188.10712432822237","-385.0040954310907","-129.15046148466428","-394.3869819268239","-643.6756943294034","-211.18266198918363","-155.22096802197626","-199.87956689779276","-121.58079221768764"
"12600","-505.5722014107064","-940.701276512678","-134.71697605638","-208.06125390704602","-387.19050326809145","-125.47881016748015","-154.5118315487469","-200.99028274412711","-122.05093799219921","-233.77101351407646","-867.3198124021295","-122.45354210930012","-425.4180043437178","-665.453614301154","-186.41690244161813","-154.95186079762144","-197.4811656472174","-124.08808045784386"
"12900","-410.9471077091903","-631.4054839834713","-138.10779836284797","-246.2847229374447","-393.73010503791136","-165.84911479885756","-175.03441810067136","-405.2774512259954","-119.1625689107586","-160.53420644528953","-206.9940602139498","-123.80912787847005","-435.093585833","-610.109519081065","-134.072742850945","-156.55277625411003","-197.83066014041023","-123.73547209267126"
"13200","-314.8514685734631","-495.13272605401664","-169.22173582269886","-260.6740248694807","-365.22110516883674","-122.73690505736667","-155.09724005957938","-200.78355013743433","-121.30531715768893","-165.0742604109055","-195.81433169438037","-125.85281838345227","-388.0535786684485","-668.4425994002279","-193.08844141714673","-172.33686837480607","-340.11346821095805","-123.37668323101848"
"13500","-381.45148102535006","-616.8101222788462","-193.92585217099278","-269.1251716345897","-470.9713562718991","-152.94459112991208","-155.9384359370717","-205.6478798996765","-120.0850937095114","-156.38438429748004","-195.02001188250694","-122.05213703970374","-358.1271043936213","-597.8532948111208","-185.31647203591172","-173.7543088127673","-342.05943592800594","-128.4793261361562"
"13800","-354.78187388262836","-561.7371871194761","-147.51609672784016","-249.4663046890546","-644.6081880835042","-127.84245903504711","-155.80703632656153","-197.71814208173095","-121.21778688617944","-265.6944758759581","-1114.979393705879","-125.17261072435039","-377.5101039122582","-601.7108071598038","-135.8689805499029","-240.02136416593808","-529.7247089629483","-124.70597739281592"
