"Step","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"500","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1000","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-9.838107178568288","-9.838107178568288","-9.838107178568288","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1500","-15.308434968666273","-15.308434968666273","-15.308434968666273","-16.473868725744136","-16.473868725744136","-16.473868725744136","-41.196634631487","-41.196634631487","-41.196634631487","-27.535701552633775","-27.535701552633775","-27.535701552633775","-15.684545597696234","-15.684545597696234","-15.684545597696234","-9.292754526574507","-9.292754526574507","-9.292754526574507","-15.374563420761664","-15.374563420761664","-15.374563420761664","-11.257317583432386","-11.257317583432386","-11.257317583432386","-17.090308679348954","-17.090308679348954","-17.090308679348954","-13.541719416865721","-13.541719416865721","-13.541719416865721"
"2000","-13.168631396094685","-13.168631396094685","-13.168631396094685","-22.896886278096037","-22.896886278096037","-22.896886278096037","-29.99128679561439","-29.99128679561439","-29.99128679561439","-17.17836236439607","-17.17836236439607","-17.17836236439607","-19.222940330899053","-19.222940330899053","-19.222940330899053","-7.696720023757196","-7.696720023757196","-7.696720023757196","-9.41390383775493","-9.41390383775493","-9.41390383775493","-21.432018981212885","-21.432018981212885","-21.432018981212885","-11.487074310215581","-11.487074310215581","-11.487074310215581","-9.241812403843648","-9.241812403843648","-9.241812403843648"
"2500","-10.756663303427699","-10.756663303427699","-10.756663303427699","-11.27720592826054","-11.27720592826054","-11.27720592826054","-16.731731433011664","-16.731731433011664","-16.731731433011664","-16.89407113696479","-16.89407113696479","-16.89407113696479","-19.644669262820422","-19.644669262820422","-19.644669262820422","-21.75216525688324","-21.75216525688324","-21.75216525688324","-10.967960489195598","-10.967960489195598","-10.967960489195598","-8.953838521548224","-8.953838521548224","-8.953838521548224","-5.6974225141720645","-5.6974225141720645","-5.6974225141720645","-6.0708900177127605","-6.0708900177127605","-6.0708900177127605"
"3000","-12.36462049522073","-12.36462049522073","-12.36462049522073","-22.11729226399708","-22.11729226399708","-22.11729226399708","-11.211915849854625","-11.211915849854625","-11.211915849854625","-9.461323858925898","-9.461323858925898","-9.461323858925898","-17.384973983196307","-17.384973983196307","-17.384973983196307","-8.067311768984368","-8.067311768984368","-8.067311768984368","-8.021462808587222","-8.021462808587222","-8.021462808587222","-12.201121978434566","-12.201121978434566","-12.201121978434566","-9.132760120343402","-9.132760120343402","-9.132760120343402","-7.2171510394515135","-7.2171510394515135","-7.2171510394515135"
"3500","-8.412355418222381","-8.412355418222381","-8.412355418222381","-11.140856817231812","-11.140856817231812","-11.140856817231812","-7.756471335605681","-7.756471335605681","-7.756471335605681","-7.60399274985217","-7.60399274985217","-7.60399274985217","-13.424384523963061","-13.424384523963061","-13.424384523963061","-11.837127923631291","-11.837127923631291","-11.837127923631291","-10.936200302841975","-10.936200302841975","-10.936200302841975","-9.778965573056755","-9.778965573056755","-9.778965573056755","-6.500553956209847","-6.500553956209847","-6.500553956209847","-9.322802515940513","-9.322802515940513","-9.322802515940513"
"4000","-8.577100921410082","-8.577100921410082","-8.577100921410082","-5.979274716557955","-5.979274716557955","-5.979274716557955","-9.908340341542882","-9.908340341542882","-9.908340341542882","-7.112125188575119","-7.112125188575119","-7.112125188575119","-7.927019956557605","-7.927019956557605","-7.927019956557605","-12.34330989404605","-12.34330989404605","-12.34330989404605","-8.425204700934806","-8.425204700934806","-8.425204700934806","-13.315193500656472","-13.315193500656472","-13.315193500656472","-7.136834663642864","-7.136834663642864","-7.136834663642864","-5.899535134694206","-5.899535134694206","-5.899535134694206"
"4500","-7.384007579196776","-7.384007579196776","-7.384007579196776","-4.791392656757333","-4.791392656757333","-4.791392656757333","-5.936381704755737","-5.936381704755737","-5.936381704755737","-5.835738860133861","-5.835738860133861","-5.835738860133861","-8.36296668444458","-8.36296668444458","-8.36296668444458","-6.948025958554938","-6.948025958554938","-6.948025958554938","-12.236378595037133","-12.236378595037133","-12.236378595037133","-7.4255136084061535","-7.4255136084061535","-7.4255136084061535","-3.8854489432465598","-3.8854489432465598","-3.8854489432465598","-6.1432968403464425","-6.1432968403464425","-6.1432968403464425"
