"Step","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"5000","-42.739890311684874","-42.739890311684874","-42.739890311684874","-8.534548171219857","-8.534548171219857","-8.534548171219857","-5.590713827102755","-5.590713827102755","-5.590713827102755","-8.755502633008092","-8.755502633008092","-8.755502633008092","-9.960656585040516","-9.960656585040516","-9.960656585040516","-4.822413818692797","-4.822413818692797","-4.822413818692797","-4.786477893628638","-4.786477893628638","-4.786477893628638","-8.174295429104294","-8.174295429104294","-8.174295429104294","-5.277139362449664","-5.277139362449664","-5.277139362449664","-6.115742290282519","-6.115742290282519","-6.115742290282519"
"5500","-33.32530689270626","-33.32530689270626","-33.32530689270626","-7.861522861177586","-7.861522861177586","-7.861522861177586","-5.481947226339585","-5.481947226339585","-5.481947226339585","-14.646175435014346","-14.646175435014346","-14.646175435014346","-7.565561816647147","-7.565561816647147","-7.565561816647147","-3.673163202336224","-3.673163202336224","-3.673163202336224","-5.791817560801699","-5.791817560801699","-5.791817560801699","-7.840354944361157","-7.840354944361157","-7.840354944361157","-5.137629176321801","-5.137629176321801","-5.137629176321801","-4.597535250440131","-4.597535250440131","-4.597535250440131"
"6000","-40.66118402223408","-40.66118402223408","-40.66118402223408","-5.205821112941017","-5.205821112941017","-5.205821112941017","-3.792194110604462","-3.792194110604462","-3.792194110604462","-5.64692910697635","-5.64692910697635","-5.64692910697635","-3.9203714710594055","-3.9203714710594055","-3.9203714710594055","-3.9409726162349727","-3.9409726162349727","-3.9409726162349727","-5.584190576864243","-5.584190576864243","-5.584190576864243","-4.756831142134315","-4.756831142134315","-4.756831142134315","-5.897420971380896","-5.897420971380896","-5.897420971380896","-5.650872702553151","-5.650872702553151","-5.650872702553151"
"6500","-28.82640509042441","-28.82640509042441","-28.82640509042441","-4.959847961247116","-4.959847961247116","-4.959847961247116","-3.351603777257869","-3.351603777257869","-3.351603777257869","-8.257433844986183","-8.257433844986183","-8.257433844986183","-3.316336627779195","-3.316336627779195","-3.316336627779195","-4.2724015685452965","-4.2724015685452965","-4.2724015685452965","-3.0797644047496724","-3.0797644047496724","-3.0797644047496724","-4.569544133284219","-4.569544133284219","-4.569544133284219","-4.360803397630456","-4.360803397630456","-4.360803397630456","-5.054413416022722","-5.054413416022722","-5.054413416022722"
"7000","-26.240203902859047","-26.240203902859047","-26.240203902859047","-4.394543934336987","-4.394543934336987","-4.394543934336987","-2.405696320049434","-2.405696320049434","-2.405696320049434","-3.998786551558723","-3.998786551558723","-3.998786551558723","-2.5679241097979917","-2.5679241097979917","-2.5679241097979917","-3.195238833900423","-3.195238833900423","-3.195238833900423","-2.7333307244611795","-2.7333307244611795","-2.7333307244611795","-7.096915313200926","-7.096915313200926","-7.096915313200926","-4.652337408310518","-4.652337408310518","-4.652337408310518","-4.665550630558817","-4.665550630558817","-4.665550630558817"
"7500","-10.128593217507513","-10.128593217507513","-10.128593217507513","-3.982956659745503","-3.982956659745503","-3.982956659745503","-2.4872393453915116","-2.4872393453915116","-2.4872393453915116","-3.7573537797363743","-3.7573537797363743","-3.7573537797363743","-3.55027013418592","-3.55027013418592","-3.55027013418592","-3.4210649295973483","-3.4210649295973483","-3.4210649295973483","-2.7081548896409746","-2.7081548896409746","-2.7081548896409746","-3.4804748531719083","-3.4804748531719083","-3.4804748531719083","-4.9842866154565995","-4.9842866154565995","-4.9842866154565995","-5.348617960073623","-5.348617960073623","-5.348617960073623"
"8000","-11.965388693746934","-11.965388693746934","-11.965388693746934","-2.1630395698509783","-2.1630395698509783","-2.1630395698509783","-4.186777778610763","-4.186777778610763","-4.186777778610763","-6.556632047098179","-6.556632047098179","-6.556632047098179","-4.444328994552864","-4.444328994552864","-4.444328994552864","-4.874854351803935","-4.874854351803935","-4.874854351803935","-2.682980828720915","-2.682980828720915","-2.682980828720915","-2.901639757792991","-2.901639757792991","-2.901639757792991","-2.6565199839605413","-2.6565199839605413","-2.6565199839605413","-5.702112829321992","-5.702112829321992","-5.702112829321992"
"8500","-12.32008230651363","-12.32008230651363","-12.32008230651363","-2.28844795003051","-2.28844795003051","-2.28844795003051","-2.8510712571280075","-2.8510712571280075","-2.8510712571280075","-4.160199484354771","-4.160199484354771","-4.160199484354771","-3.578880756668487","-3.578880756668487","-3.578880756668487","-3.852194080038017","-3.852194080038017","-3.852194080038017","-4.097412518239347","-4.097412518239347","-4.097412518239347","-2.532612624650282","-2.532612624650282","-2.532612624650282","-2.9718788694553733","-2.9718788694553733","-2.9718788694553733","-7.301935071994376","-7.301935071994376","-7.301935071994376"
"9000","-11.766377913910436","-11.766377913910436","-11.766377913910436","-2.661736609092375","-2.661736609092375","-2.661736609092375","-1.5447785503172669","-1.5447785503172669","-1.5447785503172669","-2.827995003710026","-2.827995003710026","-2.827995003710026","-4.702173993252119","-4.702173993252119","-4.702173993252119","-3.5128993132097213","-3.5128993132097213","-3.5128993132097213","-2.112917857952513","-2.112917857952513","-2.112917857952513","-2.7694341226310035","-2.7694341226310035","-2.7694341226310035","-2.5500343615356846","-2.5500343615356846","-2.5500343615356846","-8.04685162985539","-8.04685162985539","-8.04685162985539"
"9500","-36.449181600819756","-36.449181600819756","-36.449181600819756","-3.9519310856212337","-3.9519310856212337","-3.9519310856212337","-2.3100038724967753","-2.3100038724967753","-2.3100038724967753","-3.5568987478049117","-3.5568987478049117","-3.5568987478049117","-2.022297586624915","-2.022297586624915","-2.022297586624915","-2.6431062430495853","-2.6431062430495853","-2.6431062430495853","-2.2894925078833155","-2.2894925078833155","-2.2894925078833155","-2.9099858290837575","-2.9099858290837575","-2.9099858290837575","-4.081552658458768","-4.081552658458768","-4.081552658458768","-2.458717187288766","-2.458717187288766","-2.458717187288766"
"10000","-19.10764919480553","-19.10764919480553","-19.10764919480553","-1.7221322282923883","-1.7221322282923883","-1.7221322282923883","-3.111964641116599","-3.111964641116599","-3.111964641116599","-3.4905080649516558","-3.4905080649516558","-3.4905080649516558","-2.2011103222833723","-2.2011103222833723","-2.2011103222833723","-2.521567892093392","-2.521567892093392","-2.521567892093392","-2.8985045528289435","-2.8985045528289435","-2.8985045528289435","-2.024728535938668","-2.024728535938668","-2.024728535938668","-3.8088667256171163","-3.8088667256171163","-3.8088667256171163","-3.838351923077822","-3.838351923077822","-3.838351923077822"
"10500","-10.650255585901157","-10.650255585901157","-10.650255585901157","-2.564543035515057","-2.564543035515057","-2.564543035515057","-2.065366859741318","-2.065366859741318","-2.065366859741318","-4.766423865159618","-4.766423865159618","-4.766423865159618","-2.141543589928186","-2.141543589928186","-2.141543589928186","-2.0494127103966986","-2.0494127103966986","-2.0494127103966986","-3.308050281918388","-3.308050281918388","-3.308050281918388","-3.812594571540454","-3.812594571540454","-3.812594571540454","-1.9446585680635409","-1.9446585680635409","-1.9446585680635409","-6.165910790571789","-6.165910790571789","-6.165910790571789"
"11000","-16.714923192373977","-16.714923192373977","-16.714923192373977","-1.794794462069762","-1.794794462069762","-1.794794462069762","-2.9143461712732717","-2.9143461712732717","-2.9143461712732717","-3.9834298199395684","-3.9834298199395684","-3.9834298199395684","-3.141807461559435","-3.141807461559435","-3.141807461559435","-3.7064547702650215","-3.7064547702650215","-3.7064547702650215","-3.7099441697869495","-3.7099441697869495","-3.7099441697869495","-1.8064133978915464","-1.8064133978915464","-1.8064133978915464","-3.2536701601494236","-3.2536701601494236","-3.2536701601494236","-3.056627860532479","-3.056627860532479","-3.056627860532479"
"11500","-12.10850479647397","-12.10850479647397","-12.10850479647397","-1.936617681850196","-1.936617681850196","-1.936617681850196","-3.266955686141311","-3.266955686141311","-3.266955686141311","-3.0049944470413084","-3.0049944470413084","-3.0049944470413084","-2.8065679839570947","-2.8065679839570947","-2.8065679839570947","-2.709366063067443","-2.709366063067443","-2.709366063067443","-2.1786491087628286","-2.1786491087628286","-2.1786491087628286","-2.1039870147628568","-2.1039870147628568","-2.1039870147628568","-1.9072688752996079","-1.9072688752996079","-1.9072688752996079","-3.9198788056276728","-3.9198788056276728","-3.9198788056276728"
"12000","-7.621086771960407","-7.621086771960407","-7.621086771960407","-1.876622932421571","-1.876622932421571","-1.876622932421571","-2.1199225448953185","-2.1199225448953185","-2.1199225448953185","-3.897345682793054","-3.897345682793054","-3.897345682793054","-3.9405891930393926","-3.9405891930393926","-3.9405891930393926","-3.9155007315585912","-3.9155007315585912","-3.9155007315585912","-1.661443545265962","-1.661443545265962","-1.661443545265962","-5.118884220762447","-5.118884220762447","-5.118884220762447","-2.292034652583108","-2.292034652583108","-2.292034652583108","-3.9442397202331976","-3.9442397202331976","-3.9442397202331976"
"12500","-8.79327245376085","-8.79327245376085","-8.79327245376085","-2.9969698169023835","-2.9969698169023835","-2.9969698169023835","-1.7494802570861485","-1.7494802570861485","-1.7494802570861485","-3.622041843683655","-3.622041843683655","-3.622041843683655","-2.73640787513894","-2.73640787513894","-2.73640787513894","-3.0605663521613353","-3.0605663521613353","-3.0605663521613353","-10.470120911430014","-10.470120911430014","-10.470120911430014","-1.8941146500263528","-1.8941146500263528","-1.8941146500263528","-2.4417914118075617","-2.4417914118075617","-2.4417914118075617","-2.7883286046478255","-2.7883286046478255","-2.7883286046478255"
"13000","-7.163665772588878","-7.163665772588878","-7.163665772588878","-3.0617212920759576","-3.0617212920759576","-3.0617212920759576","-2.978219046422267","-2.978219046422267","-2.978219046422267","-4.1135877367753","-4.1135877367753","-4.1135877367753","-3.918572296344955","-3.918572296344955","-3.918572296344955","-3.955817802071679","-3.955817802071679","-3.955817802071679","-2.023409444889789","-2.023409444889789","-2.023409444889789","-2.367594410303947","-2.367594410303947","-2.367594410303947","-4.764129091767927","-4.764129091767927","-4.764129091767927","-4.392790340726604","-4.392790340726604","-4.392790340726604"
"13500","-7.433320613668971","-7.433320613668971","-7.433320613668971","-2.169985513156447","-2.169985513156447","-2.169985513156447","-1.8332656847269448","-1.8332656847269448","-1.8332656847269448","-5.041805851866448","-5.041805851866448","-5.041805851866448","-2.836623696411732","-2.836623696411732","-2.836623696411732","-3.4624475043777343","-3.4624475043777343","-3.4624475043777343","-1.7614947376735326","-1.7614947376735326","-1.7614947376735326","-4.521658948505129","-4.521658948505129","-4.521658948505129","-2.6844864647073114","-2.6844864647073114","-2.6844864647073114","-4.3534405275073205","-4.3534405275073205","-4.3534405275073205"
