"Step","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward__MAX"
"0","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"300","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"600","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"900","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"1200","-1726.5180352576913","-1726.5180352576913","-1726.5180352576913","-1513.1656204004407","-1513.1656204004407","-1513.1656204004407","-1490.4823982875334","-1490.4823982875334","-1490.4823982875334","-1498.9352392899532","-1498.9352392899532","-1498.9352392899532","-1692.7757984886043","-1692.7757984886043","-1692.7757984886043","-1759.23597331999","-1759.23597331999","-1759.23597331999","-1847.3669523865842","-1847.3669523865842","-1847.3669523865842","-1402.4141470836862","-1402.4141470836862","-1402.4141470836862","-1559.0908543945757","-1559.0908543945757","-1559.0908543945757","-1854.8905790825625","-1854.8905790825625","-1854.8905790825625","-1697.2124945892392","-1697.2124945892392","-1697.2124945892392","-1623.8575624114546","-1623.8575624114546","-1623.8575624114546","-1772.8477958931999","-1772.8477958931999","-1772.8477958931999","-1352.3484838841464","-1352.3484838841464","-1352.3484838841464","-1536.3174066305896","-1536.3174066305896","-1536.3174066305896","-1392.3358331858747","-1392.3358331858747","-1392.3358331858747","-1644.0205170793665","-1644.0205170793665","-1644.0205170793665","-1631.7640445486602","-1631.7640445486602","-1631.7640445486602","-1538.7612439012494","-1538.7612439012494","-1538.7612439012494","-1711.2246995490018","-1711.2246995490018","-1711.2246995490018"
"1500","-1566.3736359295126","-1566.3736359295126","-1566.3736359295126","-1640.7384070004912","-1640.7384070004912","-1640.7384070004912","-1561.3575157254065","-1561.3575157254065","-1561.3575157254065","-1471.7617573661178","-1471.7617573661178","-1471.7617573661178","-1609.5160203116438","-1609.5160203116438","-1609.5160203116438","-1519.0803293544964","-1519.0803293544964","-1519.0803293544964","-1486.3923129045056","-1486.3923129045056","-1486.3923129045056","-1772.58846514129","-1772.58846514129","-1772.58846514129","-1498.1343019135286","-1498.1343019135286","-1498.1343019135286","-1573.3427009817583","-1573.3427009817583","-1573.3427009817583","-1418.4001313400493","-1418.4001313400493","-1418.4001313400493","-1849.8812946330731","-1849.8812946330731","-1849.8812946330731","-1636.871677151725","-1636.871677151725","-1636.871677151725","-1427.4180000335414","-1427.4180000335414","-1427.4180000335414","-1486.4229499528915","-1486.4229499528915","-1486.4229499528915","-1489.3064139650266","-1489.3064139650266","-1489.3064139650266","-1465.318854897313","-1465.318854897313","-1465.318854897313","-1699.1327108054295","-1699.1327108054295","-1699.1327108054295","-1514.5911861957225","-1514.5911861957225","-1514.5911861957225","-1498.1069483492495","-1498.1069483492495","-1498.1069483492495"
"1800","-1481.9614954719505","-1481.9614954719505","-1481.9614954719505","-1630.0582447204965","-1630.0582447204965","-1630.0582447204965","-1507.51186957493","-1507.51186957493","-1507.51186957493","-1459.8119535530818","-1459.8119535530818","-1459.8119535530818","-1571.2855984635892","-1571.2855984635892","-1571.2855984635892","-1491.0283301189606","-1491.0283301189606","-1491.0283301189606","-1455.3746601591347","-1455.3746601591347","-1455.3746601591347","-1475.1996849777895","-1475.1996849777895","-1475.1996849777895","-1460.3156535406602","-1460.3156535406602","-1460.3156535406602","-1598.1090603242815","-1598.1090603242815","-1598.1090603242815","-1597.566785729538","-1597.566785729538","-1597.566785729538","-1470.8184317003975","-1470.8184317003975","-1470.8184317003975","-1576.4143578428834","-1576.4143578428834","-1576.4143578428834","-1478.8246406256153","-1478.8246406256153","-1478.8246406256153","-1510.4314909806726","-1510.4314909806726","-1510.4314909806726","-1521.9928935815392","-1521.9928935815392","-1521.9928935815392","-1414.4015601871574","-1414.4015601871574","-1414.4015601871574","-1587.9881205785398","-1587.9881205785398","-1587.9881205785398","-1465.6957420304666","-1465.6957420304666","-1465.6957420304666","-1473.9489416524523","-1473.9489416524523","-1473.9489416524523"
"2100","-1464.0574055636143","-1464.0574055636143","-1464.0574055636143","-1529.702833576907","-1529.702833576907","-1529.702833576907","-1453.5197066713515","-1453.5197066713515","-1453.5197066713515","-1462.4044709622265","-1462.4044709622265","-1462.4044709622265","-1499.1684153221054","-1499.1684153221054","-1499.1684153221054","-1483.956708292443","-1483.956708292443","-1483.956708292443","-1462.2050887948558","-1462.2050887948558","-1462.2050887948558","-1454.8447735150737","-1454.8447735150737","-1454.8447735150737","-1352.4806978062734","-1352.4806978062734","-1352.4806978062734","-1571.9043933498563","-1571.9043933498563","-1571.9043933498563","-1571.9231779054546","-1571.9231779054546","-1571.9231779054546","-1442.1113162911201","-1442.1113162911201","-1442.1113162911201","-1412.7126228620048","-1412.7126228620048","-1412.7126228620048","-1493.6332811835634","-1493.6332811835634","-1493.6332811835634","-1479.989561348998","-1479.989561348998","-1479.989561348998","-1476.3684177376958","-1476.3684177376958","-1476.3684177376958","-1436.1404603841693","-1436.1404603841693","-1436.1404603841693","-1503.1014929718858","-1503.1014929718858","-1503.1014929718858","-1444.750314187258","-1444.750314187258","-1444.750314187258","-1465.5282910117476","-1465.5282910117476","-1465.5282910117476"
"2400","-1346.9781310371684","-1346.9781310371684","-1346.9781310371684","-1358.1595561415766","-1358.1595561415766","-1358.1595561415766","-1370.270368733693","-1370.270368733693","-1370.270368733693","-1396.1733326379665","-1396.1733326379665","-1396.1733326379665","-1373.7445557234628","-1373.7445557234628","-1373.7445557234628","-1440.5325352384991","-1440.5325352384991","-1440.5325352384991","-1411.5804765487119","-1411.5804765487119","-1411.5804765487119","-1327.187509268828","-1327.187509268828","-1327.187509268828","-1302.9638336829744","-1302.9638336829744","-1302.9638336829744","-1431.8049036026537","-1431.8049036026537","-1431.8049036026537","-1404.1054989372528","-1404.1054989372528","-1404.1054989372528","-1312.914393949876","-1312.914393949876","-1312.914393949876","-1288.7052366390392","-1288.7052366390392","-1288.7052366390392","-1292.0671335764278","-1292.0671335764278","-1292.0671335764278","-1438.8431556479895","-1438.8431556479895","-1438.8431556479895","-1386.3131459752367","-1386.3131459752367","-1386.3131459752367","-1274.9439725034506","-1274.9439725034506","-1274.9439725034506","-1420.4182094740881","-1420.4182094740881","-1420.4182094740881","-1408.28957969445","-1408.28957969445","-1408.28957969445","-1339.4081836968576","-1339.4081836968576","-1339.4081836968576"
"2700","-1300.0606416877758","-1300.0606416877758","-1300.0606416877758","-1260.7597624242476","-1260.7597624242476","-1260.7597624242476","-1113.3087292315479","-1113.3087292315479","-1113.3087292315479","-1371.3491977784756","-1371.3491977784756","-1371.3491977784756","-1230.3265429118649","-1230.3265429118649","-1230.3265429118649","-1247.72056536815","-1247.72056536815","-1247.72056536815","-1353.149141293755","-1353.149141293755","-1353.149141293755","-1181.6593573566279","-1181.6593573566279","-1181.6593573566279","-1166.0944413870063","-1166.0944413870063","-1166.0944413870063","-1321.7819065335075","-1321.7819065335075","-1321.7819065335075","-1192.6901328578053","-1192.6901328578053","-1192.6901328578053","-1153.8798986914462","-1153.8798986914462","-1153.8798986914462","-1168.409553425236","-1168.409553425236","-1168.409553425236","-1190.2746637838848","-1190.2746637838848","-1190.2746637838848","-1300.0751836415689","-1300.0751836415689","-1300.0751836415689","-1183.3994082529541","-1183.3994082529541","-1183.3994082529541","-1171.5983031142237","-1171.5983031142237","-1171.5983031142237","-1245.1603610053064","-1245.1603610053064","-1245.1603610053064","-1143.6856235049067","-1143.6856235049067","-1143.6856235049067","-995.224055785194","-995.224055785194","-995.224055785194"
