"Step","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward__MAX"
"3000","-637.832407789075","-637.832407789075","-637.832407789075","-287.043557178656","-287.043557178656","-287.043557178656","-1171.862313632994","-1171.862313632994","-1171.862313632994","-1028.0128263584259","-1028.0128263584259","-1028.0128263584259","-1128.7911685822269","-1128.7911685822269","-1128.7911685822269","-951.769029927925","-951.769029927925","-951.769029927925","-1574.7888467218067","-1574.7888467218067","-1574.7888467218067","-125.87734863414418","-125.87734863414418","-125.87734863414418","-636.4028863550868","-636.4028863550868","-636.4028863550868","-733.6705208226108","-733.6705208226108","-733.6705208226108"
"3300","-624.0910015913114","-624.0910015913114","-624.0910015913114","-272.07289883713804","-272.07289883713804","-272.07289883713804","-392.8133863681111","-392.8133863681111","-392.8133863681111","-1236.9282566200798","-1236.9282566200798","-1236.9282566200798","-1076.2591335622108","-1076.2591335622108","-1076.2591335622108","-871.5512181204961","-871.5512181204961","-871.5512181204961","-1542.4011986084279","-1542.4011986084279","-1542.4011986084279","-153.8690354582414","-153.8690354582414","-153.8690354582414","-614.6897546498174","-614.6897546498174","-614.6897546498174","-169.7543482092264","-169.7543482092264","-169.7543482092264"
"3600","-462.7279092648229","-462.7279092648229","-462.7279092648229","-174.59171143799253","-174.59171143799253","-174.59171143799253","-150.36284230099264","-150.36284230099264","-150.36284230099264","-1158.2574800425277","-1158.2574800425277","-1158.2574800425277","-923.1601797142246","-923.1601797142246","-923.1601797142246","-437.2732454820468","-437.2732454820468","-437.2732454820468","-1404.3638917548813","-1404.3638917548813","-1404.3638917548813","-122.43827171349737","-122.43827171349737","-122.43827171349737","-637.5131267029692","-637.5131267029692","-637.5131267029692","-157.03368796693326","-157.03368796693326","-157.03368796693326"
"3900","-385.33124774161263","-385.33124774161263","-385.33124774161263","-177.3756503618826","-177.3756503618826","-177.3756503618826","-150.29241713537382","-150.29241713537382","-150.29241713537382","-906.9300040218525","-906.9300040218525","-906.9300040218525","-1087.348066712692","-1087.348066712692","-1087.348066712692","-899.793292277318","-899.793292277318","-899.793292277318","-1052.6535847792634","-1052.6535847792634","-1052.6535847792634","-119.86684845096538","-119.86684845096538","-119.86684845096538","-176.42344195504492","-176.42344195504492","-176.42344195504492","-124.79603770944152","-124.79603770944152","-124.79603770944152"
"4200","-500.9148425561119","-500.9148425561119","-500.9148425561119","-182.58052548159128","-182.58052548159128","-182.58052548159128","-174.3586777577208","-174.3586777577208","-174.3586777577208","-990.5372016953348","-990.5372016953348","-990.5372016953348","-314.26687882171274","-314.26687882171274","-314.26687882171274","-595.4814950231302","-595.4814950231302","-595.4814950231302","-1124.248772681115","-1124.248772681115","-1124.248772681115","-120.42884921471534","-120.42884921471534","-120.42884921471534","-225.92333056637327","-225.92333056637327","-225.92333056637327","-176.46461358225287","-176.46461358225287","-176.46461358225287"
"4500","-313.53956664661456","-313.53956664661456","-313.53956664661456","-178.6141161594531","-178.6141161594531","-178.6141161594531","-172.10975668081883","-172.10975668081883","-172.10975668081883","-713.3524789300875","-713.3524789300875","-713.3524789300875","-229.57220234218252","-229.57220234218252","-229.57220234218252","-508.38554368539326","-508.38554368539326","-508.38554368539326","-256.93375805800054","-256.93375805800054","-256.93375805800054","-119.3701154877967","-119.3701154877967","-119.3701154877967","-235.21915343105752","-235.21915343105752","-235.21915343105752","-127.139884097361","-127.139884097361","-127.139884097361"
"4800","-159.71899293833528","-159.71899293833528","-159.71899293833528","-174.13592272707342","-174.13592272707342","-174.13592272707342","-175.92148554248723","-175.92148554248723","-175.92148554248723","-671.135274214589","-671.135274214589","-671.135274214589","-172.904932858682","-172.904932858682","-172.904932858682","-340.0716739119549","-340.0716739119549","-340.0716739119549","-248.42091316855075","-248.42091316855075","-248.42091316855075","-119.33374415873769","-119.33374415873769","-119.33374415873769","-253.7395862111379","-253.7395862111379","-253.7395862111379","-201.5287678280719","-201.5287678280719","-201.5287678280719"
"5100","-157.0701007551595","-157.0701007551595","-157.0701007551595","-172.07058744130845","-172.07058744130845","-172.07058744130845","-123.53413294948788","-123.53413294948788","-123.53413294948788","-598.0671878499127","-598.0671878499127","-598.0671878499127","-177.47994360574273","-177.47994360574273","-177.47994360574273","-371.40393093175044","-371.40393093175044","-371.40393093175044","-246.5701815317033","-246.5701815317033","-246.5701815317033","-121.77475608890748","-121.77475608890748","-121.77475608890748","-175.77685139248487","-175.77685139248487","-175.77685139248487","-149.16423099141633","-149.16423099141633","-149.16423099141633"
"5400","-158.0168595524638","-158.0168595524638","-158.0168595524638","-173.78973133440803","-173.78973133440803","-173.78973133440803","-125.67987186424939","-125.67987186424939","-125.67987186424939","-295.18906472801433","-295.18906472801433","-295.18906472801433","-170.18860747312502","-170.18860747312502","-170.18860747312502","-274.9538042579135","-274.9538042579135","-274.9538042579135","-296.9608718478381","-296.9608718478381","-296.9608718478381","-120.50119466974775","-120.50119466974775","-120.50119466974775","-171.89095532175966","-171.89095532175966","-171.89095532175966","-278.93445371659266","-278.93445371659266","-278.93445371659266"
"5700","-154.9526570744641","-154.9526570744641","-154.9526570744641","-172.86104489648253","-172.86104489648253","-172.86104489648253","-121.52375507184377","-121.52375507184377","-121.52375507184377","-286.48250386244047","-286.48250386244047","-286.48250386244047","-170.0797452947961","-170.0797452947961","-170.0797452947961","-125.48074695442934","-125.48074695442934","-125.48074695442934","-374.1172578312547","-374.1172578312547","-374.1172578312547","-122.23898205108117","-122.23898205108117","-122.23898205108117","-173.95586857724246","-173.95586857724246","-173.95586857724246","-353.02475146708923","-353.02475146708923","-353.02475146708923"
