"Step","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward__MAX"
"3000","-849.8096255565184","-849.8096255565184","-849.8096255565184","-806.5671389786346","-806.5671389786346","-806.5671389786346","-793.6557184075367","-793.6557184075367","-793.6557184075367","-935.4046610665919","-935.4046610665919","-935.4046610665919","-973.1637262104434","-973.1637262104434","-973.1637262104434","-879.5139481674998","-879.5139481674998","-879.5139481674998","-1102.6831935257756","-1102.6831935257756","-1102.6831935257756","-923.5246535728799","-923.5246535728799","-923.5246535728799","-1052.4835806764347","-1052.4835806764347","-1052.4835806764347","-716.8326608783623","-716.8326608783623","-716.8326608783623"
"3300","-165.1514351345173","-165.1514351345173","-165.1514351345173","-775.1301741685527","-775.1301741685527","-775.1301741685527","-693.4227482000923","-693.4227482000923","-693.4227482000923","-509.98235933035375","-509.98235933035375","-509.98235933035375","-850.7193485892467","-850.7193485892467","-850.7193485892467","-435.00754419159887","-435.00754419159887","-435.00754419159887","-1019.3386441592742","-1019.3386441592742","-1019.3386441592742","-775.3658851976527","-775.3658851976527","-775.3658851976527","-485.8768501618221","-485.8768501618221","-485.8768501618221","-513.6238404819617","-513.6238404819617","-513.6238404819617"
"3600","-158.75436349843386","-158.75436349843386","-158.75436349843386","-519.6104927192845","-519.6104927192845","-519.6104927192845","-186.65630080028262","-186.65630080028262","-186.65630080028262","-474.2236404707065","-474.2236404707065","-474.2236404707065","-661.7266011417597","-661.7266011417597","-661.7266011417597","-406.54637045057063","-406.54637045057063","-406.54637045057063","-507.789899759655","-507.789899759655","-507.789899759655","-363.70119397866523","-363.70119397866523","-363.70119397866523","-459.01068634204074","-459.01068634204074","-459.01068634204074","-490.1999391557496","-490.1999391557496","-490.1999391557496"
"3900","-156.02818077526257","-156.02818077526257","-156.02818077526257","-237.50663955528324","-237.50663955528324","-237.50663955528324","-153.54924112868287","-153.54924112868287","-153.54924112868287","-224.31477153753676","-224.31477153753676","-224.31477153753676","-435.0991088065786","-435.0991088065786","-435.0991088065786","-456.8399851055518","-456.8399851055518","-456.8399851055518","-206.43068850949626","-206.43068850949626","-206.43068850949626","-158.24889862256924","-158.24889862256924","-158.24889862256924","-433.96870680852544","-433.96870680852544","-433.96870680852544","-186.86098695863228","-186.86098695863228","-186.86098695863228"
"4200","-155.60672281418016","-155.60672281418016","-155.60672281418016","-284.44778735299553","-284.44778735299553","-284.44778735299553","-127.2563400971037","-127.2563400971037","-127.2563400971037","-216.853924774937","-216.853924774937","-216.853924774937","-195.6535137400183","-195.6535137400183","-195.6535137400183","-155.12159045626598","-155.12159045626598","-155.12159045626598","-335.0737265127887","-335.0737265127887","-335.0737265127887","-155.5419974918431","-155.5419974918431","-155.5419974918431","-202.6206685307099","-202.6206685307099","-202.6206685307099","-128.94455684303404","-128.94455684303404","-128.94455684303404"
"4500","-149.15602562387045","-149.15602562387045","-149.15602562387045","-207.32461213507568","-207.32461213507568","-207.32461213507568","-414.72072720090284","-414.72072720090284","-414.72072720090284","-215.31514606471524","-215.31514606471524","-215.31514606471524","-191.94189832623942","-191.94189832623942","-191.94189832623942","-228.45427339611962","-228.45427339611962","-228.45427339611962","-279.12302973156824","-279.12302973156824","-279.12302973156824","-202.6586983289289","-202.6586983289289","-202.6586983289289","-195.90806954808028","-195.90806954808028","-195.90806954808028","-126.84835918597841","-126.84835918597841","-126.84835918597841"
"4800","-177.92620708669853","-177.92620708669853","-177.92620708669853","-424.2602917361006","-424.2602917361006","-424.2602917361006","-327.4713565785314","-327.4713565785314","-327.4713565785314","-555.0614701848556","-555.0614701848556","-555.0614701848556","-545.8434317596632","-545.8434317596632","-545.8434317596632","-438.30122734561894","-438.30122734561894","-438.30122734561894","-279.69701224960875","-279.69701224960875","-279.69701224960875","-203.87058267033413","-203.87058267033413","-203.87058267033413","-189.1191316616742","-189.1191316616742","-189.1191316616742","-150.97016644555896","-150.97016644555896","-150.97016644555896"
"5100","-217.09493771113335","-217.09493771113335","-217.09493771113335","-360.0929560640454","-360.0929560640454","-360.0929560640454","-234.23389783482057","-234.23389783482057","-234.23389783482057","-209.17882090339134","-209.17882090339134","-209.17882090339134","-176.84665927950766","-176.84665927950766","-176.84665927950766","-510.05770030161204","-510.05770030161204","-510.05770030161204","-153.5844078870884","-153.5844078870884","-153.5844078870884","-227.23753015410253","-227.23753015410253","-227.23753015410253","-183.82530484647046","-183.82530484647046","-183.82530484647046","-122.48884990277672","-122.48884990277672","-122.48884990277672"
"5400","-146.67208506129865","-146.67208506129865","-146.67208506129865","-226.00985682481792","-226.00985682481792","-226.00985682481792","-303.10691005978407","-303.10691005978407","-303.10691005978407","-337.748744026204","-337.748744026204","-337.748744026204","-173.94581040944792","-173.94581040944792","-173.94581040944792","-558.4374021254708","-558.4374021254708","-558.4374021254708","-224.61024445270613","-224.61024445270613","-224.61024445270613","-124.00619005920525","-124.00619005920525","-124.00619005920525","-412.06230593946157","-412.06230593946157","-412.06230593946157","-122.62812825337794","-122.62812825337794","-122.62812825337794"
"5700","-223.11286844761995","-223.11286844761995","-223.11286844761995","-250.21350793485848","-250.21350793485848","-250.21350793485848","-381.3337263934171","-381.3337263934171","-381.3337263934171","-339.3329654961569","-339.3329654961569","-339.3329654961569","-238.01073456815683","-238.01073456815683","-238.01073456815683","-378.06508057767763","-378.06508057767763","-378.06508057767763","-252.77236433873423","-252.77236433873423","-252.77236433873423","-172.52246862494988","-172.52246862494988","-172.52246862494988","-177.08073771172516","-177.08073771172516","-177.08073771172516","-123.33007592183617","-123.33007592183617","-123.33007592183617"
