"Step","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward__MAX"
"3000","-152.9277993670451","-152.9277993670451","-152.9277993670451","-1009.5658943973285","-1009.5658943973285","-1009.5658943973285","-187.73494435998785","-187.73494435998785","-187.73494435998785","-680.5745910570961","-680.5745910570961","-680.5745910570961","-1049.776652923858","-1049.776652923858","-1049.776652923858","-1019.5551000524163","-1019.5551000524163","-1019.5551000524163","-1015.4716170640074","-1015.4716170640074","-1015.4716170640074","-492.40885907010744","-492.40885907010744","-492.40885907010744","-718.6232770032615","-718.6232770032615","-718.6232770032615","-900.4093991278605","-900.4093991278605","-900.4093991278605"
"3300","-241.5535242345265","-241.5535242345265","-241.5535242345265","-480.0685177143463","-480.0685177143463","-480.0685177143463","-253.11455306968864","-253.11455306968864","-253.11455306968864","-743.1446805156435","-743.1446805156435","-743.1446805156435","-1006.733236263015","-1006.733236263015","-1006.733236263015","-811.4305247540956","-811.4305247540956","-811.4305247540956","-936.1151600130539","-936.1151600130539","-936.1151600130539","-282.75954695862634","-282.75954695862634","-282.75954695862634","-634.0072789935386","-634.0072789935386","-634.0072789935386","-513.6262350869863","-513.6262350869863","-513.6262350869863"
"3600","-153.23712795977028","-153.23712795977028","-153.23712795977028","-427.32904606113755","-427.32904606113755","-427.32904606113755","-123.64331404706274","-123.64331404706274","-123.64331404706274","-611.4094351227558","-611.4094351227558","-611.4094351227558","-170.3944936390658","-170.3944936390658","-170.3944936390658","-414.38385509812196","-414.38385509812196","-414.38385509812196","-886.504276633875","-886.504276633875","-886.504276633875","-155.60429712784492","-155.60429712784492","-155.60429712784492","-705.5122145517306","-705.5122145517306","-705.5122145517306","-386.19383305125","-386.19383305125","-386.19383305125"
"3900","-478.0307866591087","-478.0307866591087","-478.0307866591087","-368.0694103377949","-368.0694103377949","-368.0694103377949","-124.73219636928086","-124.73219636928086","-124.73219636928086","-388.37526776435436","-388.37526776435436","-388.37526776435436","-170.40871071649497","-170.40871071649497","-170.40871071649497","-345.8821503757794","-345.8821503757794","-345.8821503757794","-787.7400668486482","-787.7400668486482","-787.7400668486482","-123.79045430990655","-123.79045430990655","-123.79045430990655","-786.9619237536051","-786.9619237536051","-786.9619237536051","-405.46694109482206","-405.46694109482206","-405.46694109482206"
"4200","-146.24798883209672","-146.24798883209672","-146.24798883209672","-172.21299306498133","-172.21299306498133","-172.21299306498133","-121.7616525909521","-121.7616525909521","-121.7616525909521","-205.44090666911887","-205.44090666911887","-205.44090666911887","-167.9232542675105","-167.9232542675105","-167.9232542675105","-565.5547151563958","-565.5547151563958","-565.5547151563958","-478.5572708597896","-478.5572708597896","-478.5572708597896","-150.93031861637627","-150.93031861637627","-150.93031861637627","-605.5535451040112","-605.5535451040112","-605.5535451040112","-510.70125655689196","-510.70125655689196","-510.70125655689196"
"4500","-143.75036509683054","-143.75036509683054","-143.75036509683054","-172.142625054505","-172.142625054505","-172.142625054505","-121.33235235392388","-121.33235235392388","-121.33235235392388","-209.1090846509529","-209.1090846509529","-209.1090846509529","-200.64560258242886","-200.64560258242886","-200.64560258242886","-346.067417823746","-346.067417823746","-346.067417823746","-231.536772916996","-231.536772916996","-231.536772916996","-123.13158251133409","-123.13158251133409","-123.13158251133409","-666.6824229605018","-666.6824229605018","-666.6824229605018","-257.5751091121383","-257.5751091121383","-257.5751091121383"
"4800","-144.227723327502","-144.227723327502","-144.227723327502","-171.92076108823102","-171.92076108823102","-171.92076108823102","-121.36836875859831","-121.36836875859831","-121.36836875859831","-205.37761735815275","-205.37761735815275","-205.37761735815275","-173.48061486023255","-173.48061486023255","-173.48061486023255","-411.2299321681984","-411.2299321681984","-411.2299321681984","-220.12453087837338","-220.12453087837338","-220.12453087837338","-121.62867150181856","-121.62867150181856","-121.62867150181856","-550.1162212917418","-550.1162212917418","-550.1162212917418","-353.5977977934546","-353.5977977934546","-353.5977977934546"
"5100","-397.7337051553519","-397.7337051553519","-397.7337051553519","-172.0149807711005","-172.0149807711005","-172.0149807711005","-121.95696919411914","-121.95696919411914","-121.95696919411914","-206.94277165303114","-206.94277165303114","-206.94277165303114","-199.17806478111225","-199.17806478111225","-199.17806478111225","-164.24825246986876","-164.24825246986876","-164.24825246986876","-143.32894255654745","-143.32894255654745","-143.32894255654745","-148.39421479884285","-148.39421479884285","-148.39421479884285","-458.7314929717165","-458.7314929717165","-458.7314929717165","-123.80915029476924","-123.80915029476924","-123.80915029476924"
"5400","-221.65931932097584","-221.65931932097584","-221.65931932097584","-171.51244246322818","-171.51244246322818","-171.51244246322818","-121.15701523987613","-121.15701523987613","-121.15701523987613","-205.25353220884222","-205.25353220884222","-205.25353220884222","-168.72578108116213","-168.72578108116213","-168.72578108116213","-140.9718070353797","-140.9718070353797","-140.9718070353797","-143.5281422715877","-143.5281422715877","-143.5281422715877","-124.59637034576261","-124.59637034576261","-124.59637034576261","-319.61596251930183","-319.61596251930183","-319.61596251930183","-122.92469349219277","-122.92469349219277","-122.92469349219277"
"5700","-348.50638513658566","-348.50638513658566","-348.50638513658566","-171.6282729044277","-171.6282729044277","-171.6282729044277","-122.03392465681938","-122.03392465681938","-122.03392465681938","-204.81242708143196","-204.81242708143196","-204.81242708143196","-170.84162228670132","-170.84162228670132","-170.84162228670132","-142.01361957429262","-142.01361957429262","-142.01361957429262","-142.5640936035","-142.5640936035","-142.5640936035","-148.616286067043","-148.616286067043","-148.616286067043","-165.81647565103955","-165.81647565103955","-165.81647565103955","-124.36266828666275","-124.36266828666275","-124.36266828666275"
