"Step","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward__MAX"
"9000","-226.04864674378732","-226.04864674378732","-226.04864674378732","-170.5662580342715","-170.5662580342715","-170.5662580342715","-400.4910454779033","-400.4910454779033","-400.4910454779033","-289.32841717259527","-289.32841717259527","-289.32841717259527","-178.29614901496925","-178.29614901496925","-178.29614901496925","-124.10793771837882","-124.10793771837882","-124.10793771837882","-141.3533222855934","-141.3533222855934","-141.3533222855934","-125.58040417364278","-125.58040417364278","-125.58040417364278","-172.0633026733658","-172.0633026733658","-172.0633026733658","-228.15610070448142","-228.15610070448142","-228.15610070448142"
"9300","-176.0183910847191","-176.0183910847191","-176.0183910847191","-169.77409878254892","-169.77409878254892","-169.77409878254892","-150.8772932590004","-150.8772932590004","-150.8772932590004","-519.8762652841584","-519.8762652841584","-519.8762652841584","-203.84002232334348","-203.84002232334348","-203.84002232334348","-177.00515356749042","-177.00515356749042","-177.00515356749042","-165.5292377642242","-165.5292377642242","-165.5292377642242","-120.96830137127226","-120.96830137127226","-120.96830137127226","-173.65369223151677","-173.65369223151677","-173.65369223151677","-200.54352173310502","-200.54352173310502","-200.54352173310502"
"9600","-152.48957069832346","-152.48957069832346","-152.48957069832346","-171.6075316817056","-171.6075316817056","-171.6075316817056","-199.73616317098302","-199.73616317098302","-199.73616317098302","-387.93565294755484","-387.93565294755484","-387.93565294755484","-294.02900893433826","-294.02900893433826","-294.02900893433826","-120.5053160732028","-120.5053160732028","-120.5053160732028","-193.1253221575422","-193.1253221575422","-193.1253221575422","-121.95316194732334","-121.95316194732334","-121.95316194732334","-192.69353161019825","-192.69353161019825","-192.69353161019825","-152.96073853143997","-152.96073853143997","-152.96073853143997"
"9900","-151.717602044906","-151.717602044906","-151.717602044906","-173.75584457907456","-173.75584457907456","-173.75584457907456","-128.12967385285543","-128.12967385285543","-128.12967385285543","-311.6023827861824","-311.6023827861824","-311.6023827861824","-244.5621340673446","-244.5621340673446","-244.5621340673446","-120.3737423558993","-120.3737423558993","-120.3737423558993","-220.54822241249468","-220.54822241249468","-220.54822241249468","-119.27211212910966","-119.27211212910966","-119.27211212910966","-192.4997831824314","-192.4997831824314","-192.4997831824314","-128.03063192347753","-128.03063192347753","-128.03063192347753"
"10200","-225.57036962222668","-225.57036962222668","-225.57036962222668","-169.872221120367","-169.872221120367","-169.872221120367","-228.42129012682267","-228.42129012682267","-228.42129012682267","-306.10836032602845","-306.10836032602845","-306.10836032602845","-168.9276595449416","-168.9276595449416","-168.9276595449416","-120.51859055875259","-120.51859055875259","-120.51859055875259","-192.0264747454102","-192.0264747454102","-192.0264747454102","-143.83189503946406","-143.83189503946406","-143.83189503946406","-242.8892964683947","-242.8892964683947","-242.8892964683947","-154.36634697416193","-154.36634697416193","-154.36634697416193"
"10500","-176.11734540745647","-176.11734540745647","-176.11734540745647","-169.52647486034633","-169.52647486034633","-169.52647486034633","-123.13697199305666","-123.13697199305666","-123.13697199305666","-386.27126919284797","-386.27126919284797","-386.27126919284797","-166.73894899340988","-166.73894899340988","-166.73894899340988","-120.3846300238176","-120.3846300238176","-120.3846300238176","-141.20302285033978","-141.20302285033978","-141.20302285033978","-118.27321710794467","-118.27321710794467","-118.27321710794467","-171.39869263234385","-171.39869263234385","-171.39869263234385","-126.19527437355737","-126.19527437355737","-126.19527437355737"
"10800","-152.64965479002848","-152.64965479002848","-152.64965479002848","-170.6568305517975","-170.6568305517975","-170.6568305517975","-173.31503326450812","-173.31503326450812","-173.31503326450812","-256.3376538561181","-256.3376538561181","-256.3376538561181","-167.6388100607022","-167.6388100607022","-167.6388100607022","-121.48685339865548","-121.48685339865548","-121.48685339865548","-169.39839198462676","-169.39839198462676","-169.39839198462676","-118.09289059986402","-118.09289059986402","-118.09289059986402","-172.10772961748438","-172.10772961748438","-172.10772961748438","-252.8481786933754","-252.8481786933754","-252.8481786933754"
"11100","-202.57962106141994","-202.57962106141994","-202.57962106141994","-171.34295928708582","-171.34295928708582","-171.34295928708582","-148.69759200902294","-148.69759200902294","-148.69759200902294","-281.25659767769434","-281.25659767769434","-281.25659767769434","-192.68874719548978","-192.68874719548978","-192.68874719548978","-121.90333403911117","-121.90333403911117","-121.90333403911117","-142.95979314212173","-142.95979314212173","-142.95979314212173","-118.23600754862544","-118.23600754862544","-118.23600754862544","-224.68297690115588","-224.68297690115588","-224.68297690115588","-127.57841709839113","-127.57841709839113","-127.57841709839113"
"11400","-177.1970234102115","-177.1970234102115","-177.1970234102115","-272.6268946637159","-272.6268946637159","-272.6268946637159","-197.77927963523388","-197.77927963523388","-197.77927963523388","-306.0698933218721","-306.0698933218721","-306.0698933218721","-507.3463489658205","-507.3463489658205","-507.3463489658205","-324.7480960901793","-324.7480960901793","-324.7480960901793","-168.6127866342676","-168.6127866342676","-168.6127866342676","-170.61663536334078","-170.61663536334078","-170.61663536334078","-224.33442274145887","-224.33442274145887","-224.33442274145887","-252.57803537040678","-252.57803537040678","-252.57803537040678"
"11700","-177.33015872149173","-177.33015872149173","-177.33015872149173","-170.6530953447983","-170.6530953447983","-170.6530953447983","-122.77738800483044","-122.77738800483044","-122.77738800483044","-481.1839127169795","-481.1839127169795","-481.1839127169795","-167.6581637001904","-167.6581637001904","-167.6581637001904","-125.04090647489791","-125.04090647489791","-125.04090647489791","-143.2183014720204","-143.2183014720204","-143.2183014720204","-118.32406787169","-118.32406787169","-118.32406787169","-224.8831583705882","-224.8831583705882","-224.8831583705882","-203.86126018951603","-203.86126018951603","-203.86126018951603"
"12000","-151.5381936228881","-151.5381936228881","-151.5381936228881","-200.93176760333608","-200.93176760333608","-200.93176760333608","-197.56280179229947","-197.56280179229947","-197.56280179229947","-254.69589862440847","-254.69589862440847","-254.69589862440847","-192.90015272244193","-192.90015272244193","-192.90015272244193","-123.39412655468932","-123.39412655468932","-123.39412655468932","-446.32030767969053","-446.32030767969053","-446.32030767969053","-118.92952040745415","-118.92952040745415","-118.92952040745415","-250.878411044529","-250.878411044529","-250.878411044529","-129.99853034166154","-129.99853034166154","-129.99853034166154"
"12300","-201.34836986819886","-201.34836986819886","-201.34836986819886","-202.48921661496038","-202.48921661496038","-202.48921661496038","-147.22251252591474","-147.22251252591474","-147.22251252591474","-432.98434898529115","-432.98434898529115","-432.98434898529115","-167.84404129930607","-167.84404129930607","-167.84404129930607","-468.69325882921805","-468.69325882921805","-468.69325882921805","-195.75105955746997","-195.75105955746997","-195.75105955746997","-145.6661696359039","-145.6661696359039","-145.6661696359039","-225.05805385005942","-225.05805385005942","-225.05805385005942","-279.7519227389475","-279.7519227389475","-279.7519227389475"
"12600","-226.12089019497412","-226.12089019497412","-226.12089019497412","-176.80549444125683","-176.80549444125683","-176.80549444125683","-173.71970802247182","-173.71970802247182","-173.71970802247182","-205.9540485085127","-205.9540485085127","-205.9540485085127","-169.6102872529995","-169.6102872529995","-169.6102872529995","-306.00352467059776","-306.00352467059776","-306.00352467059776","-170.34085297212349","-170.34085297212349","-170.34085297212349","-143.94119559509764","-143.94119559509764","-143.94119559509764","-224.91761393653692","-224.91761393653692","-224.91761393653692","-129.40063698228286","-129.40063698228286","-129.40063698228286"
"12900","-150.26897434775574","-150.26897434775574","-150.26897434775574","-278.6074855517965","-278.6074855517965","-278.6074855517965","-148.75340126509846","-148.75340126509846","-148.75340126509846","-718.1653273076595","-718.1653273076595","-718.1653273076595","-168.7070155337417","-168.7070155337417","-168.7070155337417","-519.1873516812848","-519.1873516812848","-519.1873516812848","-170.1074160716829","-170.1074160716829","-170.1074160716829","-118.08101194992034","-118.08101194992034","-118.08101194992034","-199.6204519619345","-199.6204519619345","-199.6204519619345","-155.50874095501624","-155.50874095501624","-155.50874095501624"
"13200","-200.60637708449264","-200.60637708449264","-200.60637708449264","-178.69297533480784","-178.69297533480784","-178.69297533480784","-123.47726850493265","-123.47726850493265","-123.47726850493265","-662.1031816608989","-662.1031816608989","-662.1031816608989","-195.16980023337064","-195.16980023337064","-195.16980023337064","-149.70344123808562","-149.70344123808562","-149.70344123808562","-145.8088931802363","-145.8088931802363","-145.8088931802363","-118.62922843942525","-118.62922843942525","-118.62922843942525","-298.4317183960587","-298.4317183960587","-298.4317183960587","-131.69964244029282","-131.69964244029282","-131.69964244029282"
"13500","-175.78857974805538","-175.78857974805538","-175.78857974805538","-331.6385285183829","-331.6385285183829","-331.6385285183829","-123.2544774821232","-123.2544774821232","-123.2544774821232","-534.3593402576423","-534.3593402576423","-534.3593402576423","-246.2060146748604","-246.2060146748604","-246.2060146748604","-202.05065053013254","-202.05065053013254","-202.05065053013254","-247.3125178034852","-247.3125178034852","-247.3125178034852","-193.95865836267186","-193.95865836267186","-193.95865836267186","-299.45394635449793","-299.45394635449793","-299.45394635449793","-156.6647530265563","-156.6647530265563","-156.6647530265563"
"13800","-204.44919512119677","-204.44919512119677","-204.44919512119677","-205.43426451106762","-205.43426451106762","-205.43426451106762","-124.35099887830809","-124.35099887830809","-124.35099887830809","-562.6344692114506","-562.6344692114506","-562.6344692114506","-195.4018305240366","-195.4018305240366","-195.4018305240366","-327.97007028514133","-327.97007028514133","-327.97007028514133","-144.98037670341728","-144.98037670341728","-144.98037670341728","-324.1178213492508","-324.1178213492508","-324.1178213492508","-226.4006568104287","-226.4006568104287","-226.4006568104287","-156.76795593612843","-156.76795593612843","-156.76795593612843"
"14100","-149.17932824927462","-149.17932824927462","-149.17932824927462","-204.86162694258275","-204.86162694258275","-204.86162694258275","-123.03652955776427","-123.03652955776427","-123.03652955776427","-714.9465615573847","-714.9465615573847","-714.9465615573847","-247.23872308662385","-247.23872308662385","-247.23872308662385","-225.1426088497924","-225.1426088497924","-225.1426088497924","-145.42564638523933","-145.42564638523933","-145.42564638523933","-118.63277488512468","-118.63277488512468","-118.63277488512468","-177.1324713176673","-177.1324713176673","-177.1324713176673","-156.6908722429535","-156.6908722429535","-156.6908722429535"
"14400","-175.91223900510218","-175.91223900510218","-175.91223900510218","-309.69845858347975","-309.69845858347975","-309.69845858347975","-123.12587208108462","-123.12587208108462","-123.12587208108462","-589.8587852836956","-589.8587852836956","-589.8587852836956","-197.49720889047632","-197.49720889047632","-197.49720889047632","-292.53153970282995","-292.53153970282995","-292.53153970282995","-170.23013874397924","-170.23013874397924","-170.23013874397924","-119.61715446787261","-119.61715446787261","-119.61715446787261","-226.18674494638944","-226.18674494638944","-226.18674494638944","-158.90153686636077","-158.90153686636077","-158.90153686636077"
"14700","-225.2870599741083","-225.2870599741083","-225.2870599741083","-178.47969195335625","-178.47969195335625","-178.47969195335625","-123.19730396674785","-123.19730396674785","-123.19730396674785","-736.5264977779736","-736.5264977779736","-736.5264977779736","-170.28685228816366","-170.28685228816366","-170.28685228816366","-124.2559627193059","-124.2559627193059","-124.2559627193059","-197.67231347285394","-197.67231347285394","-197.67231347285394","-196.19117496249993","-196.19117496249993","-196.19117496249993","-200.24721475895018","-200.24721475895018","-200.24721475895018","-205.63215487975134","-205.63215487975134","-205.63215487975134"
"15000","-147.665944654769","-147.665944654769","-147.665944654769","-256.86027753890113","-256.86027753890113","-256.86027753890113","-123.29458497042813","-123.29458497042813","-123.29458497042813","-632.4849373059081","-632.4849373059081","-632.4849373059081","-169.57449332627203","-169.57449332627203","-169.57449332627203","-477.85775116387157","-477.85775116387157","-477.85775116387157","-197.97305732449118","-197.97305732449118","-197.97305732449118","-145.24270517799286","-145.24270517799286","-145.24270517799286","-251.3563337572155","-251.3563337572155","-251.3563337572155","-132.4519015981928","-132.4519015981928","-132.4519015981928"
"15300","-148.83098898244796","-148.83098898244796","-148.83098898244796","-178.36695871984836","-178.36695871984836","-178.36695871984836","-123.15604394681282","-123.15604394681282","-123.15604394681282","-737.3022372629564","-737.3022372629564","-737.3022372629564","-296.12601262073196","-296.12601262073196","-296.12601262073196","-146.76496932010062","-146.76496932010062","-146.76496932010062","-197.6196556395496","-197.6196556395496","-197.6196556395496","-120.69658863639108","-120.69658863639108","-120.69658863639108","-251.3839194257601","-251.3839194257601","-251.3839194257601","-182.65594204257394","-182.65594204257394","-182.65594204257394"
"15600","-173.43562158018975","-173.43562158018975","-173.43562158018975","-183.68812555355868","-183.68812555355868","-183.68812555355868","-122.61288372556024","-122.61288372556024","-122.61288372556024","-724.7032349371368","-724.7032349371368","-724.7032349371368","-216.93515297436505","-216.93515297436505","-216.93515297436505","-147.81007589361732","-147.81007589361732","-147.81007589361732","-173.75670966204225","-173.75670966204225","-173.75670966204225","-119.27211996896764","-119.27211996896764","-119.27211996896764","-324.9698465137374","-324.9698465137374","-324.9698465137374","-132.7767274715699","-132.7767274715699","-132.7767274715699"
"15900","-248.7176930644272","-248.7176930644272","-248.7176930644272","-186.66631799839223","-186.66631799839223","-186.66631799839223","-150.02421655085467","-150.02421655085467","-150.02421655085467","-621.5299692295483","-621.5299692295483","-621.5299692295483","-195.71300780503867","-195.71300780503867","-195.71300780503867","-147.67313769841647","-147.67313769841647","-147.67313769841647","-196.51249725221086","-196.51249725221086","-196.51249725221086","-222.02552327067056","-222.02552327067056","-222.02552327067056","-202.87602305820513","-202.87602305820513","-202.87602305820513","-182.31974329916224","-182.31974329916224","-182.31974329916224"
"16200","-198.52989679913867","-198.52989679913867","-198.52989679913867","-183.88893170826367","-183.88893170826367","-183.88893170826367","-122.58500613640413","-122.58500613640413","-122.58500613640413","-666.622284233802","-666.622284233802","-666.622284233802","-167.36330751139246","-167.36330751139246","-167.36330751139246","-122.07675281294208","-122.07675281294208","-122.07675281294208","-146.6020430551328","-146.6020430551328","-146.6020430551328","-272.96945711848065","-272.96945711848065","-272.96945711848065","-171.6129101670952","-171.6129101670952","-171.6129101670952","-133.90368316000243","-133.90368316000243","-133.90368316000243"
"16500","-148.0010773985141","-148.0010773985141","-148.0010773985141","-186.4218713170234","-186.4218713170234","-186.4218713170234","-122.0824117298877","-122.0824117298877","-122.0824117298877","-307.75309453925036","-307.75309453925036","-307.75309453925036","-197.13498378750322","-197.13498378750322","-197.13498378750322","-198.95006267236053","-198.95006267236053","-198.95006267236053","-170.16903638474986","-170.16903638474986","-170.16903638474986","-323.3566045263467","-323.3566045263467","-323.3566045263467","-169.6447452675853","-169.6447452675853","-169.6447452675853","-157.98473475183113","-157.98473475183113","-157.98473475183113"
"16800","-248.22551052633744","-248.22551052633744","-248.22551052633744","-180.6531899339697","-180.6531899339697","-180.6531899339697","-123.07387281020188","-123.07387281020188","-123.07387281020188","-205.23250656184194","-205.23250656184194","-205.23250656184194","-217.3004685924813","-217.3004685924813","-217.3004685924813","-122.29796382856584","-122.29796382856584","-122.29796382856584","-146.49217504298267","-146.49217504298267","-146.49217504298267","-402.20658509920094","-402.20658509920094","-402.20658509920094","-170.13303855887767","-170.13303855887767","-170.13303855887767","-208.59838658944759","-208.59838658944759","-208.59838658944759"
"17100","-172.80781994093303","-172.80781994093303","-172.80781994093303","-205.56219044283299","-205.56219044283299","-205.56219044283299","-122.92424524975846","-122.92424524975846","-122.92424524975846","-290.04018951989644","-290.04018951989644","-290.04018951989644","-170.3748785836579","-170.3748785836579","-170.3748785836579","-123.03131162006562","-123.03131162006562","-123.03131162006562","-145.53986282384403","-145.53986282384403","-145.53986282384403","-374.9170727211429","-374.9170727211429","-374.9170727211429","-168.95924919428765","-168.95924919428765","-168.95924919428765","-183.8796677371743","-183.8796677371743","-183.8796677371743"
"17400","-249.5868495329518","-249.5868495329518","-249.5868495329518","-185.1302848033099","-185.1302848033099","-185.1302848033099","-173.27108851793486","-173.27108851793486","-173.27108851793486","-208.77338888948162","-208.77338888948162","-208.77338888948162","-222.96176279606547","-222.96176279606547","-222.96176279606547","-122.34104334927106","-122.34104334927106","-122.34104334927106","-144.254363418471","-144.254363418471","-144.254363418471","-351.5468857517825","-351.5468857517825","-351.5468857517825","-169.19244735610042","-169.19244735610042","-169.19244735610042","-209.46704963708675","-209.46704963708675","-209.46704963708675"
"17700","-272.6000767983617","-272.6000767983617","-272.6000767983617","-210.67461653896976","-210.67461653896976","-210.67461653896976","-122.15974547900377","-122.15974547900377","-122.15974547900377","-211.2595164528588","-211.2595164528588","-211.2595164528588","-276.96715863500486","-276.96715863500486","-276.96715863500486","-123.1202339941402","-123.1202339941402","-123.1202339941402","-143.89550120613848","-143.89550120613848","-143.89550120613848","-300.9611242127246","-300.9611242127246","-300.9611242127246","-169.31563002288786","-169.31563002288786","-169.31563002288786","-209.81079148955428","-209.81079148955428","-209.81079148955428"
"18000","-444.72866516877536","-444.72866516877536","-444.72866516877536","-207.7531989312916","-207.7531989312916","-207.7531989312916","-122.47253893547861","-122.47253893547861","-122.47253893547861","-208.64869968925382","-208.64869968925382","-208.64869968925382","-168.74811685943305","-168.74811685943305","-168.74811685943305","-151.4929775858323","-151.4929775858323","-151.4929775858323","-144.43953006579918","-144.43953006579918","-144.43953006579918","-552.721373818545","-552.721373818545","-552.721373818545","-170.4395174824093","-170.4395174824093","-170.4395174824093","-183.10680159734397","-183.10680159734397","-183.10680159734397"
"18300","-172.6739772674402","-172.6739772674402","-172.6739772674402","-234.29831088742304","-234.29831088742304","-234.29831088742304","-122.03637598284206","-122.03637598284206","-122.03637598284206","-260.0407315157855","-260.0407315157855","-260.0407315157855","-168.7058776269317","-168.7058776269317","-168.7058776269317","-279.10571339249793","-279.10571339249793","-279.10571339249793","-143.94577754731696","-143.94577754731696","-143.94577754731696","-275.53718009657484","-275.53718009657484","-275.53718009657484","-170.1272234683606","-170.1272234683606","-170.1272234683606","-206.41804814956654","-206.41804814956654","-206.41804814956654"
"18600","-197.72284723490185","-197.72284723490185","-197.72284723490185","-234.11121890559562","-234.11121890559562","-234.11121890559562","-122.15298191316052","-122.15298191316052","-122.15298191316052","-207.14295519612406","-207.14295519612406","-207.14295519612406","-169.52378790203247","-169.52378790203247","-169.52378790203247","-353.0432940485451","-353.0432940485451","-353.0432940485451","-144.90227221052456","-144.90227221052456","-144.90227221052456","-400.6825256717415","-400.6825256717415","-400.6825256717415","-171.6824926966104","-171.6824926966104","-171.6824926966104","-207.11298393023935","-207.11298393023935","-207.11298393023935"
"18900","-245.4763508491323","-245.4763508491323","-245.4763508491323","-210.18017231926083","-210.18017231926083","-210.18017231926083","-121.8582902853179","-121.8582902853179","-121.8582902853179","-235.12582352822128","-235.12582352822128","-235.12582352822128","-221.15253053937195","-221.15253053937195","-221.15253053937195","-250.97377567659214","-250.97377567659214","-250.97377567659214","-144.21173082953428","-144.21173082953428","-144.21173082953428","-530.3731031863142","-530.3731031863142","-530.3731031863142","-169.61735798691527","-169.61735798691527","-169.61735798691527","-208.7539269168332","-208.7539269168332","-208.7539269168332"
"19200","-246.1302999885873","-246.1302999885873","-246.1302999885873","-207.95217299719212","-207.95217299719212","-207.95217299719212","-122.65729132037578","-122.65729132037578","-122.65729132037578","-209.05508671194494","-209.05508671194494","-209.05508671194494","-219.33024688540007","-219.33024688540007","-219.33024688540007","-176.65463855878124","-176.65463855878124","-176.65463855878124","-144.817829484933","-144.817829484933","-144.817829484933","-466.2482507268422","-466.2482507268422","-466.2482507268422","-171.79977252526996","-171.79977252526996","-171.79977252526996","-258.83125770436925","-258.83125770436925","-258.83125770436925"
"19500","-172.91783421941415","-172.91783421941415","-172.91783421941415","-233.55412639844425","-233.55412639844425","-233.55412639844425","-147.68166844169622","-147.68166844169622","-147.68166844169622","-233.93581279853993","-233.93581279853993","-233.93581279853993","-228.76492178652126","-228.76492178652126","-228.76492178652126","-177.05828302659648","-177.05828302659648","-177.05828302659648","-145.1703038101692","-145.1703038101692","-145.1703038101692","-250.018086367883","-250.018086367883","-250.018086367883","-170.02993805062724","-170.02993805062724","-170.02993805062724","-181.2683508732107","-181.2683508732107","-181.2683508732107"
"19800","-173.09349478635485","-173.09349478635485","-173.09349478635485","-187.96258255001234","-187.96258255001234","-187.96258255001234","-147.6434694729408","-147.6434694729408","-147.6434694729408","-208.4898975269804","-208.4898975269804","-208.4898975269804","-169.88151737177338","-169.88151737177338","-169.88151737177338","-197.50833154289077","-197.50833154289077","-197.50833154289077","-144.35209049039585","-144.35209049039585","-144.35209049039585","-320.902475572099","-320.902475572099","-320.902475572099","-170.3715150279591","-170.3715150279591","-170.3715150279591","-205.5417850199192","-205.5417850199192","-205.5417850199192"
"20100","-147.72494568707086","-147.72494568707086","-147.72494568707086","-234.63317633003794","-234.63317633003794","-234.63317633003794","-122.47910635218629","-122.47910635218629","-122.47910635218629","-207.97415523235364","-207.97415523235364","-207.97415523235364","-434.4968200201479","-434.4968200201479","-434.4968200201479","-173.27685253708879","-173.27685253708879","-173.27685253708879","-144.57677960750874","-144.57677960750874","-144.57677960750874","-367.2006492612157","-367.2006492612157","-367.2006492612157","-169.00426045851736","-169.00426045851736","-169.00426045851736","-206.34504091198832","-206.34504091198832","-206.34504091198832"
"20400","-147.6482946884258","-147.6482946884258","-147.6482946884258","-209.62392441844958","-209.62392441844958","-209.62392441844958","-123.48837889827341","-123.48837889827341","-123.48837889827341","-233.05528407541505","-233.05528407541505","-233.05528407541505","-219.22470563791677","-219.22470563791677","-219.22470563791677","-125.31773038650638","-125.31773038650638","-125.31773038650638","-247.70590356009643","-247.70590356009643","-247.70590356009643","-352.4556428799764","-352.4556428799764","-352.4556428799764","-169.35356012838412","-169.35356012838412","-169.35356012838412","-205.09752824789243","-205.09752824789243","-205.09752824789243"
"20700","-172.2168116675753","-172.2168116675753","-172.2168116675753","-182.92161950578992","-182.92161950578992","-182.92161950578992","-123.40566990982043","-123.40566990982043","-123.40566990982043","-232.19093711931913","-232.19093711931913","-232.19093711931913","-269.1618773821201","-269.1618773821201","-269.1618773821201","-472.9122384053626","-472.9122384053626","-472.9122384053626","-144.69678498435331","-144.69678498435331","-144.69678498435331","-277.7255814064898","-277.7255814064898","-277.7255814064898","-169.87660794701287","-169.87660794701287","-169.87660794701287","-132.95656048956343","-132.95656048956343","-132.95656048956343"
"21000","-299.45577272901585","-299.45577272901585","-299.45577272901585","-234.72665552091385","-234.72665552091385","-234.72665552091385","-124.73793120416622","-124.73793120416622","-124.73793120416622","-230.52105857374266","-230.52105857374266","-230.52105857374266","-216.5719507173996","-216.5719507173996","-216.5719507173996","-354.5895920080422","-354.5895920080422","-354.5895920080422","-144.93668038453697","-144.93668038453697","-144.93668038453697","-248.0181303292956","-248.0181303292956","-248.0181303292956","-170.34122362681416","-170.34122362681416","-170.34122362681416","-182.59138098841285","-182.59138098841285","-182.59138098841285"
"21300","-147.35325768589814","-147.35325768589814","-147.35325768589814","-234.5956251278099","-234.5956251278099","-234.5956251278099","-123.85276840600355","-123.85276840600355","-123.85276840600355","-282.9993682677406","-282.9993682677406","-282.9993682677406","-191.67112996953077","-191.67112996953077","-191.67112996953077","-202.4677671685927","-202.4677671685927","-202.4677671685927","-144.74813830633633","-144.74813830633633","-144.74813830633633","-199.47765219543254","-199.47765219543254","-199.47765219543254","-169.94861332197087","-169.94861332197087","-169.94861332197087","-181.17417235740498","-181.17417235740498","-181.17417235740498"
"21600","-146.04911313686353","-146.04911313686353","-146.04911313686353","-236.76938197368077","-236.76938197368077","-236.76938197368077","-123.92866700596994","-123.92866700596994","-123.92866700596994","-232.8218820295512","-232.8218820295512","-232.8218820295512","-191.98423081993786","-191.98423081993786","-191.98423081993786","-227.44648269907512","-227.44648269907512","-227.44648269907512","-145.6188807384288","-145.6188807384288","-145.6188807384288","-348.9601400802923","-348.9601400802923","-348.9601400802923","-171.02383327651927","-171.02383327651927","-171.02383327651927","-207.02389030316075","-207.02389030316075","-207.02389030316075"
"21900","-171.7859280194339","-171.7859280194339","-171.7859280194339","-209.73263328188378","-209.73263328188378","-209.73263328188378","-123.59888174874689","-123.59888174874689","-123.59888174874689","-260.1227146092275","-260.1227146092275","-260.1227146092275","-268.40853945449936","-268.40853945449936","-268.40853945449936","-430.60042347365123","-430.60042347365123","-430.60042347365123","-144.14031796566036","-144.14031796566036","-144.14031796566036","-275.11812835450917","-275.11812835450917","-275.11812835450917","-278.05920584409574","-278.05920584409574","-278.05920584409574","-182.77907878512843","-182.77907878512843","-182.77907878512843"
"22200","-146.3960684006525","-146.3960684006525","-146.3960684006525","-209.5173287222986","-209.5173287222986","-209.5173287222986","-122.89896624907173","-122.89896624907173","-122.89896624907173","-233.5813101072356","-233.5813101072356","-233.5813101072356","-216.74668350710803","-216.74668350710803","-216.74668350710803","-149.96134083987135","-149.96134083987135","-149.96134083987135","-220.80756537374563","-220.80756537374563","-220.80756537374563","-314.8461776373189","-314.8461776373189","-314.8461776373189","-169.48397042219034","-169.48397042219034","-169.48397042219034","-206.45595202392923","-206.45595202392923","-206.45595202392923"
"22500","-146.62749586857464","-146.62749586857464","-146.62749586857464","-236.1970402995934","-236.1970402995934","-236.1970402995934","-122.61957430671734","-122.61957430671734","-122.61957430671734","-234.61751792232994","-234.61751792232994","-234.61751792232994","-215.50674486972588","-215.50674486972588","-215.50674486972588","-123.30226887673977","-123.30226887673977","-123.30226887673977","-172.93415334448383","-172.93415334448383","-172.93415334448383","-498.2842056135634","-498.2842056135634","-498.2842056135634","-170.6327190485892","-170.6327190485892","-170.6327190485892","-130.65976083983387","-130.65976083983387","-130.65976083983387"
"22800","-146.41582351682047","-146.41582351682047","-146.41582351682047","-236.74740441253098","-236.74740441253098","-236.74740441253098","-121.99615672088052","-121.99615672088052","-121.99615672088052","-237.7916745223054","-237.7916745223054","-237.7916745223054","-194.72009401154","-194.72009401154","-194.72009401154","-174.24034047310096","-174.24034047310096","-174.24034047310096","-144.72233593096936","-144.72233593096936","-144.72233593096936","-263.2008427861614","-263.2008427861614","-263.2008427861614","-169.61746255518617","-169.61746255518617","-169.61746255518617","-129.00834223273495","-129.00834223273495","-129.00834223273495"
