"Step","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward__MAX"
"3000","-1052.7454856355803","-1052.7454856355803","-1052.7454856355803","-932.6657962192351","-932.6657962192351","-932.6657962192351","-968.1950942290366","-968.1950942290366","-968.1950942290366","-911.5099382145454","-911.5099382145454","-911.5099382145454","-1064.6748829923806","-1064.6748829923806","-1064.6748829923806","-869.8836614118658","-869.8836614118658","-869.8836614118658","-1031.3247504659569","-1031.3247504659569","-1031.3247504659569","-703.6922780180282","-703.6922780180282","-703.6922780180282","-883.694298475406","-883.694298475406","-883.694298475406","-1078.6787233395082","-1078.6787233395082","-1078.6787233395082"
"3300","-330.2811476963969","-330.2811476963969","-330.2811476963969","-803.6055054432259","-803.6055054432259","-803.6055054432259","-724.9182700467047","-724.9182700467047","-724.9182700467047","-506.42408822688384","-506.42408822688384","-506.42408822688384","-814.9764400482002","-814.9764400482002","-814.9764400482002","-457.19497012671843","-457.19497012671843","-457.19497012671843","-1026.4719905498973","-1026.4719905498973","-1026.4719905498973","-530.5147660360659","-530.5147660360659","-530.5147660360659","-960.4142309785827","-960.4142309785827","-960.4142309785827","-430.0900946870887","-430.0900946870887","-430.0900946870887"
"3600","-191.10311638045286","-191.10311638045286","-191.10311638045286","-773.5890131293215","-773.5890131293215","-773.5890131293215","-256.5020143986867","-256.5020143986867","-256.5020143986867","-476.24801619196177","-476.24801619196177","-476.24801619196177","-365.52780092523597","-365.52780092523597","-365.52780092523597","-430.32271478335525","-430.32271478335525","-430.32271478335525","-529.474478315206","-529.474478315206","-529.474478315206","-235.24344195954154","-235.24344195954154","-235.24344195954154","-757.4569920336285","-757.4569920336285","-757.4569920336285","-369.0862974526082","-369.0862974526082","-369.0862974526082"
"3900","-455.8998354258182","-455.8998354258182","-455.8998354258182","-276.4212774944103","-276.4212774944103","-276.4212774944103","-285.9103783231691","-285.9103783231691","-285.9103783231691","-404.4073690053288","-404.4073690053288","-404.4073690053288","-218.25681989866217","-218.25681989866217","-218.25681989866217","-370.6153088742725","-370.6153088742725","-370.6153088742725","-206.05342668568386","-206.05342668568386","-206.05342668568386","-153.99073433421032","-153.99073433421032","-153.99073433421032","-372.71947619910253","-372.71947619910253","-372.71947619910253","-233.3809755394721","-233.3809755394721","-233.3809755394721"
"4200","-460.88446455424094","-460.88446455424094","-460.88446455424094","-178.3102970670447","-178.3102970670447","-178.3102970670447","-286.74488791774854","-286.74488791774854","-286.74488791774854","-499.871412232671","-499.871412232671","-499.871412232671","-184.88731560102454","-184.88731560102454","-184.88731560102454","-183.17151410750932","-183.17151410750932","-183.17151410750932","-151.53842999652448","-151.53842999652448","-151.53842999652448","-180.08713129766264","-180.08713129766264","-180.08713129766264","-312.391208479882","-312.391208479882","-312.391208479882","-379.66503145348736","-379.66503145348736","-379.66503145348736"
"4500","-331.5406552861501","-331.5406552861501","-331.5406552861501","-174.9951298912301","-174.9951298912301","-174.9951298912301","-122.58270701942631","-122.58270701942631","-122.58270701942631","-427.5965705212293","-427.5965705212293","-427.5965705212293","-178.0526892347024","-178.0526892347024","-178.0526892347024","-125.69961441139836","-125.69961441139836","-125.69961441139836","-148.0613581481852","-148.0613581481852","-148.0613581481852","-253.35493291951147","-253.35493291951147","-253.35493291951147","-255.1411767617739","-255.1411767617739","-255.1411767617739","-151.24102101286852","-151.24102101286852","-151.24102101286852"
"4800","-689.4843712658064","-689.4843712658064","-689.4843712658064","-281.15194927685104","-281.15194927685104","-281.15194927685104","-121.93333979741465","-121.93333979741465","-121.93333979741465","-424.4706338028924","-424.4706338028924","-424.4706338028924","-170.3218810318494","-170.3218810318494","-170.3218810318494","-140.5453619719233","-140.5453619719233","-140.5453619719233","-148.3976297867786","-148.3976297867786","-148.3976297867786","-348.9123833823737","-348.9123833823737","-348.9123833823737","-274.72192570936124","-274.72192570936124","-274.72192570936124","-360.8546722592622","-360.8546722592622","-360.8546722592622"
"5100","-379.2603733530535","-379.2603733530535","-379.2603733530535","-180.27266911508178","-180.27266911508178","-180.27266911508178","-121.202838829285","-121.202838829285","-121.202838829285","-240.66702519677315","-240.66702519677315","-240.66702519677315","-169.70536917517174","-169.70536917517174","-169.70536917517174","-124.39440218076948","-124.39440218076948","-124.39440218076948","-228.59794589150542","-228.59794589150542","-228.59794589150542","-120.26915900731524","-120.26915900731524","-120.26915900731524","-238.2230104953423","-238.2230104953423","-238.2230104953423","-234.0955461529981","-234.0955461529981","-234.0955461529981"
"5400","-148.59020709983815","-148.59020709983815","-148.59020709983815","-300.79142958795427","-300.79142958795427","-300.79142958795427","-150.2819062156881","-150.2819062156881","-150.2819062156881","-214.7387270712023","-214.7387270712023","-214.7387270712023","-169.20874211036943","-169.20874211036943","-169.20874211036943","-122.88071167613393","-122.88071167613393","-122.88071167613393","-609.3587628358902","-609.3587628358902","-609.3587628358902","-251.52186509825106","-251.52186509825106","-251.52186509825106","-172.59402377984884","-172.59402377984884","-172.59402377984884","-347.33238555693316","-347.33238555693316","-347.33238555693316"
"5700","-177.29764512401533","-177.29764512401533","-177.29764512401533","-181.8476431855635","-181.8476431855635","-181.8476431855635","-401.2795434875312","-401.2795434875312","-401.2795434875312","-294.4168142870968","-294.4168142870968","-294.4168142870968","-169.40068545794657","-169.40068545794657","-169.40068545794657","-174.05031801899068","-174.05031801899068","-174.05031801899068","-500.85019777596244","-500.85019777596244","-500.85019777596244","-204.56238683559945","-204.56238683559945","-204.56238683559945","-195.80023079360686","-195.80023079360686","-195.80023079360686","-299.902922012842","-299.902922012842","-299.902922012842"
